"id","Review","Sentence Component","aspect_text","aspect","sentiment_text","sentiment"
"1","tiết dạy sinh động , khả năng truyền đạt cao .","tiết dạy sinh động , khả năng truyền đạt cao","tiết dạy sinh động , khả năng truyền đạt cao","General review","sinh động , khả năng truyền đạt cao","Positive"
"2","thầy dạy nhiệt tình dễ hiểu khá thoải mái hòa đồng với sinh viên .","thầy dạy nhiệt tình dễ hiểu khá thoải mái hòa đồng với sinh viên","thầy dạy nhiệt tình dễ hiểu khá thoải mái hòa đồng với sinh viên","General review","thầy dạy nhiệt tình dễ hiểu khá thoải mái hòa đồng với sinh viên","Positive"
"3","thầy dạy nhiệt tình .","thầy dạy nhiệt tình","thầy dạy nhiệt tình","General review","thầy dạy nhiệt tình","Positive"
"4","không đảm bảo giờ giảng dạy .","không đảm bảo giờ giảng dạy"," giờ giảng dạy","Organization and management","không đảm bảo","Negative"
"5","thầy day tốt .","thầy day tốt","thầy day tốt","General review","thầy day tốt","Positive"
"6","phát âm không chuẩn .","phát âm không chuẩn","phát âm","Teaching quality"," không chuẩn","Negative"
"7","như thầy lý thuyết , thầy cho chúng em tự tìm hiểu 3dsmax từ đầu kỳ nên cuối kỳ làm đồ án rất khỏe .","như thầy lý thuyết , thầy cho chúng em tự tìm hiểu 3dsmax từ đầu kỳ nên cuối kỳ làm đồ án rất khỏe"," thầy","Teaching quality","như thầy lý thuyết , thầy cho chúng em tự tìm hiểu 3dsmax từ đầu kỳ nên cuối kỳ làm đồ án rất khỏe","Positive"
"8","giảng viên rất tận tâm , nhiệt huyết , cô có khả năng truyền đặt cao , cách giảng dạy lôi cuốn , thu hút .","giảng viên rất tận tâm , nhiệt huyết , cô có khả năng truyền đặt cao , cách giảng dạy lôi cuốn , thu hút ","giảng viên rất tận tâm , nhiệt huyết , cô có khả năng truyền đặt cao , cách giảng dạy lôi cuốn , thu hút","General review","giảng viên rất tận tâm , nhiệt huyết , cô có khả năng truyền đặt cao , cách giảng dạy lôi cuốn , thu hút","Positive"
"9","giảng viên tận tình , chu đáo , gần gũi sinh viên .","giảng viên tận tình , chu đáo , gần gũi sinh viên","giảng viên","Support from lecturers"," tận tình , chu đáo , gần gũi sinh viên","Positive"
"10","vui vẻ , cởi mở .","vui vẻ , cởi mở","vui vẻ , cởi mở","General review","vui vẻ , cởi mở","Positive"
"11","thầy giảng dạy rất có nguyên tắc .","thầy giảng dạy rất có nguyên tắc","thầy giảng dạy rất có nguyên tắc","General review","thầy giảng dạy rất có nguyên tắc","Positive"
"12","nên học ở giảng đường sẽ thuận tiện hơn .","nên học ở giảng đường sẽ thuận tiện hơn","nên học ở giảng đường sẽ thuận tiện hơn","General review","nên học ở giảng đường sẽ thuận tiện hơn","Neutral"
"13","làm cho một phần học sinh ( chủ yếu khá và giỏi ) cảm thấy chán trong việc lên lớp .","làm cho một phần học sinh ( chủ yếu khá và giỏi ) cảm thấy chán trong việc lên lớp","làm cho một phần học sinh ( chủ yếu khá và giỏi ) cảm thấy chán trong việc lên lớp","General review","làm cho một phần học sinh ( chủ yếu khá và giỏi ) cảm thấy chán trong việc lên lớp","Negative"
