"id","Review","Sentence Component","aspect_text","aspect","sentiment_text","sentiment"
"1","đối với em , em đã thấy hợp lý .","đối với em","đối với em","General review","đối với em","Neutral"
"1","đối với em , em đã thấy hợp lý .","em đã thấy hợp lý","thấy hợp lý","General review","hợp lý","Positive"
"2","em nhận thấy thầy wzjwz67 rất nhiệt tình trong việc giảng dạy , cung cấp rất nhiều thông tin thực tế cho sinh viên nhằm chuẩn bị kỹ năng khi đi ra ngoài làm việc , phương pháp học gắn sát thực tế , tuy đội lúc có gặp khó khăn nhưng cũng rất bổ ích .","em nhận thấy thầy wzjwz67 rất nhiệt tình trong việc giảng dạy","giảng dạy","Teaching quality","nhiệt tình","Positive"
"2","em nhận thấy thầy wzjwz67 rất nhiệt tình trong việc giảng dạy , cung cấp rất nhiều thông tin thực tế cho sinh viên nhằm chuẩn bị kỹ năng khi đi ra ngoài làm việc , phương pháp học gắn sát thực tế , tuy đội lúc có gặp khó khăn nhưng cũng rất bổ ích .","cung cấp rất nhiều thông tin thực tế cho sinh viên nhằm chuẩn bị kỹ năng khi đi ra ngoài làm việc","nhiều thông tin thực tế cho sinh viên nhằm chuẩn bị kỹ năng","Teaching quality","cung cấp rất nhiều","Positive"
"2","em nhận thấy thầy wzjwz67 rất nhiệt tình trong việc giảng dạy , cung cấp rất nhiều thông tin thực tế cho sinh viên nhằm chuẩn bị kỹ năng khi đi ra ngoài làm việc , phương pháp học gắn sát thực tế , tuy đội lúc có gặp khó khăn nhưng cũng rất bổ ích .","phương pháp học gắn sát thực tế , tuy đội lúc có gặp khó khăn nhưng cũng rất bổ ích","phương pháp học","Teaching quality","gắn sát thực tế , tuy đội lúc có gặp khó khăn nhưng cũng rất bổ ích","Positive"
"3","giáo viên còn khá dễ dãi với sinh viên .","giáo viên còn khá dễ dãi với sinh viên","dễ dãi với sinh viên","Teaching quality","dễ dãi","Positive"
"4","theo em nghĩ nên sửa lại hoặc thay mới dàn máy tính cũ và dễ bị lỗi đi .","theo em nghĩ nên sửa lại hoặc thay mới dàn máy tính cũ và dễ bị lỗi đi","máy tính","Learning environment","cũ và dễ bị lỗi","Negative"
"5","bởi vì môn giải thuật là môn khô khan và khó học nên em mong thầy làm cách nào đó để khiến sinh viên hứng thú học và đến lớp hơn .","bởi vì môn giải thuật là môn khô khan và khó học","môn giải thuật","Course information","khô khan và khó học","Negative"
"5","bởi vì môn giải thuật là môn khô khan và khó học nên em mong thầy làm cách nào đó để khiến sinh viên hứng thú học và đến lớp hơn .","nên em mong thầy làm cách nào đó để khiến sinh viên hứng thú học và đến lớp hơn","làm cách nào đó để khiến sinh viên hứng thú học","Teaching quality","làm cách nào đó để khiến sinh viên hứng thú học","Negative"
"6","cô còn giảng hơi nhanh .","cô còn giảng hơi nhanh","giảng","Teaching quality","hơi nhanh","Negative"
"7","không nên thêm bảng băm vào môn này .","không nên thêm bảng băm vào môn này","thêm bảng băm vào môn này","Course information","không nên thêm","Neutral"
"8","đầy đủ và nhiều ví dụ .","đầy đủ và nhiều ví dụ","đầy đủ và nhiều ví dụ","General review","đầy đủ và nhiều ví dụ","Positive"
"9","giáo viên dạy tốt .","giáo viên dạy tốt","dạy","Teaching quality","tốt","Positive"
"10","phòng thực hành nóng .","phòng thực hành nóng","phòng thực hành","Learning environment","nóng","Negative"
"11","dạy đúng giờ , dễ hiểu .","dạy đúng giờ , dễ hiểu","dạy","Teaching quality","đúng giờ , dễ hiểu","Positive"
"12","giảng viên có cách truyền đạt dễ hiểu , tận tâm .","giảng viên có cách truyền đạt dễ hiểu , tận tâm","truyền đạt","Teaching quality","dễ hiểu , tận tâm","Positive"
"13","tận tâm , nhiệt tình , tiết học thú vị , dễ hiểu , thân thiện , gần gũi .","tận tâm","tận tâm","Support from lecturers","tận tâm","Positive"
"13","tận tâm , nhiệt tình , tiết học thú vị , dễ hiểu , thân thiện , gần gũi .","nhiệt tình","nhiệt tình","Support from lecturers","nhiệt tình","Positive"
"13","tận tâm , nhiệt tình , tiết học thú vị , dễ hiểu , thân thiện , gần gũi .","tiết học thú vị","tiết học","Teaching quality","thú vị","Positive"
