"id","Review","Sentence Component","aspect_text","aspect","sentiment_text","sentiment"
"1","giáo viên tận tâm , giải đáp những thắc mắc của học sinh , cực kỳ linh động .","giáo viên tận tâm , giải đáp những thắc mắc của học sinh , cực kỳ linh động","giáo viên ","Support from lecturers","tận tâm , giải đáp những thắc mắc của học sinh , cực kỳ linh động","Positive"
"2","ngôn từ trong phương pháp giảng dạy gần gũi với sinh viên .","ngôn từ trong phương pháp giảng dạy gần gũi với sinh viên","ngôn từ trong phương pháp giảng dạy ","Teaching quality"," gần gũi với sinh viên","Positive"
"3","lan man và hơi khó hiểu .","lan man và hơi khó hiểu","lan man và hơi khó hiểu","Teaching quality","lan man và hơi khó hiểu","Negative"
"4","thầy rất nhiệt tình và dạy dễ hiểu .","thầy rất nhiệt tình","thầy","Support from lecturers","rất nhiệt tình","Positive"
"4","thầy rất nhiệt tình và dạy dễ hiểu .","dạy dễ hiểu","dạy","Teaching quality"," dễ hiểu","Positive"
"5","may mắn cho các sinh viên sau này không còn làm việc với giảng viên này .","may mắn cho các sinh viên sau này không còn làm việc với giảng viên này","giảng viên ","Support from lecturers","may mắn cho các sinh viên sau này không còn làm việc với giảng viên này","Negative"
"6","cô wzjwz226 rất tâm huyết với sinh viên , tận tâm , giảng bài có hiệu quả .","cô wzjwz226 rất tâm huyết với sinh viên , tận tâm","cô wzjwz226","Teaching quality"," rất tâm huyết với sinh viên , tận tâm","Positive"
"6","cô wzjwz226 rất tâm huyết với sinh viên , tận tâm , giảng bài có hiệu quả .","giảng bài có hiệu quả","giảng bài","Teaching quality","có hiệu quả ","Positive"
"7","cô rất dễ thương , dạy dễ hiểu .","cô rất dễ thương","cô","General review"," rất dễ thương","Positive"
"7","cô rất dễ thương , dạy dễ hiểu .","dạy dễ hiểu","dạy","Teaching quality","dễ hiểu","Positive"
"8","phòng thực hành về mạng cần có nhiều trang thiết bị về mạng hơn để sinh viên có thể thực hành trên máy móc chứ không phải học thông qua các phần mềm .","phòng thực hành về mạng cần có nhiều trang thiết bị về mạng hơn để sinh viên có thể thực hành trên máy móc chứ không phải học thông qua các phần mềm","phòng thực hành về mạng","Learning environment","cần có nhiều trang thiết bị về mạng hơn để sinh viên có thể thực hành trên máy móc chứ không phải học thông qua các phần mềm","Negative"
"9","cần cho sinh viên làm hoạt động nhóm nhiều hơn và mở rộng nâng cao kiến thức cho sinh viên nhiều hơn nữa .","cần cho sinh viên làm hoạt động nhóm nhiều hơn","làm hoạt động nhóm","Course information","nhiều hơn","Negative"
"9","cần cho sinh viên làm hoạt động nhóm nhiều hơn và mở rộng nâng cao kiến thức cho sinh viên nhiều hơn nữa .","mở rộng nâng cao kiến thức cho sinh viên nhiều hơn nữa","mở rộng nâng cao kiến thức cho sinh viên ","Course information","nhiều hơn nữa","Negative"
"10","thầy nhiệt tình , tận tụy , vui vẻ .","thầy nhiệt tình","thầy ","Support from lecturers"," nhiệt tình","Positive"
"10","thầy nhiệt tình , tận tụy , vui vẻ .","thầy nhiệt tình","tận tụy","Support from lecturers"," nhiệt tình","Positive"
"10","thầy nhiệt tình , tận tụy , vui vẻ .","tận tụy","tận tụy","Support from lecturers","tận tụy","Positive"
"10","thầy nhiệt tình , tận tụy , vui vẻ .","vui vẻ","vui vẻ","General review","vui vẻ","Positive"
"11","thầy rất nghiêm khắc , là một người thầy rất giỏi .","thầy rất nghiêm khắc","thầy ","General review","rất nghiêm khắc","Negative"
"11","thầy rất nghiêm khắc , là một người thầy rất giỏi ."," là một người thầy rất giỏi","thầy","General review","rất giỏi","Positive"
"12","do học chung với các anh chị khoá 2011 , một phần nhỏ là khoá 2012 , các anh chị quá ồn ào , ồn ào không chịu nổi mặc dù đã nhắc nhở nhiều lần .","do học chung với các anh chị khoá 2011 , một phần nhỏ là khoá 2012 ","do học chung với các anh chị ","Learning environment","học chung với các anh chị khoá 2011 , một phần nhỏ là khoá 2012","Neutral"
