id,Review,Sentence Component,aspect_text,aspect,sentiment_text,sentiment
1,"giảng viên tận tâm , nhiệt tình , theo sát tình hình kiến thức sinh viên .","giảng viên tận tâm , nhiệt tình , theo sát tình hình kiến thức sinh viên",giảng viên,Support from lecturers,tận tâm,Positive
1,"giảng viên tận tâm , nhiệt tình , theo sát tình hình kiến thức sinh viên .","giảng viên tận tâm , nhiệt tình , theo sát tình hình kiến thức sinh viên",giảng viên,Support from lecturers,nhiệt tình,Positive
2,lại vui tính .,lại vui tính,lại vui tính,General review,vui tính,Positive
3,cô dạy nên có ví dụ và bài tập hướng dẫn chi tiết cụ thể hơn !,cô dạy nên có ví dụ và bài tập hướng dẫn chi tiết cụ thể hơn,dạy,Teaching quality,nên có ví dụ và bài tập hướng dẫn chi tiết,Positive
4,giảng viên giảng kỹ và dễ hiểu !,giảng viên giảng kỹ và dễ hiểu,giảng viên giảng,Support from lecturers,kỹ và dễ hiểu,Positive
5,thầy rất nhiệt tình và gẫn gũi với sinh viên .,thầy rất nhiệt tình và gẫn gũi với sinh viên,thầy,Support from lecturers,rất nhiệt tình và gẫn gũi,Positive
6,chưa đảm bảo việc giảng dạy theo đề cương và chương trình môn học .,chưa đảm bảo việc giảng dạy theo đề cương và chương trình môn học,việc giảng dạy,Teaching quality,chưa đảm bảo,Negative
7,thêm các buổi làm và sửa bài tập .,thêm các buổi làm và sửa bài tập,các buổi làm và sửa bài tập,Organization and management,thêm,Positive
8,"nộp báo cáo sau khi thực hành , đăng lịch học lên moodle .","nộp báo cáo sau khi thực hành , đăng lịch học lên moodle",nộp báo cáo,Workload,sau khi thực hành,Neutral
9,thầy rất năng động .,thầy rất năng động,thầy,Support from lecturers,rất năng động,Positive
10,bình thường .,bình thường,bình thường,General review,bình thường,Neutral
11,thầy giảng siêu hay .,thầy giảng siêu hay,thầy giảng,Support from lecturers,siêu hay,Positive
12,"giảng viên đã lớp tuổi , kiến thức không còn phù hợp với thực tế , cách giảng dạy nhàm chán làm sinh viên không thể tiếp thu nổi .","giảng viên đã lớp tuổi , kiến thức không còn phù hợp với thực tế , cách giảng dạy nhàm chán làm sinh viên không thể tiếp thu nổi",giảng viên,Support from lecturers,đã lớp tuổi,Negative
12,"giảng viên đã lớp tuổi , kiến thức không còn phù hợp với thực tế , cách giảng dạy nhàm chán làm sinh viên không thể tiếp thu nổi .","giảng viên đã lớp tuổi , kiến thức không còn phù hợp với thực tế , cách giảng dạy nhàm chán làm sinh viên không thể tiếp thu nổi",giảng viên,Support from lecturers,không còn phù hợp với thực tế,Negative
12,"giảng viên đã lớp tuổi , kiến thức không còn phù hợp với thực tế , cách giảng dạy nhàm chán làm sinh viên không thể tiếp thu nổi .","giảng viên đã lớp tuổi , kiến thức không còn phù hợp với thực tế , cách giảng dạy nhàm chán làm sinh viên không thể tiếp thu nổi",giảng viên,Support from lecturers,cách giảng dạy nhàm chán,Negative
12,"giảng viên đã lớp tuổi , kiến thức không còn phù hợp với thực tế , cách giảng dạy nhàm chán làm sinh viên không thể tiếp thu nổi .","giảng viên đã lớp tuổi , kiến thức không còn phù hợp với thực tế , cách giảng dạy nhàm chán làm sinh viên không thể tiếp thu nổi",giảng viên,Support from lecturers,không thể tiếp thu nổi,Negative
13,"giảng sát với bài học , không cho bài quá nhiều , lan man .","giảng sát với bài học , không cho bài quá nhiều , lan man",giảng,Teaching quality,sát với bài học,Positive
13,"giảng sát với bài học , không cho bài quá nhiều , lan man .","giảng sát với bài học , không cho bài quá nhiều , lan man",giảng,Teaching quality,không cho bài quá nhiều,Positive
13,"giảng sát với bài học , không cho bài quá nhiều , lan man .","giảng sát với bài học , không cho bài quá nhiều , lan man",giảng,Teaching quality,lan man,Positive
14,sinh viên nào chê thầy thì em nghĩ sinh viên đó nên xem lại cách học của sinh viên đó .,sinh viên nào chê thầy thì em nghĩ sinh viên đó nên xem lại cách học của sinh viên đó ,thầy,Support from lecturers,nên xem lại,Neutral
15,cô nên cho bài tập trên wecode để rèn luyện và củng cố kiến thức cho sinh viên .,cô nên cho bài tập trên wecode để rèn luyện và củng cố kiến thức cho sinh viên,bài tập,Support from lecturers,nên cho,Neutral
16,cô rất hiền .,cô rất hiền,cô nên cho bài tập trên wecode để rèn luyện và củng cố kiến thức,Support from lecturers,rất hiền,Positive
17,giảng viên dạy còn khó hiểu .,giảng viên dạy còn khó hiểu,giảng viên,Support from lecturers,dạy còn khó hiểu,Negative
18,"giảng viên có kiến thức chuyên môn cao , khả năng truyền đạt tốt .","giảng viên có kiến thức chuyên môn cao , khả năng truyền đạt tốt",giảng viên,Support from lecturers,có kiến thức chuyên môn cao,Positive
18,"giảng viên có kiến thức chuyên môn cao , khả năng truyền đạt tốt .","giảng viên có kiến thức chuyên môn cao , khả năng truyền đạt tốt",giảng viên,Support from lecturers, khả năng truyền đạt tốt,Positive
19,chưa giải quyết thắc mắc của sinh viên thỏa đáng .,chưa giải quyết thắc mắc của sinh viên thỏa đáng,chưa giải quyết thắc mắc của sinh viên thỏa đáng,Support from lecturers,chưa giải quyết,Negative
20,có nhiều bài tập và ví dụ hay .,có nhiều bài tập và ví dụ hay,bài tập và ví dụ,Workload,hay,Positive
21,"sinh viên không hiểu hỏi cô , cô đều giải quyết thắc mắc .","sinh viên không hiểu hỏi cô , cô đều giải quyết thắc mắc",cô,Support from lecturers,đều giải quyết thắc mắc,Positive
22,em không hài lòng về cách nhận xét của giảng viên .,em không hài lòng về cách nhận xét của giảng viên,cách nhận xét của giảng viên,Support from lecturers,không hài lòng,Negative
23,"thầy dạy tốt , nhiệt tình và quan tâm sinh viên .","thầy dạy tốt , nhiệt tình và quan tâm sinh viên",thầy dạy,Support from lecturers,tốt,Positive
23,"thầy dạy tốt , nhiệt tình và quan tâm sinh viên .","thầy dạy tốt , nhiệt tình và quan tâm sinh viên",thầy dạy,Support from lecturers,nhiệt tình và quan tâm,Positive
24,nên tập trung vào kỹ năng nghe và nói nhiều hơn .,nên tập trung vào kỹ năng nghe và nói nhiều hơn,kỹ năng nghe và nói,Support from lecturers,nên tập trung,Positive
25,"giảng viên nên tương tác với lớp nhiều hơn , nên cho thêm bài tập về nhà và bắt buộc nộp bài .","giảng viên nên tương tác với lớp nhiều hơn , nên cho thêm bài tập về nhà và bắt buộc nộp bài",giảng viên,Support from lecturers,nên tương tác với lớp nhiều hơn,Positive
26,thầy chia sẻ cho chúng em những kiến thức bổ ích .,thầy chia sẻ cho chúng em những kiến thức bổ ích,thầy,Support from lecturers,kiến thức bổ ích,Positive
27,"thầy tận tâm , hỗ trợ tận tình cho các bạn sinh viên .","thầy tận tâm , hỗ trợ tận tình cho các bạn sinh viên",thầy,Support from lecturers,tận tâm,Positive
27,"thầy tận tâm , hỗ trợ tận tình cho các bạn sinh viên .","thầy tận tâm , hỗ trợ tận tình cho các bạn sinh viên",thầy,Support from lecturers,hỗ trợ tận tình,Positive
28,"thầy vui tính , dạy dễ hiểu , lấy ví dụ thực tiễn .","thầy vui tính , dạy dễ hiểu , lấy ví dụ thực tiễn",thầy,Support from lecturers,vui tính,Positive
28,"thầy vui tính , dạy dễ hiểu , lấy ví dụ thực tiễn .","thầy vui tính , dạy dễ hiểu , lấy ví dụ thực tiễn",thầy,Support from lecturers,dạy dễ hiểu,Positive
29,giáo viên dạy tốt nên phát huy ngoài ra không cần cải tiến thêm đều gì .,giáo viên dạy tốt nên phát huy ngoài ra không cần cải tiến thêm đều gì,giáo viên,Support from lecturers,dạy tốt,Positive
29,giáo viên dạy tốt nên phát huy ngoài ra không cần cải tiến thêm đều gì .,giáo viên dạy tốt nên phát huy ngoài ra không cần cải tiến thêm đều gì,giáo viên,Support from lecturers,nên phát huy,Positive
30,chưa tạo được sự thu hút .,chưa tạo được sự thu hút,chưa tạo được sự thu hút,Support from lecturers,chưa tạo được sự thu hút,Negative
31,slide bài giảng tiếng anh giúp tụi em nâng cao khả năng học tiếng anh .,\nslide bài giảng tiếng anh giúp tụi em nâng cao khả năng học tiếng anh,slide bài giảng tiếng anh,Course information,nâng cao khả năng,Positive
32,em không có gì thắc mắc .,em không có gì thắc mắc,em không có gì thắc mắc,General review,không có gì thắc mắc,Positive
33,"dạy buồn ngủ , quá thụ động , không lắng nghe học viên .","dạy buồn ngủ , quá thụ động , không lắng nghe học viên",dạy,Support from lecturers,buồn ngủ,Negative
33,"dạy buồn ngủ , quá thụ động , không lắng nghe học viên .","dạy buồn ngủ , quá thụ động , không lắng nghe học viên",dạy,Support from lecturers,quá thụ động,Negative
33,"dạy buồn ngủ , quá thụ động , không lắng nghe học viên .","dạy buồn ngủ , quá thụ động , không lắng nghe học viên",dạy,Support from lecturers,không lắng nghe học viên,Negative
34,mail hỏi thầy thì thầy cũng chẳng bao giờ giải đáp thắc mắc .,mail hỏi thầy thì thầy cũng chẳng bao giờ giải đáp thắc mắc,thầy,Support from lecturers,chẳng bao giờ giải đáp thắc mắc,Negative
35,giảng viên luôn cập nhập bài giảng và bài tập trên website môn học .,giảng viên luôn cập nhập bài giảng và bài tập trên website môn học,giảng viên,Support from lecturers,luôn cập nhập bài giảng và bài tập,Positive
36,đôi khi nên tổ chức các trò chơi để sinh viên giảm căng thẳng .,đôi khi nên tổ chức các trò chơi để sinh viên giảm căng thẳng,tổ chức các trò chơi,Organization and management,đôi khi nên,Positive
37,"ngoài ra , giảng viên tốt về các mặt còn lại .","ngoài ra , giảng viên tốt về các mặt còn lại",giảng viên,Support from lecturers,tốt về các mặt còn lại,Positive
38,mời giáo viên bản xứ tham gia giảng dạy để sinh viên có thêm cơ hội phát triển các kỹ năng cơ bản trong anh văn .,mời giáo viên bản xứ tham gia giảng dạy để sinh viên có thêm cơ hội phát triển các kỹ năng cơ bản trong anh văn,giáo viên bản xứ,Support from lecturers,mời,Neutral
39,"thưa , tài liệu mà thầy cung cấp thực sự nhiều hơn cả giáo viên chịu trách nhiệm lý thuyết của môn .","thưa , tài liệu mà thầy cung cấp thực sự nhiều hơn cả giáo viên chịu trách nhiệm lý thuyết của môn",tài liệu,Course information,thực sự nhiều hơn,Positive
40,lặp lại quá nhiều kiến thức cũ .,lặp lại quá nhiều kiến thức cũ,kiến thức cũ,Course information,lặp lại quá nhiều,Negative
41,khả năng truyền tốt không gây hứng thú cho sinh viên .,khả năng truyền tốt không gây hứng thú cho sinh viên,khả năng truyền tốt,Support from lecturers,không gây hứng thú,Negative
42,chúc cô giữ mãi nhiệt huyết giảng dạy này để truyền cảm hứng đến nhiều học sinh ngán đến trường như em .,chúc cô giữ mãi nhiệt huyết giảng dạy này để truyền cảm hứng đến nhiều học sinh ngán đến trường như em,cô,Support from lecturers,giữ mãi nhiệt huyết,Positive
43,nói tóm lại là giảng viên dạy không hay .,nói tóm lại là giảng viên dạy không hay,giảng viên dạy,Support from lecturers,không hay,Negative
44,nhiệt tình vui tính .,nhiệt tình vui tính,nhiệt tình vui tính,Support from lecturers,nhiệt tình vui tính,Positive
45,"cô dễ thương , hiền , tận tâm .","cô dễ thương , hiền , tận tâm",cô,Support from lecturers,dễ thương,Positive
45,"cô dễ thương , hiền , tận tâm .","cô dễ thương , hiền , tận tâm",cô,Support from lecturers,hiền,Positive
45,"cô dễ thương , hiền , tận tâm .","cô dễ thương , hiền , tận tâm",cô,Support from lecturers,tận tâm,Positive
46,"giảng dạy tận tình , sát thực tiễn , và nhiệt tình giúp đỡ sinh viên .","giảng dạy tận tình , sát thực tiễn , và nhiệt tình giúp đỡ sinh viên",giảng dạy,Support from lecturers,tận tình,Positive
46,"giảng dạy tận tình , sát thực tiễn , và nhiệt tình giúp đỡ sinh viên .","giảng dạy tận tình , sát thực tiễn , và nhiệt tình giúp đỡ sinh viên",giảng dạy,Support from lecturers,sát thực tiễn,Positive
46,"giảng dạy tận tình , sát thực tiễn , và nhiệt tình giúp đỡ sinh viên .","giảng dạy tận tình , sát thực tiễn , và nhiệt tình giúp đỡ sinh viên",giảng dạy,Support from lecturers,nhiệt tình giúp đỡ,Positive
47,"sử dụng thời gian chưa được hợp lý ( tốn quá nhiều thời gian chờ , nhất là khi báo cáo giữa kỳ và cuối kỳ ) dẫn đến việc các nhóm báo cáo cuối bị rút ngắn thời gian và thay đổi cách thức báo cáo ( không công bằng trong cách thức làm việc giữa các nhóm với nhau doubledot nhóm được thuyết trình , có nhóm thì không ) .","sử dụng thời gian chưa được hợp lý ( tốn quá nhiều thời gian chờ , nhất là khi báo cáo giữa kỳ và cuối kỳ ) dẫn đến việc các nhóm báo cáo cuối bị rút ngắn thời gian và thay đổi cách thức báo cáo ( không công bằng trong cách thức làm việc giữa các nhóm với nhau doubledot nhóm được thuyết trình , có nhóm thì không )",sử dụng thời gian,Support from lecturers,chưa được hợp lý,Negative
48,nhiều bạn chỉ copy code trên mạng nhưng điểm lại cao hơn những bạn thực sự làm .,nhiều bạn chỉ copy code trên mạng nhưng điểm lại cao hơn những bạn thực sự làm,thực sự làm,Workload,chỉ copy code,Negative
49,nên có phần thực hành trên thiết bị để dễ hiểu hơn .,nên có phần thực hành trên thiết bị để dễ hiểu hơn,phần thực hành,Course information,nên có,Positive
50,"cho bài tập thương xuyên , đều đặn .","cho bài tập thương xuyên , đều đặn",bài tập,Support from lecturers,cho,Positive
50,"cho bài tập thương xuyên , đều đặn .","cho bài tập thương xuyên , đều đặn",bài tập,Support from lecturers,thương xuyên,Positive
50,"cho bài tập thương xuyên , đều đặn .","cho bài tập thương xuyên , đều đặn",bài tập,Support from lecturers,đều đặn,Positive
