"id","Review","Sentence Component","aspect_text","aspect","sentiment_text","sentiment"
"1","bài giảng mang tính thực tế cao , giảng viên tận tình hướng dẫn .","bài giảng mang tính thực tế cao , giảng viên tận tình hướng dẫn","bài giảng","Course information","mang tính thực tế cao","Positive"
"1","bài giảng mang tính thực tế cao , giảng viên tận tình hướng dẫn .","bài giảng mang tính thực tế cao , giảng viên tận tình hướng dẫn","bài giảng","Course information","tận tình","Positive"
"1","bài giảng mang tính thực tế cao , giảng viên tận tình hướng dẫn .","bài giảng mang tính thực tế cao , giảng viên tận tình hướng dẫn","giảng viên","Support from lecturers","mang tính thực tế cao","Positive"
"1","bài giảng mang tính thực tế cao , giảng viên tận tình hướng dẫn .","bài giảng mang tính thực tế cao , giảng viên tận tình hướng dẫn","giảng viên","Support from lecturers","tận tình","Positive"
"2","thầy dạy có tâm , thường dạy quá giờ .","thầy dạy có tâm , thường dạy quá giờ","thầy","Support from lecturers","dạy có tâm","Positive"
"3","một số nội dung cơ bản như doubledot cấu trúc của json , xml .","một số nội dung cơ bản như doubledot cấu trúc của json , xml","nội dung","Course information","cơ bản","Neutral"
"4","cần tăng cường các buổi training do giảng viên đứng lớp để giải thêm các bài tập .","cần tăng cường các buổi training do giảng viên đứng lớp để giải thêm các bài tập","các buổi training","Organization and management","cần tăng cường","Positive"
"5","còn nhiều chỗ thiếu sót .","còn nhiều chỗ thiếu sót","còn nhiều chỗ thiếu sót","General review","còn nhiều chỗ thiếu sót","Negative"
"6","rất ok về mọi phần .","rất ok về mọi phần","mọi phần","Course information","rất ok","Positive"
"7","chép nhiều ví dụ gây mất thời gian , 3 tiết học trở thành 5 tiết học .","chép nhiều ví dụ gây mất thời gian , 3 tiết học trở thành 5 tiết học","chép nhiều ví dụ","Workload","mất thời gian","Negative"
"8","giáo viên nói tiếng hơi khó nghe .","giáo viên nói tiếng hơi khó nghe","giáo viên nói","Support from lecturers","hơi khó nghe","Negative"
"9","thầy nhiệt tình tận tâm .","thầy nhiệt tình tận tâm","thầy","Support from lecturers","nhiệt tình tận tâm","Positive"
"10","hướng dẫn tận tâm chu đáo , ăn mặc lịch sự và vui vẻ !","hướng dẫn tận tâm chu đáo , ăn mặc lịch sự và vui vẻ","hướng dẫn","Support from lecturers","tận tâm chu đáo","Positive"
"10","hướng dẫn tận tâm chu đáo , ăn mặc lịch sự và vui vẻ !","hướng dẫn tận tâm chu đáo , ăn mặc lịch sự và vui vẻ","hướng dẫn","Support from lecturers","ăn mặc lịch sự và vui vẻ","Positive"
"11","bài học chưa thực sự sinh động .","bài học chưa thực sự sinh động","bài học","Course information","chưa thực sự sinh động","Negative"
"12","cần nhiều tài liệu mới .","cần nhiều tài liệu mới","tài liệu mới","Course information","cần nhiều","Positive"
"13","thầy dạy rất tâm huyết và nhiệt tình giúp sinh viên có hướng tiếp cận tốt hơn .","thầy dạy rất tâm huyết và nhiệt tình giúp sinh viên có hướng tiếp cận tốt hơn","thầy dạy","Support from lecturers","rất tâm huyết và nhiệt tình","Positive"
"14","giảng viên vui tính thân thiện .","giảng viên vui tính thân thiện","giảng viên","Support from lecturers","vui tính thân thiện","Positive"
"15","nghỉ dạy không báo trước sinh viên .","nghỉ dạy không báo trước sinh viên","nghỉ dạy","Support from lecturers","không báo trước","Negative"
"16","thầy luôn đi đúng giờ , không điểm danh .","thầy luôn đi đúng giờ , không điểm danh","thầy","Support from lecturers","đi đúng giờ","Positive"
