"id","Review","Sentence Component","aspect_text","aspect","sentiment_text","sentiment"
"1","tiết học rất thoải mái , dễ tiếp thu .","tiết học rất thoải mái , dễ tiếp thu","tiết học","Course information","rất thoải mái","Positive"
"1","tiết học rất thoải mái , dễ tiếp thu .","tiết học rất thoải mái , dễ tiếp thu","tiết học","Course information","dễ tiếp thu","Positive"
"2","gửi mail không trả lời .","gửi mail không trả lời","gửi mail","Workload","không trả lời","Negative"
"3","thầy cần hướng dẫn các bạn làm bài tập khi mới bắt đầu thực hành vì các phần mềm dùng thực hành có mới với các bạn sinh viên .","thầy cần hướng dẫn các bạn làm bài tập khi mới bắt đầu thực hành vì các phần mềm dùng thực hành có mới với các bạn sinh viên","thầy","Support from lecturers","cần hướng dẫn","Neutral"
"4","thầy dạy rất ổn , bổ sung vững kiến thức lý thuyết .","thầy dạy rất ổn , bổ sung vững kiến thức lý thuyết","thầy","Support from lecturers","rất ổn","Positive"
"5","chất lượng giảng dạy tốt , em rất hài lòng với cách dạy của cô .","chất lượng giảng dạy tốt , em rất hài lòng với cách dạy của cô","chất lượng giảng dạy","Teaching quality","tốt","Positive"
"5","chất lượng giảng dạy tốt , em rất hài lòng với cách dạy của cô .","chất lượng giảng dạy tốt , em rất hài lòng với cách dạy của cô","chất lượng giảng dạy","Teaching quality","rất hài lòng","Positive"
"6","giảng viên tích cực .","giảng viên tích cực","giảng viên","Support from lecturers","tích cực","Positive"
"7","thầy vui tính , dạy hay , đầy đủ kiến thức để thi .","thầy vui tính , dạy hay , đầy đủ kiến thức để thi","thầy","Support from lecturers","vui tính","Positive"
"7","thầy vui tính , dạy hay , đầy đủ kiến thức để thi .","thầy vui tính , dạy hay , đầy đủ kiến thức để thi","thầy","Support from lecturers","dạy hay","Positive"
"7","thầy vui tính , dạy hay , đầy đủ kiến thức để thi .","thầy vui tính , dạy hay , đầy đủ kiến thức để thi","thầy","Support from lecturers","đầy đủ","Positive"
"8","thường xuyên hỗ trợ sinh viên qua diễn đàn .","thường xuyên hỗ trợ sinh viên qua diễn đàn","hỗ trợ","Support from lecturers","thường xuyên","Positive"
"9","slide khá nhiều chữ khiến sinh viên hơi buồn ngủ , ít hình ảnh , ví dụ minh họa .","slide khá nhiều chữ khiến sinh viên hơi buồn ngủ , ít hình ảnh , ví dụ minh họa","slide","Course information","khá nhiều chữ","Negative"
"9","slide khá nhiều chữ khiến sinh viên hơi buồn ngủ , ít hình ảnh , ví dụ minh họa .","slide khá nhiều chữ khiến sinh viên hơi buồn ngủ , ít hình ảnh , ví dụ minh họa","slide","Course information","hơi buồn ngủ","Negative"
"9","slide khá nhiều chữ khiến sinh viên hơi buồn ngủ , ít hình ảnh , ví dụ minh họa .","slide khá nhiều chữ khiến sinh viên hơi buồn ngủ , ít hình ảnh , ví dụ minh họa","slide","Course information","ít hình ảnh","Negative"
"10","dạy và ôn tập tận tình .","dạy và ôn tập tận tình","dạy và ôn tập","Workload","tận tình","Positive"
"11","giáo trình môn học nên cập nhật thường xuyên .","giáo trình môn học nên cập nhật thường xuyên","giáo trình môn học","Course information","nên cập nhật","Positive"
"12","tận tình , giảng dạy dễ hiểu , vui vẻ .","tận tình , giảng dạy dễ hiểu , vui vẻ","giảng dạy","Support from lecturers","tận tình","Positive"
"12","tận tình , giảng dạy dễ hiểu , vui vẻ .","tận tình , giảng dạy dễ hiểu , vui vẻ","giảng dạy","Support from lecturers","dễ hiểu","Positive"
"12","tận tình , giảng dạy dễ hiểu , vui vẻ .","tận tình , giảng dạy dễ hiểu , vui vẻ","giảng dạy","Support from lecturers","vui vẻ","Positive"
"13","thầy giảng rất tận tâm .","thầy giảng rất tận tâm","thầy","Support from lecturers","rất tận tâm","Positive"
"14","tận tình , cung cấp thông tin và giải đáp thắc mắc tốt .","tận tình , cung cấp thông tin và giải đáp thắc mắc tốt","cung cấp thông tin và giải đáp thắc mắc","Support from lecturers","tận tình","Positive"
"14","tận tình , cung cấp thông tin và giải đáp thắc mắc tốt .","tận tình , cung cấp thông tin và giải đáp thắc mắc tốt","cung cấp thông tin và giải đáp thắc mắc","Support from lecturers","giải đáp thắc mắc tốt","Positive"
"15","bù lại cách chấm điểm sẽ đặt nặng phần hiểu vấn đề hơn như thầy wzjwz119 đã từng trình bày .","bù lại cách chấm điểm sẽ đặt nặng phần hiểu vấn đề hơn như thầy wzjwz119 đã từng trình bày","cách chấm điểm","Support from lecturers","bù lại","Neutral"
"16","giáo viên nhiệt tình vui tính .","giáo viên nhiệt tình vui tính","giáo viên","Support from lecturers","nhiệt tình vui tính","Positive"
"17","cách truyền đạt qua lời nói khó hiểu .","cách truyền đạt qua lời nói khó hiểu","cách truyền đạt","Support from lecturers","khó hiểu","Negative"
"18","phòng học được trang bị tốt hơn , đảm bảo tốt cho công tác giảng dạy .","phòng học được trang bị tốt hơn , đảm bảo tốt cho công tác giảng dạy","phòng học","Learning environment","trang bị tốt hơn","Positive"
"18","phòng học được trang bị tốt hơn , đảm bảo tốt cho công tác giảng dạy .","phòng học được trang bị tốt hơn , đảm bảo tốt cho công tác giảng dạy","phòng học","Learning environment","đảm bảo tốt","Positive"
"19","chuyên môn sâu , nhiệt tình , hiệu quả trong giảng dạy , vui tính , dễ hiểu .","chuyên môn sâu , nhiệt tình , hiệu quả trong giảng dạy , vui tính , dễ hiểu","giảng dạy","Support from lecturers","chuyên môn sâu","Positive"
"19","chuyên môn sâu , nhiệt tình , hiệu quả trong giảng dạy , vui tính , dễ hiểu .","chuyên môn sâu , nhiệt tình , hiệu quả trong giảng dạy , vui tính , dễ hiểu","giảng dạy","Support from lecturers","nhiệt tình","Positive"
"19","chuyên môn sâu , nhiệt tình , hiệu quả trong giảng dạy , vui tính , dễ hiểu .","chuyên môn sâu , nhiệt tình , hiệu quả trong giảng dạy , vui tính , dễ hiểu","giảng dạy","Support from lecturers","vui tính","Positive"
"19","chuyên môn sâu , nhiệt tình , hiệu quả trong giảng dạy , vui tính , dễ hiểu .","chuyên môn sâu , nhiệt tình , hiệu quả trong giảng dạy , vui tính , dễ hiểu","giảng dạy","Support from lecturers","dễ hiểu","Positive"
"20","vui tính , dạy dễ hiểu .","vui tính , dạy dễ hiểu","dạy","Teaching quality","vui tính","Positive"
"20","vui tính , dạy dễ hiểu .","vui tính , dạy dễ hiểu","dạy","Teaching quality","dễ hiểu","Positive"
"21","giảng bài cụ thể , chi tiết .","giảng bài cụ thể , chi tiết","giảng bài","Support from lecturers","cụ thể","Positive"
"21","giảng bài cụ thể , chi tiết .","giảng bài cụ thể , chi tiết","giảng bài","Support from lecturers","chi tiết","Positive"
"22","hình thức 2 cần có sự phân bố thời gian gặp sinh viên hợp lý , không thể để cuối kỳ , gặp rồi cho đồ án liên tục , ảnh hưởng đến việc ôn tập cho kỳ thi cuối kỳ của sinh viên .","hình thức 2 cần có sự phân bố thời gian gặp sinh viên hợp lý , không thể để cuối kỳ , gặp rồi cho đồ án liên tục , ảnh hưởng đến việc ôn tập cho kỳ thi cuối kỳ của sinh viên ","sự phân bố thời gian","Organization and management","hợp lý","Positive"
"23","cô dễ thương quá em nhìn cô nhiều hơn nhìn code cô viết colonsmallsmile !","cô dễ thương quá em nhìn cô nhiều hơn nhìn code cô viết colonsmallsmile","cô","Support from lecturers","dễ thương quá","Positive"
"24","thầy dạy tốt nhưng cần giảng mẫu cho sinh viên nắm bắt trước khi giao bài tập về nhà .","thầy dạy tốt nhưng cần giảng mẫu cho sinh viên nắm bắt trước khi giao bài tập về nhà","thầy","Support from lecturers","tốt","Positive"
"25","em biết là cô rất buồn vì chúng em không chú tâm tới môn học của cô .","em biết là cô rất buồn vì chúng em không chú tâm tới môn học của cô","cô","Teaching quality","rất buồn","Negative"
"25","em biết là cô rất buồn vì chúng em không chú tâm tới môn học của cô .","em biết là cô rất buồn vì chúng em không chú tâm tới môn học của cô","cô","Teaching quality","không chú tâm","Negative"
"26","giảng viên dạy tốt .","giảng viên dạy tốt","giảng viên","Support from lecturers","dạy tốt","Positive"
"27","kiến thức giảng hơi khó hiểu , nhưng giải bài tập hay hướng dẫn sinh viên làm bài thì dễ hiểu và còn tận tình chỉ bảo cho sinh viên những gì không biết , cô có thể nói lại , giảng lại một vấn đề vài lần nếu sinh viên vẫn chưa hiểu !","kiến thức giảng hơi khó hiểu , nhưng giải bài tập hay hướng dẫn sinh viên làm bài thì dễ hiểu và còn tận tình chỉ bảo cho sinh viên những gì không biết , cô có thể nói lại , giảng lại một vấn đề vài lần nếu sinh viên vẫn chưa hiểu","kiến thức","Support from lecturers","hơi khó hiểu","Negative"
"27","kiến thức giảng hơi khó hiểu , nhưng giải bài tập hay hướng dẫn sinh viên làm bài thì dễ hiểu và còn tận tình chỉ bảo cho sinh viên những gì không biết , cô có thể nói lại , giảng lại một vấn đề vài lần nếu sinh viên vẫn chưa hiểu !","kiến thức giảng hơi khó hiểu , nhưng giải bài tập hay hướng dẫn sinh viên làm bài thì dễ hiểu và còn tận tình chỉ bảo cho sinh viên những gì không biết , cô có thể nói lại , giảng lại một vấn đề vài lần nếu sinh viên vẫn chưa hiểu","kiến thức","Support from lecturers","tận tình chỉ bảo","Positive"
"27","kiến thức giảng hơi khó hiểu , nhưng giải bài tập hay hướng dẫn sinh viên làm bài thì dễ hiểu và còn tận tình chỉ bảo cho sinh viên những gì không biết , cô có thể nói lại , giảng lại một vấn đề vài lần nếu sinh viên vẫn chưa hiểu !","kiến thức giảng hơi khó hiểu , nhưng giải bài tập hay hướng dẫn sinh viên làm bài thì dễ hiểu và còn tận tình chỉ bảo cho sinh viên những gì không biết , cô có thể nói lại , giảng lại một vấn đề vài lần nếu sinh viên vẫn chưa hiểu","kiến thức","Support from lecturers","dễ hiểu","Positive"
"28","dạy đúng theo giáo trình .","dạy đúng theo giáo trình","giáo trình","Course information","đúng","Positive"
"29","mong giảng viên chủ động trong việc truyền đạt kiến thức hơn , tránh trường hợp đợi hỏi mới trả lời , vì sinh viên làm sao biết cái mình cần hỏi đề hỏi khi lực học mới chỉ ở mức trung bình .","mong giảng viên chủ động trong việc truyền đạt kiến thức hơn , tránh trường hợp đợi hỏi mới trả lời , vì sinh viên làm sao biết cái mình cần hỏi đề hỏi khi lực học mới chỉ ở mức trung bình","giảng viên","Course information","chủ động","Negative"
