"id","Review","Sentence Component","aspect_text","aspect","sentiment_text","sentiment"
"1","giảng viên vui vẻ .","giảng viên vui vẻ","giảng viên","Support from lecturers","vui vẻ","Positive"
"2","nhiều tiết học thú vị .","nhiều tiết học thú vị","nhiều tiết học","Course information","thú vị","Positive"
"3","giảng viên giảng hay , dễ tiếp thu .","giảng viên giảng hay , dễ tiếp thu","giảng viên","Support from lecturers","giảng hay","Positive"
"3","giảng viên giảng hay , dễ tiếp thu .","giảng viên giảng hay , dễ tiếp thu","giảng viên","Support from lecturers","dễ tiếp thu","Positive"
"4","sửa bài tập .","sửa bài tập","sửa bài tập","Workload","sửa","Neutral"
"5","thầy rất tốt , và truyền đạt đầy đủ kiến thức tới sinh viên .","thầy rất tốt , và truyền đạt đầy đủ kiến thức tới sinh viên","thầy","Support from lecturers","rất tốt","Positive"
"5","thầy rất tốt , và truyền đạt đầy đủ kiến thức tới sinh viên .","thầy rất tốt , và truyền đạt đầy đủ kiến thức tới sinh viên","thầy","Support from lecturers","truyền đạt đầy đủ kiến thức","Positive"
"6","trang bị thêm thiết bị nghe nhìn .","trang bị thêm thiết bị nghe nhìn","thiết bị nghe nhìn","Learning environment","trang bị thêm","Positive"
"7","đôi khi giảng bài quá nhanh .","đôi khi giảng bài quá nhanh","giảng bài","Support from lecturers","quá nhanh","Negative"
"9","năng nổ , nhiệt tình .","năng nổ , nhiệt tình","năng nổ , nhiệt tình","General review","năng nổ","Positive"
"9","năng nổ , nhiệt tình .","năng nổ , nhiệt tình","năng nổ , nhiệt tình","General review","nhiệt tình","Positive"
"10","luôn yêu cầu sinh viên nắm vững kiến thức nền nhất trước khi thực hành .","luôn yêu cầu sinh viên nắm vững kiến thức nền nhất trước khi thực hành","thực hành","Course information","nắm vững kiến thức","Positive"
"11","thầy vui vẻ , nhiệt tình và dạy dễ hiểu .","thầy vui vẻ , nhiệt tình và dạy dễ hiểu","thầy","Support from lecturers","vui vẻ","Positive"
"11","thầy vui vẻ , nhiệt tình và dạy dễ hiểu .","thầy vui vẻ , nhiệt tình và dạy dễ hiểu","thầy","Support from lecturers","nhiệt tình","Positive"
"12","thầy vui vẻ , tận tâm , sẵn sàng giải đáp thắc của sinh viên , khả năng truyền đạt tốt .","thầy vui vẻ , tận tâm , sẵn sàng giải đáp thắc của sinh viên , khả năng truyền đạt tốt","thầy","Support from lecturers","vui vẻ","Positive"
"12","thầy vui vẻ , tận tâm , sẵn sàng giải đáp thắc của sinh viên , khả năng truyền đạt tốt .","thầy vui vẻ , tận tâm , sẵn sàng giải đáp thắc của sinh viên , khả năng truyền đạt tốt","thầy","Support from lecturers","tận tâm","Positive"
