id,Review,Sentence Component,aspect_text,aspect,sentiment_text,sentiment
701,"giảng viên giảng dạy rất truyền cảm , tạo cảm giác ham học và hệ thống bài tập dồi dào phong phú .","giảng viên giảng dạy rất truyền cảm , tạo cảm giác ham học",giảng viên giảng dạy,Teaching quality,"rất truyền cảm , tạo cảm giác ham học",Positive
701,"giảng viên giảng dạy rất truyền cảm , tạo cảm giác ham học và hệ thống bài tập dồi dào phong phú .",và hệ thống bài tập dồi dào phong phú,hệ thống bài tập dồi dào,Workload,phong phú,Positive
702,thầy có cách giảng bài rất hay và dễ hiểu .,thầy có cách giảng bài rất hay và dễ hiểu,thầy có cách giảng bài,Teaching quality,rất hay và dễ hiểu,Positive
703,thầy dạy bằng slide bài giảng hơi nhanh .,thầy dạy bằng slide bài giảng hơi nhanh,thầy dạy bằng slide bài giảng,Teaching quality,hơi nhanh,Negative
704,"cách dạy của cô hay , thú vị , tạo động lực .","cách dạy của cô hay , thú vị , tạo động lực",cách dạy của cô,Teaching quality,"hay , thú vị , tạo động lực",Positive
705,"thầy dạy vui vẻ , không có áp lực quá khắt khe .","thầy dạy vui vẻ , không có áp lực quá khắt khe",thầy dạy,Teaching quality,"vui vẻ , không có áp lực quá khắt khe",Positive
706,giải thích cặn kẽ đi sâu hơn nữa .,giải thích cặn kẽ đi sâu hơn nữa,giải thích cặn kẽ đi sâu hơn nữa,Teaching quality,cặn kẽ đi sâu hơn nữa,Positive
707,cho bài tập nhiều em rất thích colonsmile .,cho bài tập nhiều em rất thích colonsmile,cho bài tập nhiều,Workload,em rất thích colonsmile,Positive
708,giảng viên vui vẻ nhiệt tình .,giảng viên vui vẻ nhiệt tình,giảng viên vui vẻ nhiệt tình,Support from lecturers,vui vẻ nhiệt tình,Positive
709,"giảng viên nhiệt tình , phương pháp giảng dạy dễ hiểu .",giảng viên nhiệt tình,giảng viên nhiệt tình,Support from lecturers,nhiệt tình,Positive
709,"giảng viên nhiệt tình , phương pháp giảng dạy dễ hiểu .",phương pháp giảng dạy dễ hiểu,phương pháp giảng dạy,Teaching quality,dễ hiểu,Positive
