id,Review,Sentence Component,aspect_text,aspect,sentiment_text,sentiment
1,"giảng viên dạy cực khó hiểu , khả năng truyền đạt kém , giảng dạy nhàm chán khiến sinh viên không có hứng thú khi tham gia học tập .",giảng viên dạy cực khó hiểu,dạy,Teaching quality,khó hiểu,Negative
1,"giảng viên dạy cực khó hiểu , khả năng truyền đạt kém , giảng dạy nhàm chán khiến sinh viên không có hứng thú khi tham gia học tập .",khả năng truyền đạt kém ,truyền đạt,Teaching quality,kém,Negative
1,"giảng viên dạy cực khó hiểu , khả năng truyền đạt kém , giảng dạy nhàm chán khiến sinh viên không có hứng thú khi tham gia học tập .",giảng dạy nhàm chán khiến sinh viên không có hứng thú khi tham gia học tập .,dạy,Teaching quality,nhàm chán,Negative
2,giảng viên chưa tương tác với sinh viên trên các diễn đàn .,giảng viên chưa tương tác với sinh viên trên các diễn đàn,giảng viên,Support from lecturers,chưa tương tác,Negative
3,cách thầy giảng em không nắm được nội dung tổng quát .,cách thầy giảng em không nắm được nội dung tổng quát,cách thầy giảng,Support from lecturers,không nắm được nội dung tổng quát,Negative
4,thầy hơi khó tính quá .,thầy hơi khó tính quá,thầy,Support from lecturers,hơi khó tính quá,Negative
5,giảng viên cần cập nhập giáo trình và tài liệu môn học một cách đầy đủ hơn trước giờ lên lớp .,giảng viên cần cập nhập giáo trình và tài liệu môn học một cách đầy đủ hơn trước giờ lên lớp,giảng viên,Support from lecturers,cần cập nhập,Positive
6,"cô giảng theo cách cô cũng tốt , tuy nhiên , lớp chỉ có một vài bạn học được , hay trả lời , những câu cô hỏi cả lớp có hiểu hay không , những bạn đó trả lời là hiểu vậy mà nhiều lúc cô đánh đồng cả lớp hiểu .","cô giảng theo cách cô cũng tốt , tuy nhiên , lớp chỉ có một vài bạn học được , hay trả lời , những câu cô hỏi cả lớp có hiểu hay không , những bạn đó trả lời là hiểu vậy mà nhiều lúc cô đánh đồng cả lớp hiểu",cô,Support from lecturers,tốt,Positive
7,chưa tận tâm với sinh viên .,chưa tận tâm với sinh viên,chưa tận tâm với sinh viên,Support from lecturers,chưa tận tâm,Negative
8,học thầy được điểm cao .,học thầy được điểm cao,học thầy,Support from lecturers,được điểm cao,Positive
9,có nhiều câu hỏi hay để sinh viên cùng thảo luận nhằm tìm ra nhiều phương pháp khác nhau để tiếp cận vấn đề .,có nhiều câu hỏi hay để sinh viên cùng thảo luận nhằm tìm ra nhiều phương pháp khác nhau để tiếp cận vấn đề,câu hỏi,Workload,có nhiều,Positive
10,"nhiệt tình , tận tâm với sinh viên .","nhiệt tình , tận tâm với sinh viên","nhiệt tình , tận tâm với sinh viên",Support from lecturers,nhiệt tình,Positive
10,"nhiệt tình , tận tâm với sinh viên .","nhiệt tình , tận tâm với sinh viên","nhiệt tình , tận tâm với sinh viên",Support from lecturers,tận tâm,Positive
11,nhiệt tình và tận tâm .,nhiệt tình và tận tâm,nhiệt tình và tận tâm,Support from lecturers,nhiệt tình và tận tâm,Positive
12,thêm tiết dạy thực hành .,thêm tiết dạy thực hành,tiết dạy thực hành,Course information,thêm,Positive
13,sự thân thiện giúp giảm căng thẳng trong buổi học .,sự thân thiện giúp giảm căng thẳng trong buổi học,sự thân thiện,Support from lecturers,giảm căng thẳng,Positive
14,"dạy hay , nhiệt huyết với nghề , chăm cho học sinh .","dạy hay , nhiệt huyết với nghề , chăm cho học sinh",dạy,Teaching quality,hay,Positive
14,"dạy hay , nhiệt huyết với nghề , chăm cho học sinh .","dạy hay , nhiệt huyết với nghề , chăm cho học sinh",dạy,Teaching quality,nhiệt huyết,Positive
15,kiểm tra sát sao hơn tiến trình làm đồ án sinh viên cho phép sinh viên sáng tạo nhiều cách mới không quá gò bó .,kiểm tra sát sao hơn tiến trình làm đồ án sinh viên cho phép sinh viên sáng tạo nhiều cách mới không quá gò bó,tiến trình làm đồ án sinh viên,Support from lecturers,kiểm tra sát sao,Positive
16,"tận tâm với nghề , rất quan tâm đến sinh viên , luôn giải đáp những thắc mắc trong thời gian nhanh nhất ( kể cả qua gmail ) .","tận tâm với nghề , rất quan tâm đến sinh viên , luôn giải đáp những thắc mắc trong thời gian nhanh nhất ( kể cả qua gmail )","tận tâm với nghề , rất quan tâm đến sinh viên , luôn giải đáp những thắc mắc trong thời gian nhanh nhất ( kể cả qua gmail )",Support from lecturers,tận tâm,Positive
16,"tận tâm với nghề , rất quan tâm đến sinh viên , luôn giải đáp những thắc mắc trong thời gian nhanh nhất ( kể cả qua gmail ) .","tận tâm với nghề , rất quan tâm đến sinh viên , luôn giải đáp những thắc mắc trong thời gian nhanh nhất ( kể cả qua gmail )","tận tâm với nghề , rất quan tâm đến sinh viên , luôn giải đáp những thắc mắc trong thời gian nhanh nhất ( kể cả qua gmail )",Support from lecturers,rất quan tâm,Positive
16,"tận tâm với nghề , rất quan tâm đến sinh viên , luôn giải đáp những thắc mắc trong thời gian nhanh nhất ( kể cả qua gmail ) .","tận tâm với nghề , rất quan tâm đến sinh viên , luôn giải đáp những thắc mắc trong thời gian nhanh nhất ( kể cả qua gmail )","tận tâm với nghề , rất quan tâm đến sinh viên , luôn giải đáp những thắc mắc trong thời gian nhanh nhất ( kể cả qua gmail )",Support from lecturers,luôn giải đáp,Positive
17,đưa ra các tiêu chí tính điểm một cách cụ thể .,đưa ra các tiêu chí tính điểm một cách cụ thể,đưa ra các tiêu chí tính điểm,Support from lecturers,cụ thể,Positive
18,em rất mong muốn được học tiếp các môn liên quan như phân tích mã độc .,em rất mong muốn được học tiếp các môn liên quan như phân tích mã độc,các môn liên quan như phân tích mã độc,Course information,rất mong,Positive
19,"giảng viên làm rõ được vấn đề , dạy những kiến thức thật sự thiết thực cho sinh viên , truyền đạt những kinh nghiệm thực tế trong quá trình giảng dạy .","giảng viên làm rõ được vấn đề , dạy những kiến thức thật sự thiết thực cho sinh viên , truyền đạt những kinh nghiệm thực tế trong quá trình giảng dạy",giảng viên,Support from lecturers,àm rõ được vấn đề,Positive
20,"giảng viên giảng dạy nhiệt tình , bài học sinh động , dễ hiểu .","giảng viên giảng dạy nhiệt tình , bài học sinh động , dễ hiểu",giảng viên,Support from lecturers,nhiệt tình,Positive
20,"giảng viên giảng dạy nhiệt tình , bài học sinh động , dễ hiểu .","giảng viên giảng dạy nhiệt tình , bài học sinh động , dễ hiểu",giảng viên,Support from lecturers,sinh động,Positive
20,"giảng viên giảng dạy nhiệt tình , bài học sinh động , dễ hiểu .","giảng viên giảng dạy nhiệt tình , bài học sinh động , dễ hiểu",giảng viên,Support from lecturers,dễ hiểu,Positive
21,"giáo viên vào tiết đúng giờ , giảng dạy nhiệt tình , tận tâm .","giáo viên vào tiết đúng giờ , giảng dạy nhiệt tình , tận tâm",giáo viên,Support from lecturers,vào tiết đúng giờ,Positive
21,"giáo viên vào tiết đúng giờ , giảng dạy nhiệt tình , tận tâm .","giáo viên vào tiết đúng giờ , giảng dạy nhiệt tình , tận tâm",giáo viên,Support from lecturers,nhiệt tình,Positive
21,"giáo viên vào tiết đúng giờ , giảng dạy nhiệt tình , tận tâm .","giáo viên vào tiết đúng giờ , giảng dạy nhiệt tình , tận tâm",giáo viên,Support from lecturers,tận tâm,Positive
22,"cập nhật các phương thức giảng dạy mới học sơ lược , tiến tới loại bỏ những môn không cần thiết cho ngành sau này nên có thêm các lớp kỹ năng giao tiếp .","cập nhật các phương thức giảng dạy mới học sơ lược , tiến tới loại bỏ những môn không cần thiết cho ngành sau này nên có thêm các lớp kỹ năng giao tiếp",phương thức giảng dạy mới,Course information,cập nhật,Positive
23,"giảng viên vui tính , dễ chịu .","giảng viên vui tính , dễ chịu",giảng viên,Support from lecturers,vui tính,Positive
23,"giảng viên vui tính , dễ chịu .","giảng viên vui tính , dễ chịu",giảng viên,Support from lecturers,dễ chịu,Positive
24,"nhiệt tình , có cách dạy hay .","nhiệt tình , có cách dạy hay",cách dạy,Teaching quality,nhiệt tình,Positive
24,"nhiệt tình , có cách dạy hay .","nhiệt tình , có cách dạy hay",cách dạy,Teaching quality,hay,Positive
25,giảng viên dạy còn hơi nhanh và chưa quan tâm nhiều đến sinh viên .,giảng viên dạy còn hơi nhanh và chưa quan tâm nhiều đến sinh viên,giảng viên,Support from lecturers,hơi nhanh,Negative
25,giảng viên dạy còn hơi nhanh và chưa quan tâm nhiều đến sinh viên .,giảng viên dạy còn hơi nhanh và chưa quan tâm nhiều đến sinh viên,giảng viên,Support from lecturers,chưa quan tâm,Negative
26,"thầy dạy hay , vui vẻ , rất hài lòng .","thầy dạy hay , vui vẻ , rất hài lòng",thầy,Support from lecturers,hay,Positive
