"id","Review","Sentence Component","aspect_text","aspect","sentiment_text","sentiment"
"1","tôi cảm thấy giảng viên dạy rất tốt .","tôi cảm thấy giảng viên dạy rất tốt","giảng viên dạy","Teaching quality","rất tốt","Positive"
"2","không biết thầy nào dạy chính thức , mà học thường nghỉ không thông báo trước để sinh viên đứng chờ sắp hết tiết rồi tự về nhiều lần .","không biết thầy nào dạy chính thức","không biết thầy nào dạy chính thức","Organization and management","không biết thầy nào dạy chính thức","Negative"
"2","không biết thầy nào dạy chính thức , mà học thường nghỉ không thông báo trước để sinh viên đứng chờ sắp hết tiết rồi tự về nhiều lần .","mà học thường nghỉ không thông báo trước để sinh viên đứng chờ sắp hết tiết rồi tự về nhiều lần","mà học thường nghỉ không thông báo trước để sinh viên đứng chờ sắp hết tiết rồi tự về nhiều lần","Organization and management","mà học thường nghỉ không thông báo trước để sinh viên đứng chờ sắp hết tiết rồi tự về nhiều lần","Negative"
"3","cần có sự tương tác giữa giảng viên và sinh viên nhiều hơn .","cần có sự tương tác giữa giảng viên và sinh viên nhiều hơn"," sự tương tác giữa giảng viên và sinh viên","Teaching quality","cần có sự tương tác giữa giảng viên và sinh viên nhiều hơn","Neutral"
"4","giảng viên thân thiện nhiệt tình cởi mở .","giảng viên thân thiện nhiệt tình cởi mở","giảng viên","Teaching quality","thân thiện nhiệt tình cởi mở","Positive"
"5","giáo viên có mời các công ty về trình bày , giúp sinh viên cập nhật kiến thức thực tiễn .","giáo viên có mời các công ty về trình bày","giáo viên có mời các công ty về trình bày","Organization and management","mời các công ty về trình bày","Positive"
"5","giáo viên có mời các công ty về trình bày , giúp sinh viên cập nhật kiến thức thực tiễn .","giúp sinh viên cập nhật kiến thức thực tiễn","giúp sinh viên cập nhật kiến thức thực tiễn","Teaching quality","giúp sinh viên cập nhật kiến thức thực tiễn","Positive"
"6","coi lại thái độ giảng viên thực hành .","coi lại thái độ giảng viên thực hành","thái độ giảng viên thực hành","Teaching quality","coi lại thái độ giảng viên thực hành","Negative"
"7","giảng viên nhiệt tình , giải nhiều bài tập .","giảng viên nhiệt tình , giải nhiều bài tập","giảng viên","Teaching quality","nhiệt tình , giải nhiều bài tập","Positive"
"8","bài giảng của thầy rất nhiệt tình .","bài giảng của thầy rất nhiệt tình","bài giảng của thầy","Teaching quality","rất nhiệt tình","Positive"
"9","môn học chưa thực tiễn , chưa thu hút sinh viên .","môn học chưa thực tiễn , chưa thu hút sinh viên","môn học","Course information","chưa thực tiễn , chưa thu hút sinh viên","Negative"
"10","dạy hơi nhanh !","dạy hơi nhanh","dạy","Teaching quality","hơi nhanh","Negative"
"11","ít làm bài tập .","ít làm bài tập","ít làm bài tập","Workload","ít làm bài tập","Neutral"
"12","giảng bài kém thu hút , vị trí đứng giảng không hợp lý , ôn tập cuối kỳ còn chưa tập trung vào vấn đề .","giảng bài kém thu hút , vị trí đứng giảng không hợp lý","giảng bài kém thu hút , vị trí đứng giảng không hợp lý","Teaching quality","giảng bài kém thu hút , vị trí đứng giảng không hợp lý","Negative"
"12","giảng bài kém thu hút , vị trí đứng giảng không hợp lý , ôn tập cuối kỳ còn chưa tập trung vào vấn đề ."," ôn tập cuối kỳ còn chưa tập trung vào vấn đề","ôn tập cuối kỳ","Teaching quality","còn chưa tập trung vào vấn đề","Negative"
"13","giảng viên nhiệt tình , bài giảng thu hút .","giảng viên nhiệt tình","giảng viên","Teaching quality","nhiệt tình","Positive"
"13","giảng viên nhiệt tình , bài giảng thu hút .","bài giảng thu hút","bài giảng","Teaching quality"," thu hút","Positive"
"14","nhờ thầy và giảng viên lý thuyết , em đã hiểu rõ về môn này rất nhiều !","nhờ thầy và giảng viên lý thuyết , em đã hiểu rõ về môn này rất nhiều","nhờ thầy và giảng viên lý thuyết","Teaching quality","em đã hiểu rõ về môn này rất nhiều","Positive"
"15","môn này khá trừu tượng nên mong thầy có nhiều liên tưởng tới thực tiễn hơn để chúng em có thể hiểu .","môn này khá trừu tượng nên mong thầy có nhiều liên tưởng tới thực tiễn hơn để chúng em có thể hiểu","thầy có nhiều liên tưởng tới thực tiễn","Teaching quality","môn này khá trừu tượng nên mong thầy có nhiều liên tưởng tới thực tiễn hơn để chúng em có thể hiểu","Neutral"
"16","cần thêm nhiều tài liệu cho sinh viên .","cần thêm nhiều tài liệu cho sinh viên"," tài liệu cho sinh viên","Course information","cần thêm nhiều tài liệu","Neutral"
"17","bài tập trên lớp .","bài tập trên lớp","bài tập trên lớp","Workload","bài tập trên lớp","Neutral"
"18","tăng số tiết dạy lên để sinh viên có nhiều cơ hội hỏi đáp thắc mắc về môn học .","tăng số tiết dạy lên để sinh viên có nhiều cơ hội hỏi đáp thắc mắc về môn học","tăng số tiết dạy","Organization and management","tăng số tiết dạy lên để sinh viên có nhiều cơ hội hỏi đáp thắc mắc về môn học","Neutral"
