id,Review,Sentence Component,aspect_text,aspect,sentiment_text,sentiment
1,"cô dạy rất nhiệt tình và tài liệu của cô rất cụ thể dễ hiểu , cô hướng dẫn rất tận tình .",cô dạy rất nhiệt tình và tài liệu của cô rất cụ thể dễ hiểu,cô dạy,Teaching quality,rất nhiệt tình và tài liệu của cô rất cụ thể dễ hiểu,Positive
1,"cô dạy rất nhiệt tình và tài liệu của cô rất cụ thể dễ hiểu , cô hướng dẫn rất tận tình .",cô hướng dẫn rất tận tình,cô hướng dẫn,Support from lecturers,rất tận tình,Positive
2,mong thầy cố gắng trong các học kỳ sau .,mong thầy cố gắng trong các học kỳ sau,thầy cố gắng,Teaching quality,mong thầy cố gắng trong các học kỳ sau,Neutral
3,cần đưa ra nhiều ví dụ minh họa hơn .,cần đưa ra nhiều ví dụ minh họa hơn,nhiều ví dụ minh họa,Teaching quality,cần đưa ra nhiều ví dụ minh họa hơn,Negative
4,"giảng viên hoà đồng , vui vẻ , chỉ giảng tận tình sinh viên ham học hỏi .","giảng viên hoà đồng , vui vẻ ","hoà đồng , vui vẻ",Teaching quality,giảng viên,Positive
4,"giảng viên hoà đồng , vui vẻ , chỉ giảng tận tình sinh viên ham học hỏi .",chỉ giảng tận tình sinh viên ham học hỏi,chỉ giảng tận tình sinh viên ham học hỏ,Support from lecturers,chỉ giảng tận tình sinh viên ham học hỏi,Positive
5,giảng viên không dạy một tiết thực hành nào .,giảng viên không dạy một tiết thực hành nào,giảng viên không dạy một tiết thực hành nào,Course information,giảng viên không dạy một tiết thực hành nào,Negative
6,không !,không,không,General review,không,Neutral
7,nên có sự thống nhất giữa các giảng viên bộ môn trong đề cương giảng dạy .,nên có sự thống nhất giữa các giảng viên bộ môn trong đề cương giảng dạy,đề cương giảng dạy,Course information,nên có sự thống nhất giữa các giảng viên bộ môn trong đề cương giảng dạy,Neutral
8,"có những phần kiến thức chỉ một nửa lớp được học nhưng giảng viên nghĩ là cả lớp đã học rồi nên chỉ overview , những sinh viên còn lại khó nắm được .","có những phần kiến thức chỉ một nửa lớp được học nhưng giảng viên nghĩ là cả lớp đã học rồi nên chỉ overview , những sinh viên còn lại khó nắm được","có những phần kiến thức chỉ một nửa lớp được học nhưng giảng viên nghĩ là cả lớp đã học rồi nên chỉ overview , những sinh viên còn lại khó nắm được",Teaching quality,"có những phần kiến thức chỉ một nửa lớp được học nhưng giảng viên nghĩ là cả lớp đã học rồi nên chỉ overview , những sinh viên còn lại khó nắm được",Negative
9,máy tính cập nhật nhanh hơn .,máy tính cập nhật nhanh hơn,máy tính,Learning environment,cập nhật nhanh hơn,Positive
10,"vui , hòa đồng , nhiệt tình .","vui , hòa đồng , nhiệt tình","vui , hòa đồng , nhiệt tình",Teaching quality,"vui , hòa đồng , nhiệt tình",Positive
11,có giúp đỡ sinh viên học tập nghiên cứu .,có giúp đỡ sinh viên học tập nghiên cứu,giúp đỡ sinh viên học tập nghiên cứu,Support from lecturers,có giúp đỡ sinh viên học tập nghiên cứu,Positive
12,"giảng viên tận tâm , nhiệt tình , ham học hỏi .","giảng viên tận tâm , nhiệt tình , ham học hỏi",giảng viên,Teaching quality,"tận tâm , nhiệt tình , ham học hỏi",Positive
