"id","Review","Sentence Component","aspect_text","aspect","sentiment_text","sentiment"
"1","giáo trình môn học quá mơ hồ nghèo nàn nên giảng viên cũng không biết nên dạy theo thế nào .","giáo trình môn học quá mơ hồ nghèo nàn nên giảng viên cũng không biết nên dạy theo thế nào","giáo trình môn học","Course information","quá mơ hồ","Negative"
"1","giáo trình môn học quá mơ hồ nghèo nàn nên giảng viên cũng không biết nên dạy theo thế nào .","giáo trình môn học quá mơ hồ nghèo nàn nên giảng viên cũng không biết nên dạy theo thế nào","giáo trình môn học","Course information","nghèo nàn","Negative"
"1","giáo trình môn học quá mơ hồ nghèo nàn nên giảng viên cũng không biết nên dạy theo thế nào .","giáo trình môn học quá mơ hồ nghèo nàn nên giảng viên cũng không biết nên dạy theo thế nào","giáo trình môn học","Course information","không biết nên dạy theo thế nào","Negative"
"1","giáo trình môn học quá mơ hồ nghèo nàn nên giảng viên cũng không biết nên dạy theo thế nào .","giáo trình môn học quá mơ hồ nghèo nàn nên giảng viên cũng không biết nên dạy theo thế nào","giảng viên","Support from lecturers","quá mơ hồ","Negative"
"1","giáo trình môn học quá mơ hồ nghèo nàn nên giảng viên cũng không biết nên dạy theo thế nào .","giáo trình môn học quá mơ hồ nghèo nàn nên giảng viên cũng không biết nên dạy theo thế nào","giảng viên","Support from lecturers","nghèo nàn","Negative"
"1","giáo trình môn học quá mơ hồ nghèo nàn nên giảng viên cũng không biết nên dạy theo thế nào .","giáo trình môn học quá mơ hồ nghèo nàn nên giảng viên cũng không biết nên dạy theo thế nào","giảng viên","Support from lecturers","không biết nên dạy theo thế nào","Negative"
"2","giảng rất hay , giảng nội dung quan trọng không lan man .","giảng rất hay , giảng nội dung quan trọng không lan man","giảng","Teaching quality","rất hay","Positive"
"2","giảng rất hay , giảng nội dung quan trọng không lan man .","giảng rất hay , giảng nội dung quan trọng không lan man","giảng","Teaching quality","không lan man","Positive"
"2","giảng rất hay , giảng nội dung quan trọng không lan man .","giảng rất hay , giảng nội dung quan trọng không lan man","giảng","Teaching quality","rất hay","Positive"
"2","giảng rất hay , giảng nội dung quan trọng không lan man .","giảng rất hay , giảng nội dung quan trọng không lan man","giảng","Teaching quality","không lan man","Positive"
"3","nội dung truyền đạt để sinh viên thực hành chưa thực sự tốt .","nội dung truyền đạt để sinh viên thực hành chưa thực sự tốt","nội dung truyền đạt để sinh viên thực hành","Support from lecturers","chưa thực sự tốt","Negative"
"4","thầy giảng bài rất hay và nhiệt tình .","thầy giảng bài rất hay và nhiệt tình","thầy giảng bài","Support from lecturers","rất hay và nhiệt tình","Positive"
"5","thầy rất nhiệt tình , dù lớp có vắng hay đông đủ .","thầy rất nhiệt tình , dù lớp có vắng hay đông đủ","thầy","Support from lecturers","rất nhiệt tình","Positive"
"6","nhiệt tình , vui vẻ hòa đồng với sinh viên .","nhiệt tình , vui vẻ hòa đồng với sinh viên","nhiệt tình , vui vẻ hòa đồng với sinh viên","Support from lecturers","nhiệt tình","Positive"
"6","nhiệt tình , vui vẻ hòa đồng với sinh viên .","nhiệt tình , vui vẻ hòa đồng với sinh viên","nhiệt tình , vui vẻ hòa đồng với sinh viên","Support from lecturers","vui vẻ hòa đồng","Positive"
"7","nhưng trong khi đó tụi em không hiểu một chút gì về môn học mà giảng viên đang giảng dạy thì chép vào để làm gì .","nhưng trong khi đó tụi em không hiểu một chút gì về môn học mà giảng viên đang giảng dạy thì chép vào để làm gì","giảng viên đang giảng dạy","Support from lecturers","không hiểu một chút gì","Negative"
"8","cô cho bài tập thực hành tại chỗ .","cô cho bài tập thực hành tại chỗ","cô","Support from lecturers","cho bài tập thực hành","Neutral"
"9","có nhiều trang thiết bị giảng dạy hơn .","có nhiều trang thiết bị giảng dạy hơn","trang thiết bị giảng dạy","Learning environment","có nhiều","Positive"
"10","cần xem xét lại khi đặt ra những yêu cầu về chấm chéo đồ án các nhóm cũng như trong lớp doubledot quá nhiều yêu cầu , nhiều việc phải làm trong thời gian ngắn dẫn đến sự chuẩn bị không tốt từ các nhóm , vdotv .","cần xem xét lại khi đặt ra những yêu cầu về chấm chéo đồ án các nhóm cũng như trong lớp doubledot quá nhiều yêu cầu , nhiều việc phải làm trong thời gian ngắn dẫn đến sự chuẩn bị không tốt từ các nhóm , vdotv","đặt ra những yêu cầu về chấm chéo đồ án","Support from lecturers","chuẩn bị không tốt","Negative"
"10","cần xem xét lại khi đặt ra những yêu cầu về chấm chéo đồ án các nhóm cũng như trong lớp doubledot quá nhiều yêu cầu , nhiều việc phải làm trong thời gian ngắn dẫn đến sự chuẩn bị không tốt từ các nhóm , vdotv .","cần xem xét lại khi đặt ra những yêu cầu về chấm chéo đồ án các nhóm cũng như trong lớp doubledot quá nhiều yêu cầu , nhiều việc phải làm trong thời gian ngắn dẫn đến sự chuẩn bị không tốt từ các nhóm , vdotv","đặt ra những yêu cầu về chấm chéo đồ án","Support from lecturers","quá nhiều yêu cầu","Negative"
"10","cần xem xét lại khi đặt ra những yêu cầu về chấm chéo đồ án các nhóm cũng như trong lớp doubledot quá nhiều yêu cầu , nhiều việc phải làm trong thời gian ngắn dẫn đến sự chuẩn bị không tốt từ các nhóm , vdotv .","cần xem xét lại khi đặt ra những yêu cầu về chấm chéo đồ án các nhóm cũng như trong lớp doubledot quá nhiều yêu cầu , nhiều việc phải làm trong thời gian ngắn dẫn đến sự chuẩn bị không tốt từ các nhóm , vdotv","đặt ra những yêu cầu về chấm chéo đồ án","Support from lecturers","thời gian ngắn","Negative"
"11","chỉ điểm danh 3 buổi cuối rồi lấy điểm quá trình .","chỉ điểm danh 3 buổi cuối rồi lấy điểm quá trình","điểm danh","Support from lecturers","chỉ","Neutral"
"12","giảng hơi khó hiểu tý .","giảng hơi khó hiểu tý","giảng","Teaching quality","hơi khó hiểu tý","Negative"
"13","môn thực hành này chưa có tài liệu hướng dẫn .","môn thực hành này chưa có tài liệu hướng dẫn","môn thực hành này","Course information","chưa có tài liệu hướng dẫn","Negative"
"14","hướng dẫn và đánh giá đúng kết quả học tập .","hướng dẫn và đánh giá đúng kết quả học tập","hướng dẫn và đánh giá","Support from lecturers","đúng kết quả học tập","Positive"
"15","nhiệt tình !","nhiệt tình","nhiệt tình","Support from lecturers","nhiệt tình","Positive"
"16","giảng viên có kỹ năng tốt , truyền đạt dễ hiểu , dễ áp dụng .","giảng viên có kỹ năng tốt , truyền đạt dễ hiểu , dễ áp dụng","giảng viên","Support from lecturers","có kỹ năng tốt","Positive"
"16","giảng viên có kỹ năng tốt , truyền đạt dễ hiểu , dễ áp dụng .","giảng viên có kỹ năng tốt , truyền đạt dễ hiểu , dễ áp dụng","giảng viên","Support from lecturers","truyền đạt dễ hiểu","Positive"
"16","giảng viên có kỹ năng tốt , truyền đạt dễ hiểu , dễ áp dụng .","giảng viên có kỹ năng tốt , truyền đạt dễ hiểu , dễ áp dụng","giảng viên","Support from lecturers","dễ áp dụng","Positive"
"17","thầy điểm danh nhiều quá ạ colonsad .","thầy điểm danh nhiều quá ạ colonsad","thầy","Support from lecturers","điểm danh nhiều quá ạ","Negative"
"18","cần thêm phần ngôn ngữ sql kết hợp với ngôn ngữ lập trình c để có thể lập trình được cho một cơ sở dữ liệu .","cần thêm phần ngôn ngữ sql kết hợp với ngôn ngữ lập trình c để có thể lập trình được cho một cơ sở dữ liệu","ngôn ngữ sql kết hợp với ngôn ngữ lập trình c","Course information","cần thêm","Positive"
"19","hiểu rõ khả năng từng sinh viên .","hiểu rõ khả năng từng sinh viên","hiểu rõ khả năng từng sinh viên","Support from lecturers","hiểu rõ khả năng","Positive"
"20","không nên nói là sinh viên phải nghiên cứu vấn đề này nhưng doubledot giảng viên phải cho mỗi chương khoảng 30 bài và có đáp án .","không nên nói là sinh viên phải nghiên cứu vấn đề này nhưng doubledot giảng viên phải cho mỗi chương khoảng 30 bài và có đáp án","giảng viên","Support from lecturers","không nên","Negative"
"21","cô đưa ra nhiều hướng giải quyết khi sinh viên gặp vấn đề với đồ án !","cô đưa ra nhiều hướng giải quyết khi sinh viên gặp vấn đề với đồ án","cô","Support from lecturers","đưa ra nhiều hướng giải quyết","Positive"
"22","giảng viên truyền đạt tốt .","giảng viên truyền đạt tốt","giảng viên","Support from lecturers","truyền đạt tốt","Positive"
"23","slide bài giảng chất lượng kém .","slide bài giảng chất lượng kém","slide bài giảng","Course information","chất lượng kém","Negative"
"24","cho nghỉ nhiều , học bù trùng lịch với môn khác .","cho nghỉ nhiều , học bù trùng lịch với môn khác","cho nghỉ nhiều , học bù trùng lịch với môn khác","Support from lecturers","cho nghỉ nhiều","Negative"
"24","cho nghỉ nhiều , học bù trùng lịch với môn khác .","cho nghỉ nhiều , học bù trùng lịch với môn khác","cho nghỉ nhiều , học bù trùng lịch với môn khác","Support from lecturers","học bù trùng lịch với môn khác","Negative"
"25","thầy chu đáo và tỉ mỉ .","thầy chu đáo và tỉ mỉ","thầy","Support from lecturers","chu đáo và tỉ mỉ","Positive"
