id,Review,Sentence Component,aspect_text,aspect,sentiment_text,sentiment
1,chương trình giảng dạy tốt .,chương trình giảng dạy tốt,chương trình giảng dạy,Teaching quality,tốt,Positive
2,"viết bài nhiều quá , nên đưa bài dạy lên hệ thống moodle .",viết bài nhiều quá,viết bài nhiều,Workload,nhiều quá,Negative
2,"viết bài nhiều quá , nên đưa bài dạy lên hệ thống moodle .",nên đưa bài dạy lên hệ thống moodle,đưa bài dạy lên hệ thống moodle,Organization and management,nên,Neutral
3,"thầy dạy tận tâm , giúp đỡ sinh viên hết sức .",thầy dạy tận tâm,dạy,Teaching quality,tận tâm,Positive
3,"thầy dạy tận tâm , giúp đỡ sinh viên hết sức .",giúp đỡ sinh viên hết sức,giúp đỡ sinh viên,Support from lecturers,hết sức,Positive
4,cần nâng cao chất lượng phòng máy .,cần nâng cao chất lượng phòng máy,phòng máy,Learning environment,cần nâng cao,Neutral
5,thầy hay tính toán sai lặt vặt làm khó theo dõi bài giải .,thầy hay tính toán sai lặt vặt làm khó theo dõi bài giải,tính toán sai lặt vặt làm khó theo dõi bài giải,Teaching quality,khó theo dõi,Negative
6,em nghĩ thầy sẽ giúp chúng em học tốt hơn nếu có thêm nhiều bài tập .,em nghĩ thầy sẽ giúp chúng em học tốt hơn nếu có thêm nhiều bài tập,thầy sẽ giúp chúng em,Support from lecturers,học tốt hơn nếu có thêm,Neutral
7,"chia nhóm , ra những đồ án , bài tập nhóm để nâng cao kiến thức cũng như khả năng làm việc tập thể .","chia nhóm , ra những đồ án , bài tập nhóm để nâng cao kiến thức cũng như khả năng làm việc tập thể","chia nhóm , ra những đồ án , bài tập nhóm",Organization and management,nâng cao kiến thức cũng như khả năng làm việc tập thể,Positive
8,gần cuối kỳ giảng viên mới đưa ra đề tài làm đồ án gây khó khăn cho sinh viên .,gần cuối kỳ giảng viên mới đưa ra đề tài làm đồ án gây khó khăn cho sinh viên,gần cuối kỳ giảng viên mới đưa ra đề tài làm đồ án,Organization and management,gây khó khăn,Negative
9,"dễ hiểu , vui tính .","dễ hiểu , vui tính","dễ hiểu , vui tính",Teaching quality,"dễ hiểu , vui tính",Positive
10,tận tình quan tâm học sinh .,tận tình quan tâm học sinh,quan tâm học sinh,Support from lecturers,tận tình quan tâm,Positive
11,theo em thấy thầy nên dạy theo đúng chương trình .,theo em thấy thầy nên dạy theo đúng chương trình,dạy theo đúng chương trình,Teaching quality,nên,Neutral
12,"giảng dạy nhiệt tình , dễ hiểu .","giảng dạy nhiệt tình , dễ hiểu",giảng dạy,Teaching quality,"nhiệt tình , dễ hiểu",Positive
13,kiến thức của giáo viên rất tốt !,kiến thức của giáo viên rất tốt,kiến thức của giáo viên,Teaching quality,tốt,Positive
14,cần giảng kỹ hơn cho sinh viên hiểu bài và có kết hợp với nhiều ví dụ minh họa thực tế .,cần giảng kỹ hơn cho sinh viên hiểu bài và có kết hợp với nhiều ví dụ minh họa thực tế,giảng kỹ hơn cho sinh viên hiểu bài và có kết hợp với nhiều ví dụ minh họa thực tế,Teaching quality,cần giảng kỹ hơn,Neutral
15,"thực hành đa dạng , giúp sinh viên hiểu rõ vấn đề .","thực hành đa dạng , giúp sinh viên hiểu rõ vấn đề","thực hành đa dạng , giúp sinh viên hiểu rõ vấn đề",Teaching quality,hiểu rõ vấn đề,Positive
16,"môn học cần có chút thay đổi về kiểm tra , phần thực hành cần được quan tâm và cần được hỗ trợ hoặc học sau khi đã học được lý thuyết để có nền tảng và cơ sở để thầy cô hướng dẫn sinh viên tốt hơn .",môn học cần có chút thay đổi về kiểm tra,thay đổi về kiểm tra,Test and evaluation,cần có chút,Neutral
