"id","Review","Sentence Component","aspect_text","aspect","sentiment_text","sentiment"
"1","cần những hướng dẫn chi tiết hơn vì tiếp xúc những cái mới thực hành môn lập trình nhúng thầy không hướng dẫn sinh viên mà để sinh viên tự làm 100% .","cần những hướng dẫn chi tiết hơn vì tiếp xúc những cái mới thực hành môn lập trình nhúng thầy không hướng dẫn sinh viên mà để sinh viên tự làm 100%","hướng dẫn chi tiết hơn vì tiếp xúc những cái mới thực hành môn lập trình nhúng thầy không hướng dẫn sinh viên","Support from lecturers","cần những hướng dẫn chi tiết hơn vì tiếp xúc những cái mới thực hành môn lập trình nhúng thầy không hướng dẫn sinh viên mà để sinh viên tự làm 100%","Negative"
"2","hy vọng được học và làm việc với thầy nhiều hơn .","hy vọng được học và làm việc với thầy nhiều hơn","học và làm việc","Teaching quality","hy vọng được học và làm việc với thầy nhiều hơn","Positive"
"3","tài liệu thầy cho đem về ôn cũng phải chờ rất lâu mới có .","tài liệu thầy cho đem về ôn cũng phải chờ rất lâu mới có","tài liệu thầy cho đem về ôn","Course information","cũng phải chờ rất lâu mới có","Negative"
"4","tinh thần trách nhiệm , nhiệt huyết , vui vẻ hòa đồng với sinh viên .","tinh thần trách nhiệm , nhiệt huyết , vui vẻ hòa đồng với sinh viên","tinh thần trách nhiệm , nhiệt huyết , vui vẻ hòa đồng với sinh viên","Teaching quality","tinh thần trách nhiệm , nhiệt huyết , vui vẻ hòa đồng với sinh viên","Positive"
"5","quan tâm tới sinh viên vui vẻ .","quan tâm tới sinh viên vui vẻ","quan tâm tới sinh viên","Support from lecturers","vui vẻ","Positive"
"6","nhiều phần học không kỹ nên khó khăn trong thi .","nhiều phần học không kỹ nên khó khăn trong th","nhiều phần học không kỹ","Teaching quality","nên khó khăn trong thi","Negative"
"7","chuyên môn cao , nhiệt tình .","chuyên môn cao , nhiệt tình","chuyên môn","Teaching quality","cao , nhiệt tình","Positive"
"8","học tới đâu , ôn tới đó .","học tới đâu , ôn tới đó","học","Teaching quality","tới đâu , ôn tới đó","Positive"
"9","hướng dẫn cụ thế phương pháp cho từng bài thực hành .","hướng dẫn cụ thế phương pháp cho từng bài thực hành","hướng dẫn","Teaching quality","cụ thế phương pháp cho từng bài thực hành","Positive"
"10","sẵn sàng giải đáp tận tình mọi thắc mắc của sinh viên khi được hỏi .","sẵn sàng giải đáp tận tình mọi thắc mắc của sinh viên khi được hỏi","mọi thắc mắc của sinh viên","Support from lecturers","sẵn sàng giải đáp tận tình mọi thắc mắc của sinh viên khi được hỏi","Positive"
