"id","Review","Sentence Component","aspect_text","aspect","sentiment_text","sentiment"
"1","hình thức thi đề đóng không phù hợp với môn học .","hình thức thi đề đóng không phù hợp với môn học","hình thức thi đề đóng ","Test and evaluation","không phù hợp với môn học","Negative"
"2","giảng viên tận tâm , nhiệt tình trong công tác giảng dạy .","giảng viên tận tâm , nhiệt tình trong công tác giảng dạy"," công tác giảng dạy","Teaching quality","tận tâm , nhiệt tình","Positive"
"3","thầy dạy dễ hiểu , nhiệt tình với sinh viên .","thầy dạy dễ hiểu , nhiệt tình với sinh viên","thầy dạy","Teaching quality"," dễ hiểu , nhiệt tình","Positive"
"4","giảng viên dạy sai kiến thức về fork , giải thuật round robin , bài tập về chiến lược placement .","giảng viên dạy sai kiến thức về fork , giải thuật round robin , bài tập về chiến lược placement","giảng viên dạy","Teaching quality"," sai kiến thức","Negative"
"5","cô rất nhiệt huyết và tận tâm với công việc .","cô rất nhiệt huyết và tận tâm với công việc","cô","Teaching quality","rất nhiệt huyết và tận tâm","Positive"
"6","thầy nên hướng dẫn sinh viên thực hành thay vì ngồi im như giám thị gác thi thực hành .","thầy nên hướng dẫn sinh viên thực hành thay vì ngồi im như giám thị gác thi thực hành","hướng dẫn sinh viên thực hành thay vì ngồi im như giám thị gác thi thực hành","Support from lecturers","thầy nên","Neutral"
"7","hướng dẫn tận tình !","hướng dẫn tận tình","hướng dẫn","Support from lecturers","tận tình","Positive"
"8","giảng viên cần giảng giải các slide chậm lại và giải kỹ các ví dụ cơ bản .","giảng viên cần giảng giải các slide chậm lại và giải kỹ các ví dụ cơ bản"," cần giảng giải các slide chậm lại ","Teaching quality"," chậm lại","Neutral"
"9","tận tình giúp đỡ học sinh , thầy dạy nhiệt huyết .","tận tình giúp đỡ học sinh","giúp đỡ học sinh","Support from lecturers","tận tình","Positive"
"9","tận tình giúp đỡ học sinh , thầy dạy nhiệt huyết ."," thầy dạy nhiệt huyết","thầy dạy","Teaching quality"," nhiệt huyết","Positive"
"10","cho sinh viên biết điểm thi giữa kỳ và điểm thi speaking ngay khi có thể .","cho sinh viên biết điểm thi giữa kỳ và điểm thi speaking ngay khi có thể ","cho sinh viên biết điểm thi ","Support from lecturers","ngay khi có thể","Neutral"
"11","việc lên lớp và không lên lớp không có khác biệt .","việc lên lớp và không lên lớp không có khác biệt","việc lên lớp và không lên lớp","Teaching quality"," không có khác biệt","Negative"
"12","phải thực hành nhiều hơn nữa .","phải thực hành nhiều hơn nữa","thực hành","Course information","phải thực hành nhiều hơn nữa","Neutral"
"13","thầy rất nhiệt tình , giảng thì dễ hiểu .","thầy rất nhiệt tình ","thầy ","Support from lecturers","rất nhiệt tình","Positive"
"13","thầy rất nhiệt tình , giảng thì dễ hiểu .","giảng thì dễ hiểu","giảng ","Teaching quality","dễ hiểu","Positive"
"14","giáo viên giảng dạy trực quan dễ hiểu .","giáo viên giảng dạy trực quan dễ hiểu","giáo viên giảng dạy ","Teaching quality","trực quan dễ hiểu","Positive"
"15","chưa tận dụng thời gian hiệu quả .","chưa tận dụng thời gian hiệu quả "," tận dụng thời gian","Organization and management","chưa tận dụng thời gian hiệu quả","Negative"
"16","nhất thiết phải đảm bảo yêu cầu về cơ sở vật chất phù hợp với môn học .","nhất thiết phải đảm bảo yêu cầu về cơ sở vật chất phù hợp với môn học ","yêu cầu về cơ sở vật chất","Learning environment","nhất thiết phải đảm bảo ","Neutral"
"17","thầy tương tác nhiều với sinh viên .","thầy tương tác nhiều với sinh viên ","thầy tương tác nhiều với sinh viên","Teaching quality"," tương tác nhiều","Positive"
"18","cần thêm thiết bị để làm các bài tập thực hành về ảo hóa , quản trị .","cần thêm thiết bị để làm các bài tập thực hành về ảo hóa , quản trị","thiết bị","Learning environment","cần thêm","Neutral"
"19","thầy thực hành vào lớp đúng một buổi , chưa đầy 2 tiết và chỉ để giao lưu , trao đổi .","thầy thực hành vào lớp đúng một buổi , chưa đầy 2 tiết và chỉ để giao lưu , trao đổi","vào lớp","Organization and management","thầy thực hành vào lớp đúng một buổi","Negative"
"20","một số phòng thì quạt đã bị hỏng .","một số phòng thì quạt đã bị hỏng","một số phòng ","Learning environment"," quạt đã bị hỏng","Negative"
"21","tăng cường những tiết làm bài tập và phân tích về thực tiễn hơn .","tăng cường những tiết làm bài tập và phân tích về thực tiễn hơn","tăng cường những tiết làm bài tập và phân tích về thực tiễn hơn","General review","tăng cường những tiết làm bài tập và phân tích về thực tiễn hơn","Neutral"
"22","i love teacher x .","i love teacher x ","i love teacher x","General review"," love","Positive"
"23","phương pháp giảng dạy và cách tiếp cận với sinh viên rất tư nhiên , không gò bó .","phương pháp giảng dạy và cách tiếp cận với sinh viên rất tư nhiên , không gò bó","phương pháp giảng dạy và cách tiếp cận","Teaching quality","rất tư nhiên , không gò bó","Positive"
"24","kiến thức rất nhiều , thời giang giảng dạy hơi ít .","kiến thức rất nhiều , thời giang giảng dạy hơi ít","thời giang giảng dạy","Organization and management","hơi ít","Negative"
"25","phần thực hành còn sơ sài , chưa hỗ trợ tốt cho lý thuyết .","phần thực hành còn sơ sài , chưa hỗ trợ tốt cho lý thuyết","phần thực hành","Course information","còn sơ sài","Negative"
"26","cô nhiệt tình quá nên nhiều cái cô giảng đi giảng lại buồn ngủ quá , mà tốn thời gian nữa , nhiều bạn vẫn chưa hiểu thì nên về nhà tự học thêm chứ cô giảng kỹ quá đâm ra dư thừa .","cô nhiệt tình quá nên nhiều cái cô giảng đi giảng lại buồn ngủ quá , mà tốn thời gian nữa , nhiều bạn vẫn chưa hiểu thì nên về nhà tự học thêm chứ cô giảng kỹ quá đâm ra dư thừa","cô nhiệt tình quá","General review","giảng đi giảng lại buồn ngủ quá ","Negative"
"27","cập nhật chương trình học .","cập nhật chương trình học","chương trình học","Course information","cập nhật ","Neutral"
"28","cô dạy khá nhiệt tình , tuy nhiên lý thuyết dạy cô còn hay nhầm lần , làm sinh viên mơ hồ .","cô dạy khá nhiệt tình","cô dạy ","Teaching quality","khá nhiệt tình","Positive"
"28","cô dạy khá nhiệt tình , tuy nhiên lý thuyết dạy cô còn hay nhầm lần , làm sinh viên mơ hồ ."," tuy nhiên lý thuyết dạy cô còn hay nhầm lần , làm sinh viên mơ hồ","lý thuyết dạy","Teaching quality","còn hay nhầm lần , làm sinh viên mơ hồ","Negative"
"29","thầy nhiệt tình , ví dụ hay .","thầy nhiệt tình , ví dụ hay","thầy ","Teaching quality","nhiệt tình , ví dụ hay","Positive"
