id,Review,Sentence Component,aspect_text,aspect,sentiment_text,sentiment
1601,"giảng dạy cứng nhắc , áp đặp , không thu hút , gò bó sinh viên .","giảng dạy cứng nhắc , áp đặp , không thu hút , gò bó sinh viên ",giảng dạy,Teaching quality,"cứng nhắc , áp đặp , không thu hút , gò bó sinh viên",Negative
1602,"giảng dạy hay , đưa ra một số ví dụ thực tế để tăng sinh  động cho tiết dạy .","giảng dạy hay , đưa ra một số ví dụ thực tế để tăng sinh động cho tiết dạy",giảng dạy,Teaching quality," hay , đưa ra một số ví dụ thực tế để tăng sinh động cho tiết dạy",Positive
1603,cho bài tập nâng cao khả năng tiếng anh .,cho bài tập nâng cao khả năng tiếng anh, bài tập,Workload,cho bài tập nâng cao khả năng tiếng anh,Neutral
1604,em thấy học vậy cũng được rồi .,em thấy học vậy cũng được rồi,em thấy học vậy cũng được rồi,General review,học vậy cũng được rồi,Neutral
1605,đề cương môn học chưa được cập nhật cho sinh viên .,đề cương môn học chưa được cập nhật cho sinh viên,đề cương môn học,Course information,chưa được cập nhật,Neutral
1606,thầy cần tập trung thật nhiều vào phần trọng tâm trọng điểm mà môn học đã được đề ra .,thầy cần tập trung thật nhiều vào phần trọng tâm trọng điểm mà môn học đã được đề ra,thầy cần tập trung thật nhiều vào phần trọng tâm trọng điểm,Teaching quality,cần tập trung thật nhiều vào phần trọng tâm trọng điểm mà môn học đã được đề ra,Neutral
1607,"giảng viên cho bài tập nhiều , đầy đủ .","giảng viên cho bài tập nhiều , đầy đủ",bài tập,Workload,"cho bài tập nhiều , đầy đủ",Positive
1608,bài tập giảng viên cho tại lớp đáp ứng nhu cầu của sinh viên .,bài tập giảng viên cho tại lớp đáp ứng nhu cầu của sinh viên,bài tập giảng viên cho tại lớp,Workload,đáp ứng nhu cầu,Positive
1609,thầy dạy có tâm ạ .,thầy dạy có tâm ạ,thầy dạy,Teaching quality,có tâm,Positive
1610,kiến thức và cách dạy hay .,kiến thức và cách dạy hay,kiến thức và cách dạy,Teaching quality,hay,Positive
1611,thầy rất vui .,thầy rất vui,thầy rất vui,General review,thầy rất vui,Positive
1612,gần gủi với sinh viên .,gần gủi với sinh viên,gần gủi với sinh viên,Support from lecturers,gần gủi ,Positive
1613,thầy dạy nhiệt tình và đúng giờ .,thầy dạy nhiệt tình và đúng giờ,thầy dạy,Teaching quality,nhiệt tình và đúng giờ,Positive
1614,thường xuyên cho bài tập về nhà giúp sinh viên nắm rõ được kiến thức vững chắc hơn .,thường xuyên cho bài tập về nhà giúp sinh viên nắm rõ được kiến thức vững chắc hơn,bài tập về nhà,Workload,giúp sinh viên nắm rõ được kiến thức vững chắc hơn,Positive
1615,khá tận tình .,khá tận tình,khá tận tình,Support from lecturers,khá tận tình,Positive
1616,chọn thời gian báo cáo phù hợp cho sinh viên .,chọn thời gian báo cáo phù hợp cho sinh viên,chọn thời gian báo cáo,Test and evaluation,phù hợp,Positive
1617,"giảng viên nhiệt tình , đúng giờ .","giảng viên nhiệt tình , đúng giờ",giảng viên nhiệt tình,Support from lecturers," nhiệt tình , đúng giờ",Positive
1618,"giảng viên tận tâm , nhiệt tình , cho sinh viên thuyết trình các chủ đề cho trước , giúp sinh viên tăng cường khả năng làm việc nhóm .","giảng viên tận tâm , nhiệt tình , cho sinh viên thuyết trình các chủ đề cho trước , giúp sinh viên tăng cường khả năng làm việc nhóm",giảng viên tận tâm,Support from lecturers,"tận tâm , nhiệt tình , cho sinh viên thuyết trình các chủ đề cho trước , giúp sinh viên tăng cường khả năng làm việc nhóm",Positive
1619,"dạy kiến thức khá là cao cấp , vượt hơn khả năng hiểu biết của đa số sinh viên .","dạy kiến thức khá là cao cấp , vượt hơn khả năng hiểu biết của đa số sinh viên",dạy kiến thức,Teaching quality,"khá là cao cấp , vượt hơn khả năng hiểu biết",Neutral
1620,thầy dạy hiểu bài .,thầy dạy hiểu bài,thầy dạy,Teaching quality,hiểu bài,Positive
1621,"thầy hay hát vu vơ , nghe cũng hay nhưng cũng rất buồn cười .","thầy hay hát vu vơ , nghe cũng hay nhưng cũng rất buồn cười ","thầy hay hát vu vơ , nghe cũng hay nhưng cũng rất buồn cười",General review,nghe cũng hay nhưng cũng rất buồn cười,Positive
1622,"nâng cấp trang thiết bị , đặc biệt là loa nghe để có chật lượng tốt nhất .","nâng cấp trang thiết bị , đặc biệt là loa nghe để có chật lượng tốt nhất ",trang thiết bị,Learning environment,"nâng cấp trang thiết bị , đặc biệt là loa nghe để có chật lượng tốt nhất",Neutral
1623,"giảng viên hướng dẫn rõ , chỉ dẫn từng sinh viên .","giảng viên hướng dẫn rõ , chỉ dẫn từng sinh viên",giảng viên hướng dẫn,Support from lecturers,"rõ , chỉ dẫn từng sinh viên",Positive
1624,cô không đăng slide bài học lên trước mà chỉ đăng sau khi đã học xong vì thế khi không hiểu thì không có slide để đọc lại .,cô không đăng slide bài học lên trước mà chỉ đăng sau khi đã học xong vì thế khi không hiểu thì không có slide để đọc lại,cô không đăng slide bài học,Support from lecturers,không đăng slide bài học lên trước mà chỉ đăng sau khi đã học xong vì thế khi không hiểu ,Negative
1625,"cách dạy của thầy chưa hiệu quả , nhiều lúc còn nâng đỡ một số sinh viên .",cách dạy của thầy chưa hiệu quả,cách dạy của thầy,Teaching quality,chưa hiệu quả,Negative
1625,"cách dạy của thầy chưa hiệu quả , nhiều lúc còn nâng đỡ một số sinh viên .",nhiều lúc còn nâng đỡ một số sinh viên,nâng đỡ một số sinh viên,Support from lecturers,nhiều lúc còn nâng đỡ,Negative
1627,tăng cường giao lưu thực tiễn tiếng anh .,tăng cường giao lưu thực tiễn tiếng anh,giao lưu thực tiễn tiếng anh,Course information,tăng cường ,Neutral
