"id","Review","Sentence Component","aspect_text","aspect","sentiment_text","sentiment"
"1","giáo viên dạy rất dễ tiếp thu , ngoài ra còn bổ sung kiến thức kiến anh .","giáo viên dạy rất dễ tiếp thu , ngoài ra còn bổ sung kiến thức kiến anh","dạy","Teaching quality","rất dễ tiếp thu , ngoài ra còn bổ sung kiến thức kiến anh","Positive"
"2","môn này nếu được thực hành nhiều sẽ đảm bảo chất lượng hơn các bạn sinh viên tự tìm tòi cũng được nhưng sẽ tốt hơn nếu có người hướng dẫn .","môn này nếu được thực hành nhiều sẽ đảm bảo chất lượng hơn","môn này","Course information","nếu được thực hành nhiều sẽ đảm bảo chất lượng hơn","Neutral"
"2","môn này nếu được thực hành nhiều sẽ đảm bảo chất lượng hơn các bạn sinh viên tự tìm tòi cũng được nhưng sẽ tốt hơn nếu có người hướng dẫn .","các bạn sinh viên tự tìm tòi cũng được nhưng sẽ tốt hơn nếu có người hướng dẫn","người hướng dẫn","Support from lecturers","các bạn sinh viên tự tìm tòi cũng được nhưng sẽ tốt hơn nếu có người hướng dẫn","Neutral"
"3","giảng viên dạy rất tốt , nhiệt tình , khả năng sư phạm cao .","giảng viên dạy rất tốt , nhiệt tình ","dạy","Teaching quality"," rất tốt , nhiệt tình","Positive"
"3","giảng viên dạy rất tốt , nhiệt tình , khả năng sư phạm cao .","khả năng sư phạm cao","khả năng sư phạm","Teaching quality"," cao","Positive"
"4","giảng viên đi trễ nhiều lần .","giảng viên đi trễ nhiều lần","giảng viên đi trễ","Organization and management"," nhiều lần","Negative"
"5","khả năng truyền đạt tốt , hay .","khả năng truyền đạt tốt , hay","khả năng truyền đạt","Teaching quality"," tốt , hay","Positive"
"6","giảng viên giảng bài dễ hiểu , vui tính , nhiệt tình .","giảng viên giảng bài dễ hiểu , vui tính , nhiệt tình","giảng bài","Teaching quality","dễ hiểu , vui tính , nhiệt tình","Positive"
"7","đây liệu có phải là chuyên môn nghề nghiệp của ngành công nghệ thông tin chúng ta .","đây liệu có phải là chuyên môn nghề nghiệp của ngành công nghệ thông tin chúng ta","đây liệu có phải là chuyên môn nghề nghiệp của ngành công nghệ thông tin chúng ta","General review","đây liệu có phải là chuyên môn nghề nghiệp của ngành công nghệ thông tin chúng ta","Neutral"
"8","mọi thứ thầy dạy rất mơ hồ .","mọi thứ thầy dạy rất mơ hồ","mọi thứ thầy dạy","Teaching quality"," rất mơ hồ","Negative"
"9","giảng viên rất nhiệt tình , giảng dạy tốt , dễ hiểu .","giảng viên rất nhiệt tình ","giảng viên rất nhiệt tình","Support from lecturers"," rất nhiệt tình","Positive"
"9","giảng viên rất nhiệt tình , giảng dạy tốt , dễ hiểu .","giảng dạy tốt , dễ hiểu ","giảng dạy","Teaching quality","tốt , dễ hiểu","Positive"
"10","thầy luôn quan tâm đến các khó khăn mà sinh viên gặp phải và giúp đỡ sinh viên giải quyết tận tâm và nhiệt tình .","thầy luôn quan tâm đến các khó khăn mà sinh viên gặp phải ","quan tâm đến các khó khăn mà sinh viên gặp phải","Support from lecturers"," luôn quan tâm ","Positive"
"10","thầy luôn quan tâm đến các khó khăn mà sinh viên gặp phải và giúp đỡ sinh viên giải quyết tận tâm và nhiệt tình ."," giúp đỡ sinh viên giải quyết tận tâm và nhiệt tình","giúp đỡ sinh viên ","Teaching quality"," giải quyết tận tâm và nhiệt tình","Positive"
"11","giáo viên vui tính , nhiệt tình .","giáo viên vui tính , nhiệt tình","giáo viên vui tính , nhiệt tình","Teaching quality","vui tính , nhiệt tình","Positive"
"12","giáo viên đến rất sớm , dạy nhiệt tình .","giáo viên đến rất sớm ","giáo viên đến rất sớm ","Organization and management"," rất sớm","Positive"
"12","giáo viên đến rất sớm , dạy nhiệt tình ."," dạy nhiệt tình","dạy","Teaching quality","nhiệt tình","Positive"
"13","cô nhiệt tình , đáng yêu , cân nhắc học trò khi học trò còn thiếu hụt kỹ năng làm việc , cô còn dành thời gian nghỉ trưa để cho nhóm làm báo cáo bù .","cô nhiệt tình , đáng yêu","cô nhiệt tình , đáng yêu","Teaching quality","nhiệt tình , đáng yêu ","Positive"
"13","cô nhiệt tình , đáng yêu , cân nhắc học trò khi học trò còn thiếu hụt kỹ năng làm việc , cô còn dành thời gian nghỉ trưa để cho nhóm làm báo cáo bù .","cân nhắc học trò khi học trò còn thiếu hụt kỹ năng làm việc","cân nhắc học trò khi học trò còn thiếu hụt kỹ năng làm việc","Support from lecturers"," cân nhắc học trò khi học trò còn thiếu hụt kỹ năng làm việc","Positive"
