"id","Review","Sentence Component","aspect_text","aspect","sentiment_text","sentiment"
"1","phương pháp giảng dạy tạo hứng thú cho học sinh .","phương pháp giảng dạy tạo hứng thú cho học sinh","phương pháp giảng dạy ","Teaching quality","tạo hứng thú cho học sinh","Positive"
"2","nghỉ học thường xuyên .","nghỉ học thường xuyên","nghỉ học","Organization and management","nghỉ học thường xuyên","Negative"
"3","thầy giảng chi tiết , dễ hiểu .","thầy giảng chi tiết , dễ hiểu","thầy giảng","Teaching quality","chi tiết , dễ hiểu","Positive"
"4","môn này giải bài tập khá nhiều và khó .","môn này giải bài tập khá nhiều và khó ","giải bài tập","Workload","khá nhiều và khó","Negative"
"5","nên có các buổi ra ngoài tiếp xúc ví dụ như quận 1 có các người nước ngoài , trung tâm văn hóa thanh niên có câu lạc bộ tiếng anh .","nên có các buổi ra ngoài tiếp xúc ví dụ như quận 1 có các người nước ngoài , trung tâm văn hóa thanh niên có câu lạc bộ tiếng anh","quận 1 có các người nước ngoài , trung tâm văn hóa thanh niên có câu lạc bộ tiếng anh","Learning environment","nên có các buổi ra ngoài tiếp xúc","Neutral"
"6","những thiết bị phục vụ cho việc giảng dạy cần được trang bị tốt hơn , ví dụ như máy chiếu hơi bị mờ , các bạn ngồi ở phía sau không thấy , phòng học chỉ có 2 cái phạt , rất nóng nực vào mùa hè .","những thiết bị phục vụ cho việc giảng dạy cần được trang bị tốt hơn ","những thiết bị phục vụ cho việc giảng dạy cần được trang bị tốt hơn","General review","cần được trang bị tốt hơn","Negative"
"6","những thiết bị phục vụ cho việc giảng dạy cần được trang bị tốt hơn , ví dụ như máy chiếu hơi bị mờ , các bạn ngồi ở phía sau không thấy , phòng học chỉ có 2 cái phạt , rất nóng nực vào mùa hè .","ví dụ như máy chiếu hơi bị mờ , các bạn ngồi ở phía sau không thấy","máy chiếu","Learning environment","hơi bị mờ , các bạn ngồi ở phía sau không thấy","Negative"
"6","những thiết bị phục vụ cho việc giảng dạy cần được trang bị tốt hơn , ví dụ như máy chiếu hơi bị mờ , các bạn ngồi ở phía sau không thấy , phòng học chỉ có 2 cái phạt , rất nóng nực vào mùa hè .","phòng học chỉ có 2 cái phạt , rất nóng nực vào mùa hè","phòng học chỉ có 2 cái phạt","Learning environment","rất nóng nực vào mùa hè","Negative"
"7","giảng viên còn vắng nhiều buổi và thông báo vắng chưa hợp lý .","giảng viên còn vắng nhiều buổi","vắng nhiều buổi","Organization and management","còn vắng nhiều buổi","Negative"
"7","giảng viên còn vắng nhiều buổi và thông báo vắng chưa hợp lý .","thông báo vắng chưa hợp lý","thông báo vắng","Organization and management","chưa hợp lý","Negative"
"8","giảng bài chi tiết , cụ thể .","giảng bài chi tiết , cụ thể","giảng bài","Teaching quality","chi tiết , cụ thể","Positive"
"9","cô dạy tâm huyết , giảng dạy nhiệt tình , tương tác nhiều với sinh viên .","cô dạy tâm huyết","cô dạy","Teaching quality","tâm huyết","Positive"
"9","cô dạy tâm huyết , giảng dạy nhiệt tình , tương tác nhiều với sinh viên .","giảng dạy nhiệt tình","giảng dạy","Teaching quality","nhiệt tình","Positive"
"9","cô dạy tâm huyết , giảng dạy nhiệt tình , tương tác nhiều với sinh viên .","tương tác nhiều với sinh viên","tương tác","Support from lecturers","tương tác nhiều với sinh viên","Positive"
