Review,Sentence Component,aspect_text,aspect,sentiment_text,sentiment,aspect_encoded,sentiment_encoded
thầy nghiêm khắc khiến học sinh tập trung học hơn .,thầy nghiêm khắc khiến học sinh tập trung học hơn,thầy nghiêm khắc khiến học sinh,Support from lecturers,khắc khiến học sinh tập trung học hơn,Positive,4,2
"thầy dạy khá hay , cung cấp nhiều thông tin liên quan đến môn học , đưa ra nhiều hướng giải quyết khi sinh viên gặp vấn đề khó khăn với đồ án !",đưa ra nhiều hướng giải quyết khi sinh viên gặp vấn đề khó khăn với đồ án,đưa ra nhiều hướng giải quyết,Support from lecturers,đưa ra nhiều hướng giải quyết khi sinh viên gặp vấn đề khó khăn với đồ án,Positive,4,2
em nghĩ sơ đồ của đề thi ( câu tự luân ) nên dịch ra tiếng việt .,em nghĩ sơ đồ của đề thi ( câu tự luân ) nên dịch ra tiếng việt, sơ đồ của đề thi ( câu tự luân ),Test and evaluation, nên dịch ra tiếng việt,Neutral,6,1
đến cuối kỳ sẽ đỡ bỡ ngỡ hơn .,đến cuối kỳ sẽ đỡ bỡ ngỡ hơn,đến cuối kỳ,Workload,sẽ đỡ bỡ ngỡ hơn,Positive,7,2
"thầy rất nhiệt tình và năng động , học thầy có thêm nhiều kiến thức mới không chỉ gói gọn trong nội dung môn học .",học thầy có thêm nhiều kiến thức mới không chỉ gói gọn trong nội dung môn học,học thầy,Teaching quality,có thêm nhiều kiến thức mới không chỉ gói gọn trong nội dung môn học,Positive,5,2
"cô dạy rất nhiệt tình , giảng rất hay .","cô dạy rất nhiệt tình , giảng rất hay",cô,Support from lecturers,dạy rất nhiệt tình,Positive,4,2
tương tác tốt với tất cả sinh viên trong giờ học .,tương tác tốt với tất cả sinh viên trong giờ học,tương tác tốt với tất cả sinh viên trong giờ học,Support from lecturers,tương tác tốt,Positive,4,2
"giảng dạy tốt , nhiệt huyết với sinh viên .",giảng dạy tốt,giảng dạy,Teaching quality,tốt,Positive,5,2
"giảng dạy đúng giờ , hiệu quả .","giảng dạy đúng giờ , hiệu quả",giảng dạy,Teaching quality,"đúng giờ , hiệu quả",Positive,5,2
"thay hình thức thi giữa kỳ tự luận bằng thi trắc nghiệm , mở lớp đăng ký thực hành sớm để sinh viên không bị đăng ký trùng lịch .",mở lớp đăng ký thực hành sớm để sinh viên không bị đăng ký trùng lịch,mở lớp đăng ký thực hành sớm để sinh viên không bị đăng ký trùng lịch,Organization and management,mở lớp đăng ký thực hành sớm để sinh viên không bị đăng ký trùng lịch,Neutral,3,1
"thầy rất nhiệt tình trong quá trình giảng dạy , luôn giúp đỡ sinh viên trong lúc làm bài cũng như mắc lỗi .",thầy rất nhiệt tình trong quá trình giảng dạy, giảng dạy,Teaching quality, rất nhiệt tình ,Positive,5,2
"giảng viên dạy rất nhiệt tình , giúp đỡ sinh viên rất nhiều .",giảng viên dạy rất nhiệt tình,giảng viên dạy,Teaching quality,nhiệt tình,Positive,5,2
"nhiệt tình trong giảng dạy , vui vẻ , hòa đồng .","vui vẻ , hòa đồng","vui vẻ , hòa đồng",Support from lecturers,"vui vẻ , hòa đồng",Positive,4,2
"giảng viên cần chuẩn bị giáo án trước khi đến lớp , giảng viên diễn đạt không tốt cần phải học cách diễn đạt cho sinh viên dễ hiểu .",giảng viên cần chuẩn bị giáo án trước khi đến lớp,giảng viên cần chuẩn bị giáo án,Teaching quality, cần chuẩn bị giáo án trước khi đến lớp ,Negative,5,0
"thầy có khả năng truyền đạt tốt , vui tính .","thầy có khả năng truyền đạt tốt , vui tính",khả năng truyền đạt,Teaching quality,"tốt , vui tính",Positive,5,2
