"id","Review","Sentence Component","aspect_text","aspect","sentiment_text","sentiment"
"1401","hòa đồng , vui vẻ và biết tiếp thu ý kiến sinh viên .","hòa đồng , vui vẻ và biết tiếp thu ý kiến sinh viên","tiếp thu ý kiến sinh viên","Support from lecturers","hòa đồng , vui vẻ","Positive"
"1402","chưa nhiệt tình lắm .","chưa nhiệt tình lắm","nhiệt tình","Support from lecturers","chưa","Negative"
"1403","giáo viên giảng dạy tốt , phát huy tốt khả năng nghe nói và đọc của sinh viên .","giáo viên giảng dạy tốt","giáo viên giảng dạy","Teaching quality","tốt","Positive"
"1403","giáo viên giảng dạy tốt , phát huy tốt khả năng nghe nói và đọc của sinh viên .","phát huy tốt khả năng nghe nói và đọc của sinh viên","khả năng nghe nói và đọc của sinh viên","Teaching quality","phát huy tốt","Positive"
"1404","bảo thủ trong cách giảng dạy , không giải đáp thắc mắc hỗ trợ sinh viên khi đang thực hành .","bảo thủ trong cách giảng dạy","cách giảng dạy","Teaching quality","bảo thủ","Negative"
"1404","bảo thủ trong cách giảng dạy , không giải đáp thắc mắc hỗ trợ sinh viên khi đang thực hành .","không giải đáp thắc mắc hỗ trợ sinh viên khi đang thực hành","giải đáp thắc mắc","Support from lecturers","không giải đáp","Negative"
"1405","phải học quá nhiều phần không cần thiết , nên giảm bớt vài nội dung , ví dụ doubledot vector ngẫu nhiên 2 chiều , phân phối poison .","phải học quá nhiều phần không cần thiết","học quá nhiều phần","Workload","không cần thiết","Negative"
"1405","phải học quá nhiều phần không cần thiết , nên giảm bớt vài nội dung , ví dụ doubledot vector ngẫu nhiên 2 chiều , phân phối poison ."," nên giảm bớt vài nội dung , ví dụ doubledot vector ngẫu nhiên 2 chiều , phân phối poison","doubledot vector ngẫu nhiên 2 chiều , phân phối poison","Course information"," nên giảm bớt","Negative"
"1406","thầy dạy kỹ , dễ hiểu , minh họa lý thuyết kỹ , liên tưởng thực tế .","thầy dạy kỹ , dễ hiểu , minh họa lý thuyết kỹ , liên tưởng thực tế","thầy dạy","Teaching quality","kỹ , dễ hiểu","Positive"
"1407","không đăng bài tập hằng tuần sớm để sinh viên có thời gian thực hiện .","không đăng bài tập hằng tuần sớm để sinh viên có thời gian thực hiện","đăng bài tập","Organization and management","không đăng bài tập hằng tuần sớm","Negative"
"1408","cô thường xuyên kiểm tra bài .","cô thường xuyên kiểm tra bài","kiểm tra bài","Test and evaluation","thường xuyên","Neutral"
"1409","thầy dạy dễ hiểu , sinh động , có nhiều ví dụ cụ thể !","thầy dạy dễ hiểu , sinh động , có nhiều ví dụ cụ thể ","thầy dạy","Teaching quality","dễ hiểu , sinh động","Positive"
"1410","thầy luôn cố gắng giúp học sinh hiểu rõ bản chất .","thầy luôn cố gắng giúp học sinh hiểu rõ bản chất","giúp học sinh","Support from lecturers","luôn cố gắng giúp","Positive"
"1411","lượng kiến thức thì nhiều mà thời gian dạy thì ít , mong phòng đào tạo có thể xem xét và chia ra dạy mỗi môn 1 - 3 ngôn ngữ , ví dụ như html , css làm 1 môn học , js và jquery làm 1 môn , php làm 1 môn .","lượng kiến thức thì nhiều mà thời gian dạy thì ít","lượng kiến thức","Workload","nhiều mà thời gian dạy thì ít","Negative"
"1411","lượng kiến thức thì nhiều mà thời gian dạy thì ít , mong phòng đào tạo có thể xem xét và chia ra dạy mỗi môn 1 - 3 ngôn ngữ , ví dụ như html , css làm 1 môn học , js và jquery làm 1 môn , php làm 1 môn .","mong phòng đào tạo có thể xem xét và chia ra dạy mỗi môn 1 - 3 ngôn ngữ , ví dụ như html , css làm 1 môn học , js và jquery làm 1 môn , php làm 1 môn","môn 1 - 3 ngôn ngữ","Course information","xem xét và chia ra dạy","Neutral"
"1412","có phương phát giảng dạy dễ hiểu .","có phương phát giảng dạy dễ hiểu ","phương phát giảng dạy","Teaching quality","dễ hiểu","Positive"
"1413","có nhiều câu chuyện thú vị bên cạnh việc giảng dạy , tương tác với lớp nhằm tạo điều kiện cho việc tiếp thu kiến thức dễ dàng .","có nhiều câu chuyện thú vị bên cạnh việc giảng dạy , tương tác với lớp nhằm tạo điều kiện cho việc tiếp thu kiến thức dễ dàng","giảng dạy , tương tác với lớp","Teaching quality","câu chuyện thú vị","Positive"
"1413","có nhiều câu chuyện thú vị bên cạnh việc giảng dạy , tương tác với lớp nhằm tạo điều kiện cho việc tiếp thu kiến thức dễ dàng .","có nhiều câu chuyện thú vị bên cạnh việc giảng dạy , tương tác với lớp nhằm tạo điều kiện cho việc tiếp thu kiến thức dễ dàng","giảng dạy , tương tác với lớp","Teaching quality","tiếp thu kiến thức dễ dàng","Positive"
"1414","khi tụi em học môn đặc tả hình thức thầy wzjwz169 giảng dạy thì tụi em không hiểu thầy đang nói gì , không hiểu được môn này học để làm gì và nó có ứng dụng vào thực tiễn như thế nào .","khi tụi em học môn đặc tả hình thức thầy wzjwz169 giảng dạy thì tụi em không hiểu thầy đang nói gì , không hiểu được môn này học để làm gì và nó có ứng dụng vào thực tiễn như thế nào"," giảng dạy ","Teaching quality"," không hiểu","Negative"
"1415","theo em , tài liệu môn học còn thiếu .","theo em , tài liệu môn học còn thiếu ","tài liệu môn học","Course information"," còn thiếu ","Negative"
"1416","dạy nhiệt tình với sinh viên .","dạy nhiệt tình với sinh viên","dạy","Teaching quality","nhiệt tình","Positive"
"1417","giảng viên giảng bài có hiệu quả , kết hợp giữa lý thuyết và chương trình giúp sinh viên có thể nắm rõ .","giảng viên giảng bài có hiệu quả","giảng viên giảng bài","Teaching quality","có hiệu quả","Positive"
"1417","giảng viên giảng bài có hiệu quả , kết hợp giữa lý thuyết và chương trình giúp sinh viên có thể nắm rõ ."," kết hợp giữa lý thuyết và chương trình giúp sinh viên có thể nắm rõ ","kết hợp giữa lý thuyết và chương trình","Teaching quality","có thể nắm rõ","Positive"
"1418","giảng viên truyền đạt rất tốt , rất dễ hiểu .","giảng viên truyền đạt rất tốt , rất dễ hiểu","giảng viên truyền đạt","Teaching quality","rất tốt , rất dễ hiểu","Positive"
"1419","cô wzjwz62 có phương pháp giảng dạy theo em là phù hợp với đặc thù của môn anh văn , cô luôn tạo ra những hoạt động dạy học đầy hứng thú và luôn bảo đảm kiến thức được truyền tải đến sinh viên một cách tốt nhất , đúng và đầy đủ nhất .","cô wzjwz62 có phương pháp giảng dạy theo em là phù hợp với đặc thù của môn anh văn","phương pháp giảng dạy","Teaching quality","phù hợp","Positive"
"1419","cô wzjwz62 có phương pháp giảng dạy theo em là phù hợp với đặc thù của môn anh văn , cô luôn tạo ra những hoạt động dạy học đầy hứng thú và luôn bảo đảm kiến thức được truyền tải đến sinh viên một cách tốt nhất , đúng và đầy đủ nhất ."," cô luôn tạo ra những hoạt động dạy học đầy hứng thú và luôn bảo đảm kiến thức được truyền tải đến sinh viên một cách tốt nhất , đúng và đầy đủ nhất .","tạo ra những hoạt động dạy học","Teaching quality","đầy hứng thú","Positive"
"1420","cô cũng rất thân thiện và gần gũi với sinh viên .","cô cũng rất thân thiện và gần gũi với sinh viên","thân thiện và gần gũi","Support from lecturers","rất thân thiện và gần gũi","Positive"
"1421","đi học thể dục thật ra em không biết thầy nào với thầy nào đâu , vì lâu lâu mới có thầy dạy .","đi học thể dục thật ra em không biết thầy nào với thầy nào đâu , vì lâu lâu mới có thầy dạy","thầy dạy","Teaching quality","lâu lâu mới có","Negative"
"1422","cô dạy hay , dễ hiểu , nhiều ví dụ minh hoạ , kết hợp cả lý thuyết và thực hành .","cô dạy hay , dễ hiểu , nhiều ví dụ minh hoạ , kết hợp cả lý thuyết và thực hành","cô dạy","Teaching quality","hay , dễ hiểu , nhiều ví dụ minh hoạ","Positive"
"1423","thầy dạy cho nghỉ nhiều .","thầy dạy cho nghỉ nhiều","thầy dạy","Teaching quality","cho nghỉ nhiều","Negative"
"1424","em nghĩ đây là sự cố do phòng đào tạo buộc thầy thay đổi hình thức thi , ban đầu chúng em được thông báo là thi cuối kỳ trên máy tính , nhưng sau đó lại phải thi trên giấy .","em nghĩ đây là sự cố do phòng đào tạo buộc thầy thay đổi hình thức thi , ban đầu chúng em được thông báo là thi cuối kỳ trên máy tính , nhưng sau đó lại phải thi trên giấy","hình thức thi","Organization and management","được thông báo là thi cuối kỳ trên máy tính , nhưng sau đó lại phải thi trên giấy","Negative"
"1425","phòng wzjwz98 dãy nhà wzjwz99 buổi chiều quá nóng và nắng !","phòng wzjwz98 dãy nhà wzjwz99 buổi chiều quá nóng và nắng","phòng wzjwz98 dãy nhà wzjwz99 buổi chiều","Learning environment","quá nóng và nắng","Negative"
"1426","khi thi thì thời gian quá ngắn để thực hiện trình bày dù đã nghĩ ra cách giải dạy sinh viên "" làm nhanh những việc dễ "" dạy sinh viên thành "" thợ "" .","khi thi thì thời gian quá ngắn để thực hiện trình bày dù đã nghĩ ra cách giải dạy sinh viên "" làm nhanh những việc dễ "" dạy sinh viên thành "" thợ ""","khi thi","Test and evaluation","thời gian quá ngắn ","Negative"
"1427","thầy dạy không nhiệt tình , nhất là phần thực hành .","thầy dạy không nhiệt tình , nhất là phần thực hành","thầy dạy","Support from lecturers","thầy dạy","Negative"
"1427","thầy dạy không nhiệt tình , nhất là phần thực hành .","thầy dạy không nhiệt tình , nhất là phần thực hành","thầy dạy","Support from lecturers","không nhiệt tình","Negative"
"1428","thầy rất tận tình .","thầy rất tận tình","thầy","Support from lecturers","rất tận tình","Positive"
"1429","có nhiệt huyết trong giảng dạy .","có nhiệt huyết trong giảng dạy","giảng dạy","Teaching quality","có nhiệt huyết","Positive"
"1430","thầy hay dạy lố giờ sang thời gian ăn trưa .","thầy hay dạy lố giờ sang thời gian ăn trưa","thầy hay dạy","Teaching quality","lố giờ","Negative"
"1431","kết thúc môn học , sinh viên không được chạm tay sử dụng bất kỳ phần mềm nào được giới thiệu .","kết thúc môn học , sinh viên không được chạm tay sử dụng bất kỳ phần mềm nào được giới thiệu ","kết thúc môn học","Course information","không được chạm tay sử dụng","Negative"
"1432","nên tổng hợp ý chính các bài để ôn .","nên tổng hợp ý chính các bài để ôn","ý chính các bài","Course information","nên tổng hợp","Neutral"
"1433","phương pháp giảng dạy khá tốt .","phương pháp giảng dạy khá tốt","phương pháp giảng dạy","Teaching quality","khá tốt","Positive"
"1434","thầy trả lời mail không có thiện cảm .","thầy trả lời mail không có thiện cảm","thầy trả lời mail","Support from lecturers","không có thiện cảm","Negative"
"1435","bổ xung trang thiết bị thực hành thực tiễn cho môn này , không chỉ đơn thuần là thực hành trên máy tính không .","bổ xung trang thiết bị thực hành thực tiễn cho môn này","trang thiết bị thực hành thực tiễn","Learning environment","bổ xung","Neutral"
"1435","bổ xung trang thiết bị thực hành thực tiễn cho môn này , không chỉ đơn thuần là thực hành trên máy tính không ."," không chỉ đơn thuần là thực hành trên máy tính không","thực hành trên máy tính","Learning environment"," không chỉ đơn thuần","Neutral"
"1436","thầy rất nguyên tắc và mọi thứ được sắp xếp rõ ràng .","thầy rất nguyên tắc và mọi thứ được sắp xếp rõ ràng","thầy","Teaching quality","rất nguyên tắc","Positive"
"1436","thầy rất nguyên tắc và mọi thứ được sắp xếp rõ ràng .","thầy rất nguyên tắc và mọi thứ được sắp xếp rõ ràng","thầy","Teaching quality","sắp xếp rõ ràng","Positive"
"1437","giáo viên giảng dạy đúng giờ quy định , nội dung bài học sinh động .","giáo viên giảng dạy đúng giờ quy định","giáo viên giảng dạy","Teaching quality","đúng giờ","Positive"
"1437","giáo viên giảng dạy đúng giờ quy định , nội dung bài học sinh động .","nội dung bài học sinh động","nội dung bài học","Teaching quality","sinh động","Positive"
"1438","thầy đúng giờ giấc , giúp đỡ tốt trong quá trình thực hành .","thầy đúng giờ giấc , giúp đỡ tốt trong quá trình thực hành ","thầy đúng giờ giấc","Support from lecturers","tốt","Positive"
"1439","đánh giá cao colonsmile .","đánh giá cao colonsmile","đánh giá","General review","cao","Positive"
"1440","các thắc mắc có thể giải quyết tốt với giáo viên lý thuyết , cho nên không cần phải có thêm 1 giáo viên thực hành .","các thắc mắc có thể giải quyết tốt với giáo viên lý thuyết","giáo viên lý thuyết","Support from lecturers","tốt","Positive"
"1440","các thắc mắc có thể giải quyết tốt với giáo viên lý thuyết , cho nên không cần phải có thêm 1 giáo viên thực hành ."," cho nên không cần phải có thêm 1 giáo viên thực hành","giáo viên thực hành","Support from lecturers","không cần phải có","Negative"
"1441","thầy dạy có tâm , nhiệt tình với sinh viên .","thầy dạy có tâm , nhiệt tình với sinh viên","thầy dạy","Teaching quality","có tâm , nhiệt tình","Positive"
