"id","Review","Sentence Component","aspect_text","aspect","sentiment_text","sentiment"
"1","trang bị thêm sách bài tập .","trang bị thêm sách bài tập","sách bài tập","Course information","trang bị thêm","Neutral"
"2","giảng dạy ngắn gọn , dễ hiểu , nhiệt tình .","giảng dạy ngắn gọn , dễ hiểu , nhiệt tình","giảng dạy","Teaching quality","ngắn gọn , dễ hiểu , nhiệt tình","Positive"
"3","cô giáo nói rõ ràng dễ hiểu .","cô giáo nói rõ ràng dễ hiểu","nói","Teaching quality"," rõ ràng dễ hiểu","Positive"
"4","đề kiểm tra không phù hợp với các dạng bài được hướng dẫn trong lớp , ra kiểm tra các dạng bài mới , phân bổ nội dung trong bài kiểm tra không đồng đều với nội dung giảng dạy .","đề kiểm tra không phù hợp với các dạng bài được hướng dẫn trong lớp","đề kiểm tra","Test and evaluation","không phù hợp với các dạng bài được hướng dẫn trong lớp","Negative"
"4","đề kiểm tra không phù hợp với các dạng bài được hướng dẫn trong lớp , ra kiểm tra các dạng bài mới , phân bổ nội dung trong bài kiểm tra không đồng đều với nội dung giảng dạy .","ra kiểm tra các dạng bài mớ","ra kiểm tra ","Test and evaluation","các dạng bài mới","Negative"
"4","đề kiểm tra không phù hợp với các dạng bài được hướng dẫn trong lớp , ra kiểm tra các dạng bài mới , phân bổ nội dung trong bài kiểm tra không đồng đều với nội dung giảng dạy .","phân bổ nội dung trong bài kiểm tra không đồng đều với nội dung giảng dạy","phân bổ nội dung trong bài kiểm tra","Test and evaluation","không đồng đều với nội dung giảng dạy","Negative"
"5","thầy còn hướng dẫn kỹ tại sao những dòng code hoạt động và không hoạt động .","thầy còn hướng dẫn kỹ tại sao những dòng code hoạt động và không hoạt động","thầy còn hướng dẫn","Teaching quality","kỹ tại sao những dòng code hoạt động và không hoạt động","Positive"
"6","theo sát kỹ sinh viên .","theo sát kỹ sinh viên","theo sát kỹ sinh viên","Support from lecturers","theo sát kỹ sinh viên","Positive"
"7","chất lượng môn học rất tốt .","chất lượng môn học rất tốt","chất lượng môn học","Course information"," rất tốt","Positive"
"8","ít nhiệt tình .","ít nhiệt tình ","ít nhiệt tình","Support from lecturers","ít nhiệt tình","Negative"
"9","nên tăng cường các bài tập về nhà .","nên tăng cường các bài tập về nhà"," các bài tập về nhà","Workload","nên tăng cường","Neutral"
"10","sau đó thầy cho lời giải sau vài tuần .","sau đó thầy cho lời giải sau vài tuần ","thầy cho lời giải sau vài tuần","Support from lecturers","sau đó thầy cho lời giải sau vài tuần","Neutral"
"11","tài liệu , nội dung bài học thầy wzjwz197 cung cấp đầy đủ , chi tiết .","tài liệu , nội dung bài học thầy wzjwz197 cung cấp đầy đủ , chi tiết ","tài liệu , nội dung bài học","Course information","cung cấp đầy đủ , chi tiết","Positive"
"12","giáo viên không giúp đỡ sinh viên thực hành .","giáo viên không giúp đỡ sinh viên thực hành"," giúp đỡ sinh viên thực hành","Support from lecturers"," không giúp đỡ sinh viên thực hành","Negative"
"13","thì rất thoải mái , dễ gần gũi , hay cười .","thì rất thoải mái , dễ gần gũi , hay cười","rất thoải mái , dễ gần gũi , hay cười","Teaching quality","rất thoải mái , dễ gần gũi , hay cười","Positive"
"14","thầy dạy hơi chậm chút .","thầy dạy hơi chậm chút","dạy","Teaching quality","hơi chậm chút","Negative"
"15","cám ơn thầy !","cám ơn thầy","cám ơn thầy","General review","cám ơn thầy","Positive"
"16","giảng viên cần phải có phương pháp dạy hay hơn để sinh viên yếu có hứng thú đối với môn học .","giảng viên cần phải có phương pháp dạy hay hơn để sinh viên yếu có hứng thú đối với môn học","phương pháp dạy","Teaching quality"," cần phải có phương pháp dạy hay hơn để sinh viên yếu có hứng thú đối với môn học","Neutral"
"17","truyền đạt tốt , tận tâm , nhiệt tình với sinh viên .","truyền đạt tốt , tận tâm , nhiệt tình với sinh viên","truyền đạt","Teaching quality","tốt , tận tâm , nhiệt tình với sinh viên","Positive"
"18","không dạy bài tập cho sinh viên .","không dạy bài tập cho sinh viên","dạy bài tập cho sinh viên","Teaching quality","không dạy","Negative"
"19","cô dạy không có điểm nhấn cứ đều đều cho đến hết buổi .","cô dạy không có điểm nhấn cứ đều đều cho đến hết buổi","dạy","Teaching quality"," không có điểm nhấn cứ đều đều cho đến hết buổi","Negative"
"20","cô tận tâm với sinh viên .","cô tận tâm với sinh viên","tận tâm với sinh viên","Support from lecturers","tận tâm với sinh viên","Positive"
"21","giảng bài dễ nghe , dễ hiểu , có nhiều ví dụ minh họa .","giảng bài dễ nghe , dễ hiểu , có nhiều ví dụ minh họa","giảng bài ","Teaching quality"," dễ nghe , dễ hiểu , có nhiều ví dụ minh họa","Positive"
"22","cô khá hiền và cho nhiều bài tập .","cô khá hiền","cô khá hiền","Teaching quality","khá hiền","Positive"
"22","cô khá hiền và cho nhiều bài tập .","cho nhiều bài tập","bài tập","Workload","cho nhiều","Positive"
"23","cô dạy nhiệt tình và khá hay .","cô dạy nhiệt tình và khá hay","dạy","Teaching quality","nhiệt tình và khá hay","Positive"
"24","thái độ đối với sinh viên không tốt , dẫn đến việc cảm thấy không thoải mái khi học .","thái độ đối với sinh viên không tốt , dẫn đến việc cảm thấy không thoải mái khi học","thái độ đối với sinh viên","Teaching quality"," không tốt , dẫn đến việc cảm thấy không thoải mái khi học","Negative"
"25","cần phát các bài kiểm tra còn tồn động .","cần phát các bài kiểm tra còn tồn động"," phát các bài kiểm tra còn tồn động","Test and evaluation","cần phát","Neutral"
"26","giảng viên dạy rất nhiệt tình , tạo sự thoải mái trong lớp học làm sinh viên hứng thú khi đến lớp .","giảng viên dạy rất nhiệt tình , tạo sự thoải mái trong lớp học làm sinh viên hứng thú khi đến lớp","dạy","Teaching quality"," rất nhiệt tình , tạo sự thoải mái trong lớp học làm sinh viên hứng thú khi đến lớp","Positive"
"27","quá nhiều , quá lan man .","quá nhiều , quá lan man","quá nhiều , quá lan man","Course information","quá nhiều , quá lan man","Negative"
"28","nhiệt tình , giảng kỹ .","nhiệt tình","nhiệt tình","Support from lecturers","nhiệt tình","Positive"
"28","nhiệt tình , giảng kỹ .","giảng kỹ","giảng","Teaching quality","kỹ","Positive"
"29","thầy dạy rất nhiệt tình , chăm chú sinh viên coloncontemn .","thầy dạy rất nhiệt tình","dạy","Teaching quality","rất nhiệt tình","Positive"
"29","thầy dạy rất nhiệt tình , chăm chú sinh viên coloncontemn .","chăm chú sinh viên coloncontemn","chăm chú sinh viên","Support from lecturers","chăm chú sinh viên","Positive"
