"id","Review","Sentence Component","aspect_text","aspect","sentiment_text","sentiment"
"1","dạy nhiệt tình dễ hiểu , đi học chuyên cần đầy đủ là điểm sẽ tốt và đề cô ra vừa sức học của sinh viên .","dạy nhiệt tình dễ hiểu ","dạy","Teaching quality"," nhiệt tình dễ hiểu","Positive"
"1","dạy nhiệt tình dễ hiểu , đi học chuyên cần đầy đủ là điểm sẽ tốt và đề cô ra vừa sức học của sinh viên .","đi học chuyên cần đầy đủ là điểm sẽ tốt ","đi học chuyên cần đầy đủ ","Organization and management","điểm sẽ tốt","Positive"
"1","dạy nhiệt tình dễ hiểu , đi học chuyên cần đầy đủ là điểm sẽ tốt và đề cô ra vừa sức học của sinh viên .","đề cô ra vừa sức học của sinh viên","đề ","Test and evaluation","vừa sức học của sinh viên","Positive"
"2","thầy rất nhiệt tình giảng dạy và giúp đỡ sinh viên .","thầy rất nhiệt tình giảng dạy"," giảng dạy","Teaching quality","rất nhiệt tình","Positive"
"2","thầy rất nhiệt tình giảng dạy và giúp đỡ sinh viên .","giúp đỡ sinh viên","giúp đỡ sinh viên","Support from lecturers","giúp đỡ","Positive"
"3","yêu cầu khá cao cho sinh viên về môn học .","yêu cầu khá cao cho sinh viên về môn học","môn học","Course information","yêu cầu khá cao cho sinh viên","Neutral"
"4","hiếm có giảng viên nào truyền đạt cảm hứng học tập và cả kiến thức bổ ích như thầy .","hiếm có giảng viên nào truyền đạt cảm hứng học tập và cả kiến thức bổ ích như thầy","truyền đạt","Teaching quality","truyền đạt cảm hứng học tập và cả kiến thức bổ ích ","Positive"
"5","kiến thức thu được là con số 0 , ngao ngán với bài tập cách giảng dạy của giảng viên .","kiến thức thu được là con số 0","kiến thức thu được","General review","là con số 0 ","Negative"
"5","kiến thức thu được là con số 0 , ngao ngán với bài tập cách giảng dạy của giảng viên .","ngao ngán với bài tập cách giảng dạy của giảng viên","cách giảng dạy của giảng viên","Teaching quality","ngao ngán ","Negative"
"6","giảng viên cần linh hoạt , không cứng nhắc chỉ ngồi đọc slide , cần có cách giảng dạy phù hợp để sinh viên dễ tiếp thu hơn .","giảng viên cần linh hoạt , không cứng nhắc chỉ ngồi đọc slide , cần có cách giảng dạy phù hợp để sinh viên dễ tiếp thu hơn","giảng viên cần linh hoạt , không cứng nhắc chỉ ngồi đọc slide , cần có cách giảng dạy phù hợp để sinh viên dễ tiếp thu hơn ","General review","giảng viên cần linh hoạt , không cứng nhắc chỉ ngồi đọc slide , cần có cách giảng dạy phù hợp để sinh viên dễ tiếp thu hơn","Neutral"
