"id","Review","Sentence Component","aspect_text","aspect","sentiment_text","sentiment"
"1","học dễ hiểu .","học dễ hiểu","học dễ hiểu","Teaching quality","dễ hiểu","Positive"
"2","cô dạy tận tình , đưa nhiều kiến thức cho sinh viên .","cô dạy tận tình","dạy","Teaching quality","tận tình","Positive"
"2","cô dạy tận tình , đưa nhiều kiến thức cho sinh viên .","đưa nhiều kiến thức cho sinh viên","đưa nhiều kiến thức cho sinh viên","Teaching quality","nhiều kiến thức","Positive"
"3","bài giảng sinh động có hứng thú với sinh viên đến lớp .","bài giảng sinh động có hứng thú với sinh viên đến lớp","bài giảng","Teaching quality","sinh động có hứng thú","Positive"
"4","cô dễ thương , dễ tính , giảng dễ hiểu .","cô dễ thương , dễ tính","cô dễ thương , dễ tính","Support from lecturers","dễ thương , dễ tính","Positive"
"4","cô dễ thương , dễ tính , giảng dễ hiểu .","giảng dễ hiểu","giảng","Teaching quality","dễ hiểu","Positive"
"5","thầy cực kỳ tận tâm nhiệt tình , giảng bài rất dễ nhớ .","thầy cực kỳ tận tâm nhiệt tình","thầy cực kỳ tận tâm nhiệt tình","Support from lecturers","tận tâm nhiệt tình","Positive"
"5","thầy cực kỳ tận tâm nhiệt tình , giảng bài rất dễ nhớ .","giảng bài rất dễ nhớ","giảng bài","Teaching quality","dễ nhớ","Positive"
"6","các nhóm có cùng đề tài 'abc' cùng vào báo cáo một lượt cho lẹ !","các nhóm có cùng đề tài 'abc' cùng vào báo cáo một lượt cho lẹ","nhóm có cùng đề tài 'abc' cùng vào báo cáo một lượt","Organization and management","lẹ","Neutral"
"7","giảng viên giảng bài không tạo được sự hứng thú cho sinh viên khi học , nên thường phải áp dụng phương pháp của các giáo viên dạy môn chính trị như doubledot không cho sử dụng điện thoại , laptop trong lớp , điểm danh hoặc gọi tên để trả lời câu hỏi .","giảng viên giảng bài không tạo được sự hứng thú cho sinh viên khi học","giảng bài","Teaching quality","không tạo được sự hứng thú","Negative"
