id,Review,Sentence Component,aspect_text,aspect,sentiment_text,sentiment
1,cô dạy rất hay hay và nhiệt tình .,cô dạy rất hay hay và nhiệt tình,dạy ,Teaching quality,rất hay hay và nhiệt tình,Positive
2,giảm tải lượng bài tập phần thực hành .,giảm tải lượng bài tập phần thực hành,lượng bài tập phần thực hành,Workload,giảm tải lượng bài tập phần thực hành,Negative
3,"thầy tận tâm và rất nhiệt tình với sinh viên , ngoài ra thầy cũng khá hài hước .",thầy tận tâm và rất nhiệt tình với sinh viên,thầy tận tâm và rất nhiệt tình với sinh viên,Support from lecturers, tận tâm và rất nhiệt tình với sinh viên,Positive
3,"thầy tận tâm và rất nhiệt tình với sinh viên , ngoài ra thầy cũng khá hài hước .",ngoài ra thầy cũng khá hài hước,thầy cũng khá hài hước,Teaching quality,cũng khá hài hước,Positive
4,giờ giấc lộn xộn .,giờ giấc lộn xộn,giờ giấc,Organization and management, lộn xộn,Negative
5,"giảng viên lần đầu giảng dạy , chưa có nhiều kinh nghiệm truyền đạt .",giảng viên lần đầu giảng dạy,giảng dạy,Teaching quality,lần đầu giảng dạy,Negative
5,"giảng viên lần đầu giảng dạy , chưa có nhiều kinh nghiệm truyền đạt .",chưa có nhiều kinh nghiệm truyền đạt,kinh nghiệm truyền đạt,Teaching quality,chưa có nhiều,Negative
6,mở rộng kiến thức làm cơ sở cho các môn học khác .,mở rộng kiến thức làm cơ sở cho các môn học khác,kiến thức làm cơ sở cho các môn học khác,Course information,mở rộng kiến thức làm cơ sở cho các môn học khác,Positive
7,"đồng thời , phòng học được phân bổ không hợp lý với những lớp học về trưa , phòng khá nóng bức , quạt cũng không mát , máy chiếu khá mờ và cửa khó đóng mở khi trời mưa hoặc khi quá nắng .","đồng thời , phòng học được phân bổ không hợp lý với những lớp học về trưa",phòng học được phân bổ không hợp lý với những lớp học về trưa,Organization and management,không hợp lý,Negative
7,"đồng thời , phòng học được phân bổ không hợp lý với những lớp học về trưa , phòng khá nóng bức , quạt cũng không mát , máy chiếu khá mờ và cửa khó đóng mở khi trời mưa hoặc khi quá nắng .",phòng khá nóng bức,phòng,Learning environment,khá nóng bức,Negative
7,"đồng thời , phòng học được phân bổ không hợp lý với những lớp học về trưa , phòng khá nóng bức , quạt cũng không mát , máy chiếu khá mờ và cửa khó đóng mở khi trời mưa hoặc khi quá nắng .", quạt cũng không mát,quạt ,Learning environment, không mát,Negative
7,"đồng thời , phòng học được phân bổ không hợp lý với những lớp học về trưa , phòng khá nóng bức , quạt cũng không mát , máy chiếu khá mờ và cửa khó đóng mở khi trời mưa hoặc khi quá nắng .",máy chiếu khá mờ ,máy chiếu ,Learning environment,khá mờ,Negative
7,"đồng thời , phòng học được phân bổ không hợp lý với những lớp học về trưa , phòng khá nóng bức , quạt cũng không mát , máy chiếu khá mờ và cửa khó đóng mở khi trời mưa hoặc khi quá nắng .",cửa khó đóng mở khi trời mưa hoặc khi quá nắng,cửa,Learning environment, khó đóng mở khi trời mưa hoặc khi quá nắng,Negative
8,vô cùng nhiệt tình với sinh viên .,vô cùng nhiệt tình với sinh viên,nhiệt tình,Support from lecturers,vô cùng nhiệt tình,Positive
9,làm như vậy gây khó khăn rất lớn cho sinh viên trong việc phân bổ thời gian phù hợp cho môn học này .,làm như vậy gây khó khăn rất lớn cho sinh viên trong việc phân bổ thời gian phù hợp cho môn học này,việc phân bổ thời gian phù hợp cho môn học,Organization and management,gây khó khăn rất lớn cho sinh viên,Negative
10,nên tăng tiết thực hành .,nên tăng tiết thực hành, tiết thực hành,Course information,nên tăng,Positive
11,có đầy đủ trang thiết bị .,có đầy đủ trang thiết bị,trang thiết bị,Learning environment,có đầy đủ ,Positive
12,"giảng viên giảng kỹ , nhiệt tình .","giảng viên giảng kỹ , nhiệt tình",giảng viên giảng,Teaching quality,"kỹ , nhiệt tình",Positive
13,"cần chuyên nghiệp hơn , cụ thể hơn để sinh viên dễ dàng tiếp cận .","cần chuyên nghiệp hơn , cụ thể hơn để sinh viên dễ dàng tiếp cận","cần chuyên nghiệp hơn , cụ thể hơn để sinh viên dễ dàng tiếp cận",Teaching quality,"cần chuyên nghiệp hơn , cụ thể hơn ",Negative
14,cần cho bài tập lời giải mẫu nhiều hơn .,cần cho bài tập lời giải mẫu nhiều hơn, bài tập lời giải mẫu ,Workload,cần cho bài tập lời giải mẫu nhiều hơn,Neutral
15,"giảng viên thân thiện , truyền đạt nội dung tốt .",giảng viên thân thiện,giảng viên thân thiện,Teaching quality, thân thiện,Positive
15,"giảng viên thân thiện , truyền đạt nội dung tốt .",truyền đạt nội dung tốt,truyền đạt nội dung,Teaching quality, tốt,Positive
16,về trễ .,về trễ,về trễ,Organization and management,về trễ,Negative
17,"nên ra đề phù hợp với năng lực của sinh viên hơn , hình thức đề thi không nên đánh đố sinh viên .",nên ra đề phù hợp với năng lực của sinh viên hơn,đề phù hợp với năng lực của sinh viên,Test and evaluation,nên ra đề phù hợp với năng lực của sinh viên hơn,Negative
17,"nên ra đề phù hợp với năng lực của sinh viên hơn , hình thức đề thi không nên đánh đố sinh viên .",hình thức đề thi không nên đánh đố sinh viên,hình thức đề thi,Test and evaluation,không nên đánh đố sinh viên,Negative
18,nên đổi phòng học sang phòng chất lượng cao .,nên đổi phòng học sang phòng chất lượng cao,phòng học,Learning environment,nên đổi phòng học sang phòng chất lượng cao,Neutral
19,"phương pháp dạy hiệu quả , tiếp thu bài nhanh , có ôn lại những phần cũ , giảng viên tích cực , nhiệt tình .","phương pháp dạy hiệu quả , tiếp thu bài nhanh",phương pháp dạy,Teaching quality," hiệu quả , tiếp thu bài nhanh",Positive
19,"phương pháp dạy hiệu quả , tiếp thu bài nhanh , có ôn lại những phần cũ , giảng viên tích cực , nhiệt tình .",có ôn lại những phần cũ,ôn lại những phần cũ,Teaching quality,có ôn lại những phần cũ,Positive
19,"phương pháp dạy hiệu quả , tiếp thu bài nhanh , có ôn lại những phần cũ , giảng viên tích cực , nhiệt tình .","giảng viên tích cực , nhiệt tình","giảng viên tích cực , nhiệt tình",Teaching quality,"tích cực , nhiệt tình",Positive
