id,Review,Sentence Component,aspect_text,aspect,sentiment_text,sentiment
1,dạy hơi khó hiểu và nói quá nhanh .,dạy hơi khó hiểu và nói quá nhanh,dạy,Teaching quality,hơi khó hiểu,Negative
1,dạy hơi khó hiểu và nói quá nhanh .,dạy hơi khó hiểu và nói quá nhanh,dạy,Teaching quality,nói quá nhanh,Negative
2,thầy rất chịu khó lắng nghe ý kiến của sinh viên .,thầy rất chịu khó lắng nghe ý kiến của sinh viên,thầy,Support from lecturers,rất chịu khó lắng nghe ý kiến,Positive
2,thầy rất chịu khó lắng nghe ý kiến của sinh viên .,thầy rất chịu khó lắng nghe ý kiến của sinh viên,rất chịu khó lắng nghe ý kiến,Support from lecturers,rất chịu khó lắng nghe ý kiến,Positive
3,"giáo viên dạy tân tâm , dễ hiểu .","giáo viên dạy tân tâm , dễ hiểu",giáo viên,Support from lecturers,tân tâm,Positive
3,"giáo viên dạy tân tâm , dễ hiểu .","giáo viên dạy tân tâm , dễ hiểu",giáo viên,Support from lecturers,dễ hiểu,Positive
4,"thầy giảng rất tốt , em hiểu gần như mọi thứ thầy dạy và áp dụng tốt nó .","thầy giảng rất tốt , em hiểu gần như mọi thứ thầy dạy và áp dụng tốt nó",thầy,Support from lecturers,rất tốt,Positive
5,chúng em gửi lời cám ơn đến thầy wzjwz213 !,chúng em gửi lời cám ơn đến thầy wzjwz213,thầy,Support from lecturers,gửi lời cám ơn,Positive
6,"thời gian lên lớp sinh viên chúng em không được học gì từ thầy , chỉ toàn là tự tìm hiểu .","thời gian lên lớp sinh viên chúng em không được học gì từ thầy , chỉ toàn là tự tìm hiểu",thầy,Support from lecturers,không được học gì,Negative
7,cô dạy em rất buồn ngủ .,cô dạy em rất buồn ngủ,cô,Teaching quality,rất buồn ngủ,Negative
8,đánh giá môn học sơ sài và không công bằng .,đánh giá môn học sơ sài và không công bằng,đánh giá môn học,Support from lecturers,sơ sài,Negative
8,đánh giá môn học sơ sài và không công bằng .,đánh giá môn học sơ sài và không công bằng,đánh giá môn học,Support from lecturers,không công bằng,Negative
9,cần có cách khác phù hợp hơn .,cần có cách khác phù hợp hơn,cách khác,Workload,phù hợp hơn,Positive
10,đảm bảo tốt giờ lên lớp .,đảm bảo tốt giờ lên lớp,giờ lên lớp,Support from lecturers,đảm bảo tốt,Positive
11,giảng dạy tích cực và dễ hiểu .,giảng dạy tích cực và dễ hiểu,giảng dạy,Teaching quality,tích cực và dễ hiểu,Positive
12,"cô rất nhiệt tình , vui tính , biết quan tâm học sinh .","cô rất nhiệt tình , vui tính , biết quan tâm học sinh",cô,Support from lecturers,rất nhiệt tình,Positive
12,"cô rất nhiệt tình , vui tính , biết quan tâm học sinh .","cô rất nhiệt tình , vui tính , biết quan tâm học sinh",cô,Support from lecturers,vui tính,Positive
12,"cô rất nhiệt tình , vui tính , biết quan tâm học sinh .","cô rất nhiệt tình , vui tính , biết quan tâm học sinh",cô,Support from lecturers,biết quan tâm,Positive
13,"thầy dạy nhiều kiến thức mới , cập nhật từ thực tế .","thầy dạy nhiều kiến thức mới , cập nhật từ thực tế",dạy,Teaching quality,nhiều kiến thức mới,Positive
13,"thầy dạy nhiều kiến thức mới , cập nhật từ thực tế .","thầy dạy nhiều kiến thức mới , cập nhật từ thực tế",dạy,Teaching quality,cập nhật từ thực tế,Positive
14,"tuy nhiên , bài tập thực hành còn hơi đơn giản và chưa thực sự phù hợp với thực tế .","uy nhiên , bài tập thực hành còn hơi đơn giản và chưa thực sự phù hợp với thực tế",bài tập thực hành,Workload,còn hơi đơn giản,Negative
14,"tuy nhiên , bài tập thực hành còn hơi đơn giản và chưa thực sự phù hợp với thực tế .","uy nhiên , bài tập thực hành còn hơi đơn giản và chưa thực sự phù hợp với thực tế",bài tập thực hành,Workload,chưa thực sự phù hợp,Negative
