id,Review,Sentence Component,aspect_text,aspect,sentiment_text,sentiment
1,không phát huy được hết khả năng của sinh viên .,không phát huy được hết khả năng của sinh viên,không phát huy được hết khả năng,Teaching quality,không phát huy,Negative
2,"dạy nhanh , khó hiểu .","dạy nhanh , khó hiểu",dạy,Teaching quality,"nhanh , khó hiểu",Positive
3,giảng viên thường lên lớp muộn .,giảng viên thường lên lớp muộn,lên lớp muộn,Organization and management,muộn,Negative
4,nhiệt tình .,nhiệt tình,nhiệt tình,Support from lecturers,nhiệt tình,Positive
5,"thầy dạy rất nhiệt huyết , phương pháp dạy giúp sinh viên có thể nhớ rõ kiến thức .",thầy dạy rất nhiệt huyết,dạy,Teaching quality,nhiệt huyết,Positive
5,"thầy dạy rất nhiệt huyết , phương pháp dạy giúp sinh viên có thể nhớ rõ kiến thức .",phương pháp dạy giúp sinh viên có thể nhớ rõ kiến thức,phương pháp dạy,Teaching quality,nhớ rõ kiến thức,Positive
6,đề cương môn học chưa rõ ràng .,đề cương môn học chưa rõ ràng,đề cương môn học,Course information,chưa rõ ràng,Negative
7,giảng viên có lên lớp đầy đủ .,giảng viên có lên lớp đầy đủ,lên lớp đầy đủ,Organization and management,đầy đủ,Positive
8,học kỳ này học phần của em không có giáo viên này giảng dạy .,học kỳ này học phần của em không có giáo viên này giảng dạy,học kỳ này học phần của em không có giáo viên này giảng dạy,Organization and management,không có giáo viên này giảng dạy,Neutral
9,hơi khắt khe .,hơi khắt khe,hơi khắt khe,General review,khắt khe,Negative
10,"và não của con người không thích sự dễ dàng , nếu chỉ xử lý sự dễ dàng thì não khó có thể phát triển đến khả năng của nó .","và não của con người không thích sự dễ dàng , nếu chỉ xử lý sự dễ dàng thì não khó có thể phát triển đến khả năng của nó","não của con người không thích sự dễ dàng , nếu chỉ xử lý sự dễ dàng thì não khó có thể phát triển đến khả năng của nó",General review,"không thích sự dễ dàng , nếu chỉ xử lý sự dễ dàng thì não khó có thể phát triển đến khả năng",Positive
11,"cô nhiệt tình , tận tâm hướng dẫn .","cô nhiệt tình , tận tâm hướng dẫn","nhiệt tình , tận tâm hướng dẫn",Support from lecturers,"nhiệt tình , tận tâm",Positive
12,"dể gần , tạo tình cảm tốt .","dể gần , tạo tình cảm tốt","dể gần , tạo tình cảm tốt",Support from lecturers,"dể gần , tạo tình cảm tốt",Positive
13,giảng viên giải đáp các thắc mắc của sinh viên tận tình .,giảng viên giải đáp các thắc mắc của sinh viên tận tình,giải đáp các thắc mắc của sinh viên,Support from lecturers,tận tình,Positive
14,"giảng viên nhiệt tình , tâm huyết , giảng dạy dễ hiểu .","giảng viên nhiệt tình , tâm huyết , giảng dạy dễ hiểu","nhiệt tình , tâm huyết , giảng dạy dễ hiểu",Teaching quality,"nhiệt tình , tâm huyết , giảng dạy dễ hiểu",Positive
15,thoải mái nhiệt tình .,thoải mái nhiệt tình,thoải mái nhiệt tình,Support from lecturers,thoải mái nhiệt tình,Positive
16,"giảng viên dạy quá chán , không thực tế .","giảng viên dạy quá chán , không thực tế",dạy,Teaching quality,"quá chán , không thực tế",Negative
17,"thầy nhiệt tình , truyền đạt tốt .",thầy nhiệt tình,thầy nhiệt tình,Support from lecturers,nhiệt tình,Positive
17,"thầy nhiệt tình , truyền đạt tốt .",truyền đạt tốt,truyền đạt,Teaching quality,tốt,Positive
18,cần cho nhiều bài tập để sinh viên làm ở nhà .,cần cho nhiều bài tập để sinh viên làm ở nhà,cho nhiều bài tập,Workload,cần cho nhiều,Neutral
19,bài giảng của thầy hay hấp dẫn lắm .,bài giảng của thầy hay hấp dẫn lắm,bài giảng,Teaching quality,hay hấp dẫn lắm,Positive
20,"giảng viên tận tâm , nhiệt tình giúp đỡ sinh viên .","giảng viên tận tâm , nhiệt tình giúp đỡ sinh viên","tận tâm , nhiệt tình giúp đỡ sinh viên",Support from lecturers,"tận tâm , nhiệt tình",Positive
21,"thầy tâm huyết , giảng dạy nhiệt tình .","thầy tâm huyết , giảng dạy nhiệt tình","tâm huyết , giảng dạy nhiệt tình",Teaching quality,"tâm huyết , giảng dạy nhiệt tình",Positive
22,"cô dạy rất tốt , dễ hiểu .","cô dạy rất tốt , dễ hiểu",dạy,Teaching quality,"tốt , dễ hiểu",Positive
23,nội dung cần nguyên cứu cực kỳ nặng đối với một môn học .,nội dung cần nguyên cứu cực kỳ nặng đối với một môn học,nội dung cần nguyên cứu cực kỳ nặng,Workload,cực kỳ nặng,Negative
24,sự thân thiện và tận tình .,sự thân thiện và tận tình,thân thiện và tận tình,Support from lecturers,thân thiện và tận tình,Positive
25,có ít bài tập .,có ít bài tập,bài tập,Workload,ít,Negative
26,"cô tận tình với học sinh , nhưng còn thiếu cách truyền đạt một chút .",cô tận tình với học sinh,tận tình với học sinh,Support from lecturers,tận tình,Positive
26,"cô tận tình với học sinh , nhưng còn thiếu cách truyền đạt một chút .",nhưng còn thiếu cách truyền đạt một chút,cách truyền đạt,Teaching quality,thiếu,Negative
27,cô dạy dễ hiểu và tận tâm .,cô dạy dễ hiểu và tận tâm,dạy,Teaching quality,dễ hiểu và tận tâm,Positive
28,giảng dạy tận tình cho các sinh viên .,giảng dạy tận tình cho các sinh viên,dạy,Teaching quality,tận tình,Positive
29,hoạt động giảng dạy của giáo viên khá tốt .,hoạt động giảng dạy của giáo viên khá tốt,hoạt động giảng dạy,Teaching quality,tốt,Positive
30,luôn giảng quyết các thắc mắc mà sinh viên gửi mail hỏi .,luôn giảng quyết các thắc mắc mà sinh viên gửi mail hỏi,thắc mắc mà sinh viên gửi mail hỏi,Support from lecturers,luôn giảng quyết,Positive
31,"giảng viên dạy rất chán , chỉ lên bảng viết vài chữ rất nhỏ và xấu rồi ngồi mà không hướng dẫn sinh viên thực hành .",giảng viên dạy rất chán,dạy,Teaching quality,rất chán,Negative
31,"giảng viên dạy rất chán , chỉ lên bảng viết vài chữ rất nhỏ và xấu rồi ngồi mà không hướng dẫn sinh viên thực hành .",chỉ lên bảng viết vài chữ rất nhỏ và xấu rồi ngồi mà không hướng dẫn sinh viên thực hành,chỉ lên bảng viết vài chữ rất nhỏ và xấu rồi ngồi mà không hướng dẫn sinh viên thực hành,Teaching quality,nhỏ và xấu rồi ngồi mà không hướng dẫn,Negative
32,"do đó , em kiến nghị thay đổi việc thực hành môn này , nếu không thể trang bị thiết bị mới thì nên đổi sang cho sinh viên thực hành tại nhà với phần mềm mô phỏng chứ không cần phải lên trường để điểm danh như học kỳ vừa qua .","do đó , em kiến nghị thay đổi việc thực hành môn này",thay đổi việc thực hành,Organization and management,kiến nghị,Neutral
32,"do đó , em kiến nghị thay đổi việc thực hành môn này , nếu không thể trang bị thiết bị mới thì nên đổi sang cho sinh viên thực hành tại nhà với phần mềm mô phỏng chứ không cần phải lên trường để điểm danh như học kỳ vừa qua .",nếu không thể trang bị thiết bị mới thì nên đổi sang cho sinh viên thực hành tại nhà với phần mềm mô phỏng chứ không cần phải lên trường để điểm danh như học kỳ vừa qua,trang bị thiết bị mới thì nên đổi sang cho sinh viên thực hành tại nhà với phần mềm mô phỏng,Organization and management,nếu không thể,Neutral
33,riêng bản thân em nhận thấy mình có thể học môn này mà không tham gia học đầy đủ trên lớp .,riêng bản thân em nhận thấy mình có thể học môn này mà không tham gia học đầy đủ trên lớp,có thể học môn này mà không tham gia học đầy đủ,Course information,không tham gia học đầy đủ,Negative
34,cô rất nhiệt tình trong hoạt động giảng dạy .,cô rất nhiệt tình trong hoạt động giảng dạy,hoạt động giảng dạy,Teaching quality,nhiệt tình,Positive
35,được học tập theo nhóm .,được học tập theo nhóm,học tập theo nhóm,Organization and management,được học tập theo nhóm,Positive
36,"thầy dạy hay , nhất là các buổi có bài tập thì cuốn hút rất nhiều .",thầy dạy hay,dạy,Teaching quality,hay,Positive
36,"thầy dạy hay , nhất là các buổi có bài tập thì cuốn hút rất nhiều .",nhất là các buổi có bài tập thì cuốn hút rất nhiều,các buổi có bài tập,Teaching quality,cuốn hút rất nhiều,Positive
37,"trong buổi thực hành cuối cùng , giảng viên đến trễ khoảng hơn 25 phút .","trong buổi thực hành cuối cùng , giảng viên đến trễ khoảng hơn 25 phút",đến trễ khoảng hơn 25 phút,Organization and management,đến trễ,Negative
38,thầy nên cho đề thi thực hành có độ khó cao hơn một chút .,thầy nên cho đề thi thực hành có độ khó cao hơn một chút,đề thi thực hành,Test and evaluation,nên cho,Neutral
39,dễ tiếp thu kiến thức .,dễ tiếp thu kiến thức,dễ tiếp thu kiến thức,Teaching quality,dễ tiếp thu,Positive
40,ghi bài quá nhiều .,ghi bài quá nhiều,ghi bài quá nhiều,Teaching quality,ghi bài quá nhiều,Negative
