id,Review,Sentence Component,aspect_text,aspect,sentiment_text,sentiment
1,"thầy cực kỳ vui vẻ , lại dạy dễ hiểu .",thầy cực kỳ vui vẻ ,thầy ,General review,cực kỳ vui vẻ,Positive
1,"thầy cực kỳ vui vẻ , lại dạy dễ hiểu .",lại dạy dễ hiểu, dạy ,Teaching quality,dễ hiểu,Positive
2,thầy có vẻ như không có trình độ sư phạm .,thầy có vẻ như không có trình độ sư phạm,thầy có vẻ như,General review,không có trình độ sư phạm,Negative
3,thầy dạy có phần nhàm chán .,thầy dạy có phần nhàm chán,thầy dạy,Teaching quality,có phần nhàm chán,Negative
4,giảng bài hay dễ hiểu .,giảng bài hay dễ hiểu,giảng bài,Teaching quality,hay dễ hiểu,Positive
5,"thầy nói nhiều từ khó nhưng lại nói quá nhỏ và nhanh , em không nghe được từ đó là gì .","thầy nói nhiều từ khó nhưng lại nói quá nhỏ và nhanh , em không nghe được từ đó là gì",thầy nói nhiều từ khó ,Teaching quality,"nói quá nhỏ và nhanh , em không nghe được từ đó là gì",Negative
6,giáo viên cần thông báo cụ thể các chương thi học kỳ một cách cụ thể hơn giúp cho sinh viên nắm được thông tin chích xác khi ôn tập tránh tình trạng chỉ tập trung vào các chương trọng yếu mà không học các chương còn lại .,giáo viên cần thông báo cụ thể các chương thi học kỳ một cách cụ thể hơn giúp cho sinh viên nắm được thông tin chích xác khi ôn tập tránh tình trạng chỉ tập trung vào các chương trọng yếu mà không học các chương còn lại ,giáo viên cần thông báo cụ thể các chương thi học kỳ một cách cụ thể hơn giúp cho sinh viên nắm được thông tin chích xác khi ôn tập tránh tình trạng chỉ tập trung vào các chương trọng yếu mà không học các chương còn lại ,Organization and management,giáo viên cần thông báo cụ thể các chương thi học kỳ một cách cụ thể hơn giúp cho sinh viên,Neutral
7,thầy giảng bài hay !,thầy giảng bài hay,thầy giảng bài,Teaching quality, hay,Positive
8,chúng em phải vất vả lắm mới có thể hoàn thành được .,chúng em phải vất vả lắm mới có thể hoàn thành được ,chúng em phải vất vả lắm mới có thể hoàn thành được,General review,phải vất vả lắm mới có thể hoàn thành được,Negative
9,nên có những tài liệu chủ yếu để sinh viên có thể dễ dàng tham khảo hơn .,nên có những tài liệu chủ yếu để sinh viên có thể dễ dàng tham khảo hơn,tài liệu chủ yếu,Course information,nên có những tài liệu chủ yếu để sinh viên có thể dễ dàng tham khảo hơn,Neutral
10,yêu cầu cao .,yêu cầu cao,yêu cầu,General review,cao,Neutral
11,"và thầy cứ chấm từng bạn từng bạn cho đến khi thầy bước đến chấm bài của tôi , lúc đầu tôi cứ nghĩ là thầy cũng sẽ như bao bạn khác chỉ hỏi lý thuyết và cách áp dụng vào đồ án , nhưng không thầy hỏi chính xác từng đoạn code cái này làm gì cái kia làm gì , và kết cục chắc các bạn cũng biết rồi , tôi đã tạch môn này .","và thầy cứ chấm từng bạn từng bạn cho đến khi thầy bước đến chấm bài của tôi , lúc đầu tôi cứ nghĩ là thầy cũng sẽ như bao bạn khác chỉ hỏi lý thuyết và cách áp dụng vào đồ án , nhưng không thầy hỏi chính xác từng đoạn code cái này làm gì cái kia làm gì , và kết cục chắc các bạn cũng biết rồi , tôi đã tạch môn này","và thầy cứ chấm từng bạn từng bạn cho đến khi thầy bước đến chấm bài của tôi , lúc đầu tôi cứ nghĩ là thầy cũng sẽ như bao bạn khác chỉ hỏi lý thuyết và cách áp dụng vào đồ án , nhưng không thầy hỏi chính xác từng đoạn code cái này làm gì cái kia làm gì , và kết cục chắc các bạn cũng biết rồi , tôi đã tạch môn này ",General review,"và thầy cứ chấm từng bạn từng bạn cho đến khi thầy bước đến chấm bài của tôi , lúc đầu tôi cứ nghĩ là thầy cũng sẽ như bao bạn khác chỉ hỏi lý thuyết và cách áp dụng vào đồ án , nhưng không thầy hỏi chính xác từng đoạn code cái này làm gì cái kia làm gì , và kết cục chắc các bạn cũng biết rồi , tôi đã tạch môn này",Neutral
12,rất thất vọng !,rất thất vọng,rất thất vọng,General review,rất thất vọng,Negative
13,"thầy rất nhiệt tình , thầy giúp sinh viên chủ động hơn .",thầy rất nhiệt tình,thầy,Support from lecturers,nhiệt tình,Positive
13,"thầy rất nhiệt tình , thầy giúp sinh viên chủ động hơn .", thầy giúp sinh viên chủ động hơn ,thầy giúp sinh viên,Support from lecturers,chủ động hơn ,Positive
14,giảng viên dạy nhiệt tình .,giảng viên dạy nhiệt tình,giảng viên dạy,Teaching quality,nhiệt tình,Positive
