"id","Review","Sentence Component","aspect_text","aspect","sentiment_text","sentiment"
"1","em mong muốn được nghe thầy kể nhiều câu chuyện về sự nghiệp và cuộc đời , gian nan từng trải của thầy trong các bài học nhiều hơn nữa , có lẻ sinh viên sẽ học được nhiều điều hơn .","em mong muốn được nghe thầy kể nhiều câu chuyện về sự nghiệp và cuộc đời , gian nan từng trải của thầy trong các bài học nhiều hơn nữa , có lẻ sinh viên sẽ học được nhiều điều hơn","kể nhiều câu chuyện về sự nghiệp và cuộc đời","Teaching quality","mong muốn","Neutral"
"2","em thấy lúc giảng , thầy chỉ ngồi yên trên ghế và đọc slide dẫn đến sinh viên cảm thấy nhàm chán .","em thấy lúc giảng , thầy chỉ ngồi yên trên ghế và đọc slide dẫn đến sinh viên cảm thấy nhàm chán","lúc giảng","Teaching quality","chỉ ngồi yên trên ghế và đọc slide dẫn đến sinh viên cảm thấy nhàm chán","Negative"
"3","thầy dạy rất dễ hiểu .","thầy dạy rất dễ hiểu","dạy","Teaching quality","rất dễ hiểu","Positive"
"4","dạy chắc chắn kiến thức , truyền đạt tốt .","dạy chắc chắn kiến thức","dạy","Teaching quality","chắc chắn kiến thức","Positive"
"4","dạy chắc chắn kiến thức , truyền đạt tốt .","truyền đạt tốt","truyền đạt","Teaching quality","tốt","Positive"
"5","thầy dạy rất hay , quan tâm học sinh .","thầy dạy rất hay , quan tâm học sinh","dạy","Teaching quality","rất hay , quan tâm","Positive"
"6","giáo trình môn học được cập nhật .","giáo trình môn học được cập nhật","giáo trình môn học","Course information","được cập nhật","Neutral"
"7","thầy thường xuyên đặt ra những deadline không phù hợp với sinh viên .","thầy thường xuyên đặt ra những deadline không phù hợp với sinh viên","đặt ra những deadline","Organization and management","không phù hợ","Negative"
"8","phương pháp dạy thực hành rất hay .","phương pháp dạy thực hành rất hay","phương pháp dạy","Teaching quality","rất hay","Positive"
"9","giảng viên tận tâm , nhiệt tình , dễ tính , lên lớp đúng giờ .","giảng viên tận tâm , nhiệt tình , dễ tính","tận tâm , nhiệt tình , dễ tính","Support from lecturers","tận tâm , nhiệt tình , dễ tính","Positive"
"9","giảng viên tận tâm , nhiệt tình , dễ tính , lên lớp đúng giờ .","lên lớp đúng giờ","đúng giờ","Organization and management","lên lớp đúng giờ","Positive"
"10","quá khắt khe colonsad .","quá khắt khe colonsad","quá khắt khe colonsad","General review","quá khắt khe","Negative"
"11","em mới gặp thầy buổi thực hành cũng là buổi thi .","em mới gặp thầy buổi thực hành cũng là buổi thi","gặp thầy buổi thực hành cũng là buổi thi","Support from lecturers","gặp thầy buổi thực hành cũng là buổi thi","Negative"
"12","cô dạy hay , lại rất đúng giờ dạy học .","cô dạy hay","dạy","Teaching quality","hay","Positive"
"12","cô dạy hay , lại rất đúng giờ dạy học .","lại rất đúng giờ dạy học","đúng giờ dạy học","Organization and management","rất đúng giờ","Positive"
"13","giải đáp rất tận tình mọi thắc mắc của sinh viên .","giải đáp rất tận tình mọi thắc mắc của sinh viên","giải đáp","Support from lecturers","tận tình","Positive"
"14","cô dễ thương , tận tâm với sinh viên .","cô dễ thương , tận tâm với sinh viên","dễ thương , tận tâm","Support from lecturers","dễ thương , tận tâm","Positive"
"15","cách giảng của thầy hơi đều và chậm .","cách giảng của thầy hơi đều và chậm","cách giảng","Teaching quality","hơi đều và chậm","Neutral"
"16","giảng viên nhiệt tình , tạo nhiều hoạt động cho lớp .","giảng viên nhiệt tình , tạo nhiều hoạt động cho lớp","nhiệt tình , tạo nhiều hoạt động cho lớp","Support from lecturers","nhiệt tình , tạo nhiều hoạt động","Positive"
"17","cần thể hiện chi tiết hơn nội dung của môn học và nhiều ví dụ minh hoạ hơn .","cần thể hiện chi tiết hơn nội dung của môn học và nhiều ví dụ minh hoạ hơn","thể hiện chi tiết hơn nội dung của môn học và nhiều ví dụ minh hoạ hơn","Teaching quality","cần thể hiện chi tiết hơn nội dung của môn học và nhiều ví dụ minh hoạ hơn","Neutral"
"18","không đảm bảo giờ lên lớp .","không đảm bảo giờ lên lớp","giờ lên lớp","Organization and management","không đảm bảo","Negative"
"19","mỗi khi báo cáo tiến độ đồ án trong năm học , giảng viên chỉ chỉ ra duy nhất một lỗi trong đồ án cho sinh viên , mà không xem toàn bộ đồ án để góp ý cho sinh viên mọi sai sót để sinh viên khắc phục trong lần báo cáo cuối kỳ .","mỗi khi báo cáo tiến độ đồ án trong năm học , giảng viên chỉ chỉ ra duy nhất một lỗi trong đồ án cho sinh viên , mà không xem toàn bộ đồ án để góp ý cho sinh viên mọi sai sót để sinh viên khắc phục trong lần báo cáo cuối kỳ","báo cáo tiến độ đồ án","Test and evaluation","chỉ chỉ ra duy nhất một lỗi trong đồ án cho sinh viên , mà không xem toàn bộ đồ án","Negative"
"20","quá tệ .","quá tệ","quá tệ","General review","quá tệ","Negative"
"21","giảng viên tận tâm , nhiệt tình , vui vẻ .","giảng viên tận tâm , nhiệt tình , vui vẻ","tận tâm , nhiệt tình , vui vẻ","Support from lecturers","tận tâm , nhiệt tình , vui vẻ","Positive"
"22","tăng thêm thời lượng môn học .","tăng thêm thời lượng môn học","thời lượng môn học","Organization and management","tăng thêm","Neutral"
"23","giúp học sinh chủ động trong việc thực hiện đề tài và nhiệt tình giúp đỡ sinh viên tìm tài liệu .","giúp học sinh chủ động trong việc thực hiện đề tài và nhiệt tình giúp đỡ sinh viên tìm tài liệu","giúp đỡ sinh viên","Support from lecturers","giúp học sinh chủ động trong việc thực hiện đề tài và nhiệt tình giúp đỡ","Positive"
"24","cung cấp nhiều kiến thức bổ ích cho sinh viên .","cung cấp nhiều kiến thức bổ ích cho sinh viên","kiến thức bổ ích","Teaching quality","cung cấp nhiều kiến thức bổ ích","Positive"
"25","giảng viên nhiệt tình trong giảng dạy , hệ thống tài liệu học tập được update tốt .","giảng viên nhiệt tình trong giảng dạy","giảng dạy","Teaching quality","nhiệt tình","Positive"
"25","giảng viên nhiệt tình trong giảng dạy , hệ thống tài liệu học tập được update tốt .","hệ thống tài liệu học tập được update tốt","hệ thống tài liệu học tập","Course information","được update tốt","Positive"
"26","giáo viên nhiệt tình giảng dạy .","giáo viên nhiệt tình giảng dạy","giảng dạy","Teaching quality","nhiệt tình","Positive"
"27","thầy dạy rất nhiều điều bổ ích từ học tập đến cuộc sống ngoài đời .","thầy dạy rất nhiều điều bổ ích từ học tập đến cuộc sống ngoài đời","dạy","Teaching quality","bổ ích","Positive"
"28","cách diễn đạt dễ hiểu , vui vẻ , tận tình với học sinh .","cách diễn đạt dễ hiểu , vui vẻ , tận tình với học sinh","cách diễn đạt","Teaching quality","dễ hiểu , vui vẻ , tận tình","Positive"
"29","hay đi trễ , dạy lố thời gian .","hay đi trễ , dạy lố thời gian","đi trễ","Organization and management","hay đi trễ , dạy lố thời gian","Negative"
"30","tận tình chu đáo dễ hiểu .","tận tình chu đáo dễ hiểu","tận tình chu đáo dễ hiểu","Teaching quality","tận tình chu đáo dễ hiểu","Positive"
"31","giải đáp thắc mắc sinh viên kỹ lưỡng .","giải đáp thắc mắc sinh viên kỹ lưỡng","giải đáp thắc mắc","Support from lecturers","kỹ lưỡng","Positive"
"32","phần đầu môn này nói về những chủ đề đại loại như "" làm thế nào để thành công "" , "" thói quen người thành công "" hay là bàn về tương lai vdotv .","phần đầu môn này nói về những chủ đề đại loại như "" làm thế nào để thành công "" , "" thói quen người thành công "" hay là bàn về tương lai vdotv","phần đầu môn này","Course information","nói về những chủ đề đại loại như","Neutral"
"33","dạy nhiệt tình , vui vẻ trong giờ học .","dạy nhiệt tình , vui vẻ trong giờ học","dạy","Teaching quality","nhiệt tình , vui vẻ","Positive"
"34","như vậy là được .","như vậy là được","như vậy là được","General review","như vậy là được","Neutral"
"35","thấy rất vui tính .","thấy rất vui tính","vui tính","Support from lecturers","vui tính","Positive"
"36","giảng dạy quoa loa , thiếu nhiệt tình , chương trình học hoàn toàn không ăn khớp với lý thuyết .","giảng dạy quoa loa , thiếu nhiệt tình","giảng dạy","Teaching quality","quoa loa , thiếu nhiệt tình","Negative"
"36","giảng dạy quoa loa , thiếu nhiệt tình , chương trình học hoàn toàn không ăn khớp với lý thuyết .","chương trình học hoàn toàn không ăn khớp với lý thuyết","chương trình học","Course information","hoàn toàn không ăn khớp","Negative"
"37","giảng viên nên dạy kỹ hơn các phần quan trọng của bài học .","giảng viên nên dạy kỹ hơn các phần quan trọng của bài học","dạy","Teaching quality","nên dạy kỹ hơn","Neutral"
"38","giáo viên không nhiệt tình , tận tâm với sinh viên .","giáo viên không nhiệt tình , tận tâm với sinh viên","nhiệt tình , tận tâm","Support from lecturers","không nhiệt tình , tận tâm ","Negative"
"39","môn học này không có sắp xếp lịch học , phòng học .","môn học này không có sắp xếp lịch học , phòng học","sắp xếp lịch học , phòng học","Organization and management","không có","Negative"
"40","nhiều bạn phải học tiết 4 , 5 phải nghỉ giữa chừng để đi học môn khác như tư tưởng .","nhiều bạn phải học tiết 4 , 5 phải nghỉ giữa chừng để đi học môn khác như tư tưởng","học tiết 4 , 5","Organization and management","nghỉ giữa chừng để đi học môn khác","Negative"
