id,Review,Sentence Component,aspect_text,aspect,sentiment_text,sentiment
1,chưa tương tác tốt với sinh viên qua e-mail .,chưa tương tác tốt với sinh viên qua e-mail , tương tác tốt với sinh viên qua e-mail ,Support from lecturers,chưa tương tác tốt với sinh viên qua e-mail,Negative
2,"rất nhiệt tình vì học sinh , giảng dạy rất hay và hiệu quả .",rất nhiệt tình vì học sinh,rất nhiệt tình vì học sinh,Support from lecturers,rất nhiệt tình vì học sinh,Positive
2,"rất nhiệt tình vì học sinh , giảng dạy rất hay và hiệu quả .",giảng dạy rất hay và hiệu quả,giảng dạy,Teaching quality,rất hay và hiệu quả,Positive
3,ít nhiệt tình trong việc hỗ trợ sinh viên làm đồ án .,ít nhiệt tình trong việc hỗ trợ sinh viên làm đồ án,hỗ trợ sinh viên làm đồ án,Support from lecturers,ít nhiệt tình,Negative
4,cô thường xuyên lên lớp muộn khiến học sinh phải đợi cô .,cô thường xuyên lên lớp muộn khiến học sinh phải đợi cô,cô thường xuyên lên lớp muộn,Organization and management,thường xuyên lên lớp muộn khiến học sinh phải đợi cô,Negative
5,triệu like cho thầy !,triệu like cho thầy ,triệu like cho thầy,General review,triệu like cho thầy,Positive
6,"lên lớp trễ , nghỉ không thấy thông báo .",lên lớp trễ ,lên lớp,Organization and management,trễ,Negative
6,"lên lớp trễ , nghỉ không thấy thông báo .",nghỉ không thấy thông báo,nghỉ ,Organization and management,không thấy thông báo,Negative
7,"để cải tiến chất lượng môn học , em hi vọng nhà trường tăng thời lượng cho môn này , vì thực sự môn này còn nhiều vấn đề nhưng không đủ thời gian để dạy .","để cải tiến chất lượng môn học , em hi vọng nhà trường tăng thời lượng cho môn này",chất lượng môn học,Course information,"để cải tiến chất lượng môn học , em hi vọng nhà trường tăng thời lượng cho môn này",Neutral
7,"để cải tiến chất lượng môn học , em hi vọng nhà trường tăng thời lượng cho môn này , vì thực sự môn này còn nhiều vấn đề nhưng không đủ thời gian để dạy .",vì thực sự môn này còn nhiều vấn đề nhưng không đủ thời gian để dạy,môn này,Course information,còn nhiều vấn đề nhưng không đủ thời gian để dạy,Negative
8,đề nghị thầy đừng nghỉ nhiều quá mất bài của chúng em .,đề nghị thầy đừng nghỉ nhiều quá mất bài của chúng em,đề nghị thầy đừng nghỉ nhiều quá mất bài của chúng em,Organization and management,đề nghị thầy đừng nghỉ nhiều quá mất bài của chúng em,Negative
9,"bài tập đa dạng , mức độ khó dễ khác nhau .","bài tập đa dạng , mức độ khó dễ khác nhau",bài tập,Workload,"đa dạng , mức độ khó dễ khác nhau",Positive
10,thầy chỉ hướng dẫn cách làm bài mặc dù sinh viên không hiểu bản chất của vấn đề .,thầy chỉ hướng dẫn cách làm bài mặc dù sinh viên không hiểu bản chất của vấn đề,hướng dẫn cách làm bài,Teaching quality,thầy chỉ hướng dẫn cách làm bài mặc dù sinh viên không hiểu bản chất của vấn đề,Negative
11,số lượng buổi học hơi ít so với nội dung thực hành .,số lượng buổi học hơi ít so với nội dung thực hành ,nội dung thực hành,Course information,số lượng buổi học hơi ít so với nội dung thực hành,Negative
12,thầy dạy chán chưa thu hút học sinh .,thầy dạy chán chưa thu hút học sinh,dạy,Teaching quality,chán chưa thu hút học sinh,Negative
13,thu hút sinh viên .,thu hút sinh viên,thu hút sinh viên,Teaching quality,thu hút,Positive
14,"trình độ chuyên môn cao , quan tâm nhiều đến sinh viên .",trình độ chuyên môn cao,trình độ chuyên môn,Teaching quality, cao,Positive
14,"trình độ chuyên môn cao , quan tâm nhiều đến sinh viên .",quan tâm nhiều đến sinh viên,quan tâm nhiều đến sinh viên,Support from lecturers,quan tâm nhiều,Positive
15,cung cấp đủ tài liệu để sinh viên tự nghiên cứu .,cung cấp đủ tài liệu để sinh viên tự nghiên cứu,tài liệu để sinh viên tự nghiên cứu,Course information,cung cấp đủ,Positive
16,"thầy giáo sôi nổi truyền đạt kiến thức tốt , gần gũi với học sinh , vui vẻ .",thầy giáo sôi nổi,thầy giáo sôi nổi,Teaching quality, sôi nổ,Positive
16,"thầy giáo sôi nổi truyền đạt kiến thức tốt , gần gũi với học sinh , vui vẻ .","truyền đạt kiến thức tốt , gần gũi với học sinh , vui vẻ ",truyền đạt kiến thức,Teaching quality," tốt , gần gũi với học sinh , vui vẻ ",Positive
17,"cô sẵn sàng giải đáp mọi thắc mắc nhanh nhất có thể , luôn tìm hiểu kỹ nội dung để có thể dạy tốt nhất .",cô sẵn sàng giải đáp mọi thắc mắc nhanh nhất có thể, mọi thắc mắc,Support from lecturers,sẵn sàng giải đáp mọi thắc mắc nhanh nhất có thể,Positive
17,"cô sẵn sàng giải đáp mọi thắc mắc nhanh nhất có thể , luôn tìm hiểu kỹ nội dung để có thể dạy tốt nhất .",luôn tìm hiểu kỹ nội dung để có thể dạy tốt nhất , tìm hiểu kỹ nội dung để có thể dạy tốt nhất ,Teaching quality,uôn tìm hiểu kỹ nội dung để có thể dạy tốt nhất ,Positive
18,"em thấy bất cập là khi giải bài trên bảng ở giảng đường 1 , khoảng cách thì xa trong khi chữ viết của sinh viên lại rất mờ và nhỏ , khó có thể thấy rõ .","em thấy bất cập là khi giải bài trên bảng ở giảng đường 1 , khoảng cách thì xa trong khi chữ viết của sinh viên lại rất mờ và nhỏ , khó có thể thấy rõ ", giảng đường 1,Learning environment,"thấy bất cập là khi giải bài trên bảng ở giảng đường 1 , khoảng cách thì xa trong khi chữ viết của sinh viên lại rất mờ và nhỏ , khó có thể thấy rõ",Negative
19,"dạy dễ hiểu , học sinh tiếp thu tốt .","dạy dễ hiểu , học sinh tiếp thu tốt",dạy,Teaching quality,"dễ hiểu , học sinh tiếp thu tốt",Positive
20,tận tình của giáo viên .,tận tình của giáo viên,tận tình của giáo viên,Support from lecturers,tận tình,Positive
21,bài tập về nhà mức hơi khó .,bài tập về nhà mức hơi khó ,bài tập về nhà,Workload, mức hơi khó ,Negative
22,cần giáo trình và bài tập .,cần giáo trình và bài tập,giáo trình và bài tập,Course information,cần,Neutral
23,chu đáo nhiệt tình .,chu đáo nhiệt tình,chu đáo nhiệt tình,Support from lecturers,chu đáo nhiệt tình,Positive
24,thái độ giảng dạy của giáo viên khá tốt .,thái độ giảng dạy của giáo viên khá tốt,thái độ giảng dạy của giáo viên,Teaching quality, khá tốt,Positive
25,mọi thứ .,mọi thứ,mọi thứ,General review,mọi thứ,Neutral
26,thầy dạy chủ yếu chứng minh công thức có sẵn nên hay mất thời gian và không đưa ra trọng tâm cho sinh viên học !,thầy dạy chủ yếu chứng minh công thức có sẵn nên hay mất thời gian và không đưa ra trọng tâm cho sinh viên học,dạy,Teaching quality,chủ yếu chứng minh công thức có sẵn nên hay mất thời gian và không đưa ra trọng tâm cho sinh viên học,Positive
27,không đảm bảo giờ giấc lên lớp .,không đảm bảo giờ giấc lên lớp,giờ giấc lên lớp,Organization and management,không đảm bảo,Negative
28,"giảng viên nhiệt tình , tận tâm với công việc .",giảng viên nhiệt tình,nhiệt tình,Support from lecturers,nhiệt tình,Positive
28,"giảng viên nhiệt tình , tận tâm với công việc .", tận tâm với công việc,tận tâm với công việc,Teaching quality,tận tâm,Positive
29,nên cung cấp cho sinh viên nhiều kiến thức thực tế qua các bài tập và thực hành .,nên cung cấp cho sinh viên nhiều kiến thức thực tế qua các bài tập và thực hành, cung cấp cho sinh viên nhiều kiến thức thực tế qua các bài tập và thực hành,Teaching quality,nên cung cấp,Neutral
30,"nhiệt tình dạy dễ hiểu , thân thiện hài hước .",nhiệt tình dạy dễ hiểu,dạy,Teaching quality,nhiệt tình dạy dễ hiểu,Positive
