"id","Review","Sentence Component","aspect_text","aspect","sentiment_text","sentiment"
"1","thầy nên tận tâm với sinh viên , lớp .","thầy nên tận tâm với sinh viên , lớp","tận tâm với sinh viên , lớp","Support from lecturers"," nên","Neutral"
"2","phòng thực hành thiếu ổ cắm .","phòng thực hành thiếu ổ cắm","phòng thực hành","Learning environment"," thiếu ổ cắm","Negative"
"3","thầy giáo nên cho bài tập chạy "" deadline "" hàng tuần .","thầy giáo nên cho bài tập chạy "" deadline "" hàng tuần","bài tập chạy "" deadline "" hàng tuần","Workload","nên cho","Neutral"
"4","thầy cô dạy rất hay .","thầy cô dạy rất hay","dạy","Teaching quality"," rất hay","Positive"
"5","giúp đỡ sinh viên trong việc đưa ra những định hướng của tương lai .","giúp đỡ sinh viên trong việc đưa ra những định hướng của tương lai","giúp đỡ sinh viên","Support from lecturers","trong việc đưa ra những định hướng của tương lai","Positive"
"6","cô rất có tâm với công việc giảng viên của mình .","cô rất có tâm với công việc giảng viên của mình"," công việc giảng viên","Teaching quality","rất có tâm","Positive"
"7","cô nói nhanh quá !","cô nói nhanh quá","nói","Teaching quality","nhanh quá","Negative"
"8","phòng học lý thuyết thì kém , nóng , bụi nhiều .","phòng học lý thuyết thì kém , nóng , bụi nhiều","phòng học lý thuyết","Learning environment"," kém , nóng , bụi nhiều","Negative"
"9","hiểu tâm lý sinh viên !","hiểu tâm lý sinh viên","hiểu tâm lý sinh viên","Support from lecturers","hiểu tâm lý sinh viên","Positive"
"10","nên chú ý cách giảng dạy hợp lý hơn , dễ hiểu hơn .","nên chú ý cách giảng dạy hợp lý hơn , dễ hiểu hơn","giảng dạy","Teaching quality","nên chú ý ","Neutral"
"11","nhiệt tình , tận tâm giúp đỡ các bạn !","nhiệt tình , tận tâm giúp đỡ các bạn","giúp đỡ các bạn","Support from lecturers","nhiệt tình , tận tâm","Positive"
"12","cách truyền đạt của giảng viên khó hiểu , như nói trên mây , khó cho sinh viên tiếp cận .","cách truyền đạt của giảng viên khó hiểu , như nói trên mây , khó cho sinh viên tiếp cận","cách truyền đạt của giảng viên","Teaching quality"," khó hiểu , như nói trên mây , khó cho sinh viên tiếp cận","Negative"
"13","thầy dạy mất quá nhiều giờ , chỉ có 3 tiết nhưng thường dùng tới 5 tiết , ảnh hưởng đến những môn ở tiết 4 5 .","thầy dạy mất quá nhiều giờ , chỉ có 3 tiết nhưng thường dùng tới 5 tiết , ảnh hưởng đến những môn ở tiết 4 5"," dạy mất quá nhiều giờ","Organization and management","mất quá nhiều giờ , chỉ có 3 tiết nhưng thường dùng tới 5 tiết , ảnh hưởng đến những môn ở tiết 4 5","Negative"
"14","giảng viên hết sức tích cực trong việc dạy .","giảng viên hết sức tích cực trong việc dạy"," việc dạy","Teaching quality"," hết sức tích cực","Positive"
"15","giảng viên thân thiện , cởi mở , nhiệt tình .","giảng viên thân thiện , cởi mở , nhiệt tình ","giảng viên thân thiện , cởi mở , nhiệt tình","Support from lecturers","thân thiện , cởi mở , nhiệt tình","Positive"
"16","cô nhiệt tình giảng dạy , giờ học có không khí .","cô nhiệt tình giảng dạy","giảng dạy ","Teaching quality","nhiệt tình","Positive"
"16","cô nhiệt tình giảng dạy , giờ học có không khí ."," giờ học có không khí","giờ học có không khí","Learning environment","giờ học có không khí","Positive"
"17","giáo viên giảng dạy rất dễ hiểu lại vui tính nên tiếp thu bài rất nhanh .","giáo viên giảng dạy rất dễ hiểu lại vui tính nên tiếp thu bài rất nhanh","giảng dạy","Teaching quality"," rất dễ hiểu lại vui tính nên tiếp thu bài rất nhanh","Positive"
"18","tăng cường nghe và nói .","tăng cường nghe và nói ","nghe và nói","Teaching quality","tăng cường ","Neutral"
"19","ít điểm danh .","ít điểm danh","ít điểm danh","Organization and management","ít điểm danh","Neutral"
"20","nhưng thấy viết bài nhiều quá , thay vào đó thầy nên photo tài liệu cho học sinh để tiết kiệm được thời gian .","nhưng thấy viết bài nhiều quá"," thấy viết bài ","Teaching quality","nhiều quá","Negative"
"20","nhưng thấy viết bài nhiều quá , thay vào đó thầy nên photo tài liệu cho học sinh để tiết kiệm được thời gian .","thay vào đó thầy nên photo tài liệu cho học sinh để tiết kiệm được thời gian"," thầy nên photo tài liệu cho học sinh để tiết kiệm được thời gian","Support from lecturers","thay vào đó thầy nên photo tài liệu cho học sinh để tiết kiệm được thời gian","Neutral"
"21","gửi mail không bao giờ trả lời .","gửi mail không bao giờ trả lời ","gửi mail","Support from lecturers"," không bao giờ trả lời","Negative"
"22","theo như danh sách phòng đào tạo đưa xuống , lớp chỉ có 47 sinh viên theo học nhưng lại được học ở trong giảng đường 2 .","theo như danh sách phòng đào tạo đưa xuống , lớp chỉ có 47 sinh viên theo học nhưng lại được học ở trong giảng đường 2","theo như danh sách phòng đào tạo đưa xuống , lớp chỉ có 47 sinh viên theo học nhưng lại được học ở trong giảng đường 2","Organization and management","theo như danh sách phòng đào tạo đưa xuống , lớp chỉ có 47 sinh viên theo học nhưng lại được học ở trong giảng đường 2","Neutral"
"23","thầy rất nhiệt tình , truyền đạt tốt .","thầy rất nhiệt tình","thầy rất nhiệt tình","Support from lecturers","rất nhiệt tình ","Positive"
"23","thầy rất nhiệt tình , truyền đạt tốt .","truyền đạt tốt","truyền đạt","Teaching quality"," tốt","Positive"
"24","thân !","thân","thân","General review","thân","Neutral"
"25","mong các thầy cô sẽ đầu tư hơn vào phần speaking và phần writing nhiều hơn .","mong các thầy cô sẽ đầu tư hơn vào phần speaking và phần writing nhiều hơn","thầy cô sẽ đầu tư hơn vào phần speaking và phần writing nhiều hơn","Teaching quality","mong các thầy cô","Neutral"
"26","ngôn ngữ java đã được học từ môn lập trình nhúng , do đó mong thầy dạy kiến thức mới hơn .","ngôn ngữ java đã được học từ môn lập trình nhúng , do đó mong thầy dạy kiến thức mới hơn","ngôn ngữ java đã được học từ môn lập trình nhúng","Course information","do đó mong thầy dạy kiến thức mới hơn","Neutral"
"27","thương học sinh .","thương học sinh","thương học sinh","Support from lecturers","thương học sin","Positive"
"28","giảng viên giảng khá nhanh .","giảng viên giảng khá nhanh"," giảng","Teaching quality","",""
"28","giảng viên giảng khá nhanh ."," giảng","",""," khá nhanh","Negative"
