"id","Review","Sentence Component","aspect_text","aspect","sentiment_text","sentiment"
"1","đó là sau khi cô giảng xong một dạng toán thì nên cho ngay một ví dụ .","đó là sau khi cô giảng xong một dạng toán thì nên cho ngay một ví dụ","đó là sau khi cô giảng xong một dạng toán","General review"," nên cho ngay một ví dụ","Neutral"
"2","giảng viên có tăng cường giải đề các năm .","giảng viên có tăng cường giải đề các năm","giảng viên ","Teaching quality","có tăng cường giải đề các năm","Neutral"
"3","còn có một số thiếu hụt nhỏ trong kiến thức nhưng nhìn chung có kiến thức chuyên môn tốt .","còn có một số thiếu hụt nhỏ trong kiến thức","còn có một số thiếu hụt nhỏ trong kiến thức","General review","thiếu hụt nhỏ trong kiến thức","Negative"
"3","còn có một số thiếu hụt nhỏ trong kiến thức nhưng nhìn chung có kiến thức chuyên môn tốt .","nhưng nhìn chung có kiến thức chuyên môn tốt","có kiến thức chuyên môn tốt","Teaching quality","có kiến thức chuyên môn tốt","Positive"
"4","cô sửa nhiều bài tập giúp sinh viên dễ tiếp thu phần lý thuyết .","cô sửa nhiều bài tập giúp sinh viên dễ tiếp thu phần lý thuyết","cô sửa nhiều bài tập","Teaching quality","giúp sinh viên dễ tiếp thu phần lý thuyết","Positive"
"5","cô dạy có tâm .","cô dạy có tâm","cô dạy","Teaching quality","có tâm","Positive"
"6","một số lối giảng còn khó hiểu , thiếu đa dạng và thực tiễn .","một số lối giảng còn khó hiểu , thiếu đa dạng và thực tiễn","giảng ","Teaching quality"," khó hiểu , thiếu đa dạng và thực tiễn","Negative"
"7","cô vui tính , tận tâm nhiệt tình , có thắc mắc cô đều giải thích rất kỹ và rất sâu .","cô vui tính , tận tâm nhiệt tình","cô","General review","vui tính , tận tâm nhiệt tình","Positive"
"7","cô vui tính , tận tâm nhiệt tình , có thắc mắc cô đều giải thích rất kỹ và rất sâu ."," có thắc mắc cô đều giải thích rất kỹ và rất sâu ","có thắc mắc cô đều giải thích","Support from lecturers","giải thích rất kỹ và rất sâu","Positive"
"8","cụ thể là phần chấm điểm giữa kỳ .","cụ thể là phần chấm điểm giữa kỳ ","phần chấm điểm giữa kỳ ","Test and evaluation","cụ thể là","Neutral"
