"id","Review","Sentence Component","aspect_text","aspect","sentiment_text","sentiment"
"1","không thông báo cho sinh viên , sinh viên nhiều lần lên trường rồi lại về dot mất thời gian !","không thông báo cho sinh viên , sinh viên nhiều lần lên trường rồi lại về dot mất thời gian","không thông báo cho sinh viên","Support from lecturers","không thông báo","Negative"
"1","không thông báo cho sinh viên , sinh viên nhiều lần lên trường rồi lại về dot mất thời gian !","không thông báo cho sinh viên , sinh viên nhiều lần lên trường rồi lại về dot mất thời gian","không thông báo cho sinh viên","Support from lecturers","mất thời gian","Negative"
"2","giảng viên nhiệt tình , đến lớp đúng giờ .","giảng viên nhiệt tình , đến lớp đúng giờ","giảng viên","Support from lecturers","nhiệt tình","Positive"
"3","cô vui vẻ , nhiệt tình .","cô vui vẻ , nhiệt tình","cô","Support from lecturers","vui vẻ","Positive"
"3","cô vui vẻ , nhiệt tình .","cô vui vẻ , nhiệt tình","cô","Support from lecturers","nhiệt tình","Positive"
"4","theo em lý thuyết quan trọng nhưng cơ bản là sau khi học xong sinh viên có thể làm được gì mới là điều quan trọng nên em có đề xuất là tăng tỷ lệ điểm về phần thực hành lên mức tối đa có thể để đánh giá được kết quả học tập của sinh viên .","theo em lý thuyết quan trọng nhưng cơ bản là sau khi học xong sinh viên có thể làm được gì mới là điều quan trọng nên em có đề xuất là tăng tỷ lệ điểm về phần thực hành lên mức tối đa có thể để đánh giá được kết quả học tập của sinh viên","lý thuyết","Course information","theo em","Neutral"
"5","giảng viên cần đưa ra những ví dụ thực tiễn minh họa cho bài học , không nên giảng quá nhiều về lý thuyết trừu tượng , nên sửa bài tập để sinh viên có thể sửa những lỗi của mình trong khi làm bài bài tập .","giảng viên cần đưa ra những ví dụ thực tiễn minh họa cho bài học , không nên giảng quá nhiều về lý thuyết trừu tượng , nên sửa bài tập để sinh viên có thể sửa những lỗi của mình trong khi làm bài bài tập","giảng viên","Support from lecturers","cần","Positive"
"5","giảng viên cần đưa ra những ví dụ thực tiễn minh họa cho bài học , không nên giảng quá nhiều về lý thuyết trừu tượng , nên sửa bài tập để sinh viên có thể sửa những lỗi của mình trong khi làm bài bài tập .","giảng viên cần đưa ra những ví dụ thực tiễn minh họa cho bài học , không nên giảng quá nhiều về lý thuyết trừu tượng , nên sửa bài tập để sinh viên có thể sửa những lỗi của mình trong khi làm bài bài tập","giảng viên","Support from lecturers","nên","Positive"
"5","giảng viên cần đưa ra những ví dụ thực tiễn minh họa cho bài học , không nên giảng quá nhiều về lý thuyết trừu tượng , nên sửa bài tập để sinh viên có thể sửa những lỗi của mình trong khi làm bài bài tập .","giảng viên cần đưa ra những ví dụ thực tiễn minh họa cho bài học , không nên giảng quá nhiều về lý thuyết trừu tượng , nên sửa bài tập để sinh viên có thể sửa những lỗi của mình trong khi làm bài bài tập","giảng viên","Support from lecturers","không nên","Negative"
"6","cho nghỉ nhiều hoặc lên lớp không có ai dạy .","cho nghỉ nhiều hoặc lên lớp không có ai dạy","dạy","Support from lecturers","cho nghỉ nhiều","Negative"
